item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt
0000001804,Dania Express Lasagne bolognese 1 kg,dania-gotowe,Y,w porcji 100 g,172 kcal,8.8 g,3.6 g,15 g,1.5 g,1.5 g,7.5 g,0.96 g
0000000715,Kopytka Nasze Smaki 500 g,dania-gotowe,Y,w porcji 100 g,148 kcal,1.2 g,0.2 g,30 g,2.5 g,2.4 g,3 g,1.2 g
0000004268,Vital Fresh Surówka z buraczków 300 g,dania-gotowe,Y,w porcji 100 g,95 kcal,3.4 g,0.2 g,13.4 g,13.4 g,3.2 g,1.2 g,0.82 g
0000006555,Vital Fresh Surówka Colesław z białej kapusty 450g,dania-gotowe,Y,w porcji 100 g,100 kcal,6.3 g,0.5 g,8.2 g,6.8 g,2.2 g,1.5 g,0.77 g
0000004000,Nasze Smaki Kluski śląskie 400 g,dania-gotowe,Y,w porcji 100 g,128 kcal,1 g,0.2 g,28 g,0.5 g,1.1 g,1.6 g,0.98 g
0000003835,Nasze Smaki Pierogi ruskie 400 g,dania-gotowe,Y,w porcji 100 g,164 kcal,4.1 g,0.7 g,25 g,1.4 g,2.3 g,5.7 g,0.98 g
0000012379,Nasze Smaki Naleśniki z serem i rodzynkami 400 g,dania-gotowe,Y,w porcji 100 g,164 kcal,4.2 g,1.3 g,21 g,8.6 g,1.5 g,9.6 g,0.55 g
0000006878,Dania Express Lasagne bolognese 450g,dania-gotowe,Y,w porcji 100 g,168 kcal,8.9 g,3.4 g,13 g,1.9 g,1.6 g,8.1 g,0.79 g
0000003840,Nasze Smaki Pierogi z serem 400g,dania-gotowe,Y,w porcji 100 g,164 kcal,2.1 g,0.3 g,24 g,4.9 g,3.3 g,10 g,0.03 g
0000011391,Lisner O Mamo! Sałatka warzywna z jajkiem 500 g,dania-gotowe,Y,w porcji 100 g,227 kcal,20 g,1.8 g,8.7 g,3.6 g,,2.2 g,1.1 g
0000003781,Nasze Smaki Placki ziemniaczane 400 g,dania-gotowe,Y,w porcji 100 g,214 kcal,12 g,1.1 g,21 g,2.9 g,2.6 g,4.2 g,1.3 g
0000012331,Nasze Smaki Naleśniki z jabłkami 400g,dania-gotowe,Y,w porcji 100 g,118 kcal,1.7 g,0.8 g,22 g,8.5 g,1.1 g,3 g,0.37 g
0000003837,Nasze Smaki Krokiety z mięsem 400g,dania-gotowe,Y,w porcji 100 g,251 kcal,13 g,2.8 g,23 g,2.8 g,2.4 g,9.6 g,1.2 g
0000002340,Mr. Potato Frytki proste 1 kg,dania-gotowe,Y,w porcji 100 g,135 kcal,4.2 g,0.5 g,21 g,0.2 g,,2.5 g,0.12 g
0000011480,Frosta Ryba z pieca po włosku 345 g,dania-gotowe,Y,w porcji 100 g,119 kcal,6.9 g,3.9 g,3.7 g,2.3 g,,10 g,0.79 g
0000000294,Nasze Smaki Flaki wołowe w rosole 900g,dania-gotowe,Y,w porcji 100 g,30 kcal,0.5 g,0.2 g,1.1 g,0.6 g,0.5 g,5.3 g,1 g
0000008342,Mr.Potato Frytki Długie Cienkie 7 mm x7 mm 1 kg,dania-gotowe,Y,w porcji 100 g,154 kcal,5.2 g,0.4 g,23 g,1 g,2.4 g,2.7 g,0.05 g
0000006022,Biedronka Zupa ogórkowa 450g,dania-gotowe,Y,w porcji 100 g,21 kcal,0.9 g,0.4 g,1.3 g,1.3 g,,1.5 g,0.85 g
0000002031,Donatello Żółte papryczki Antipasti nadziewane serkiem 180 g,dania-gotowe,Y,w porcji 100 g,192 kcal,15 g,11 g,10 g,9.4 g,1.4 g,3.5 g,0.68 g
0000008277,Go Vege Hummus z toppingiem czerwone pesto 160 g,dania-gotowe,Y,w porcji 100 g,253 kcal,19 g,2 g,11 g,2.7 g,5.5 g,6.8 g,0.91 g
0000011196,Lisner Szybka rybka Filet z mintaja w chrupiącej panierce 170 g,dania-gotowe,Y,w porcji 100 g,216 kcal,10.3 g,0.9 g,17.5 g,1 g,,12.8 g,1.3 g
0000008524,"Asia Flavours Mieszanka chińska, 450 g",dania-gotowe,Y,w porcji 100 g,29 kcal,0.2 g,0.1 g,5.5 g,3.2 g,0.5 g,1.2 g,0.03 g
0000008287,Go Vege Hummus z burakiem 160 g,dania-gotowe,Y,w porcji 100 g,192 kcal,13 g,1.4 g,8.8 g,3 g,6.8 g,6.6 g,0.85 g
