item_id,item_name,item_type,nutrition_flag
0000003300,Queen Mega Sweep Ręcznik papierowy 100 m,dla-domu,N
0000002443,Lumia Wkład olejowy do zniczy 240 g 1 szt.,dla-domu,N
0000003179,Zosia Samosia Zmywaki kuchenne 10 szt.,dla-domu,N
0000005889,Zosia Samosia Worki na śmieci z recyklingu 35 litrów 15 sztuk,dla-domu,N
0000002636,Queen Ręczniki kuchenne Strong 2 x 100 listków,dla-domu,N
0000014599,Ludwik cytrynowy płyn do mycia naczyń 900 g,dla-domu,N
0000005888,Zosia Samosia Worki na śmieci z recyklingu 60 litrów 10 sztuk,dla-domu,N
0000005272,Lumia Wkład olejowy do zniczy 340 g 1 szt.,dla-domu,N
0000019161,Domestos Przedłużona Moc Original Płyn czyszcząco-dezynfekujący 1 l,dla-domu,N
0000004950,Bref Power Aktiv Soczysta Cytryna 2x50 g,dla-domu,N
0000014397,Quickpack viGO! Zmywaki 2 szt.,dla-domu,N
0000017069,Quickpack viGO! Worki na śmieci 60 l 10 szt.,dla-domu,N
0000008439,"Fairy Pianka do mycia naczyń, 350ml",dla-domu,N
0000018801,Fairy Platinum Plus Świeża ziołowa bryza Tabletki do zmywarki All In One 36  kapsułek,dla-domu,N
0000017156,Silan Aromatherapy Magic Magnolia Płyn do zmiękczania tkanin (46 prań) 1012 ml,dla-domu,N
0000014471,Quickpack viGO! Bio Zmywak gąbczasty 3 szt.,dla-domu,N
0000009557,Zosia Samosia Ściereczki z mikrofibry 32 x 32 cm 2 sztuki,dla-domu,N
0000009359,Zosia Samosia Zmywaki kuchenne 5 szt.,dla-domu,N
0000004949,Bref Power Aktiv Sosnowy Las 2x50 g,dla-domu,N
0000000106,Clin Lemon Płyn do mycia powierzchni szklanych 500 ml,dla-domu,N
0000006297,Zosia Samosia Czyścik do powierzchni delikatnych 2 szt.,dla-domu,N
0000000916,Mr Magic Ściereczki nawilżane do kuchni 60 szt.,dla-domu,N
0000004463,Mr Magic Ściereczki nawilżane uniwersalne Zapach cytrynowy 80 szt.,dla-domu,N
0000003789,Agent Max Citrus Freshness Natur Kostka WC 2x45 g ,dla-domu,N
0000011247,Zosia Samosia Worki na śmieci 60 litrów 10 szt.,dla-domu,N
0000008416,Bref Power Aktiv Soczysta Cytryna+Morska Bryza 4x50 g,dla-domu,N
0000007968,Bispol Bursztyn bergamotka Świeca zapachowa,dla-domu,N
0000005318,Zosia Samosia Woreczki śniadaniowe zawiązywane 120szt.,dla-domu,N
0000004497,Agent Max Zawieszka w żelu do WC citrus 3x35g,dla-domu,N
0000007976,Bispol Świeca zapachowa Frezja gruszka,dla-domu,N
0000007283,Zosia Samosia Worki na śmieci wiązane 18szt. 60L,dla-domu,N
0000000915,Mr Magic Ściereczki nawilżane do łazienki 60 szt.,dla-domu,N
0000013376,Bref WC Color Aktiv+ Zawieszka myjąco-zapachowa do muszli WC świeże kwiaty 4 x 50 g,dla-domu,N
0000017845,Ludwik płyn do mycia naczyń miętowy 900 g,dla-domu,N
0000000621,Agent Max Active & Clean Zawieszka z płynem do WC Coctail Mix 3 x 55ml,dla-domu,N
0000000360,Kraft Sensitive Balsam do mycia naczyń Aloesowy 850 ml,dla-domu,N
0000011071,Cif Mleczko Pink Flower 780 g,dla-domu,N
0000011244,Ajax Floral Fiesta Konwalie płyn uniwersalny 1L,dla-domu,N
0000000571,Aril Japoński Ogród Odświeżacz powietrza 300 ml,dla-domu,N
0000014389,Velvet Turbo Ręcznik Papierowy 340 listków 1 szt.,dla-domu,N
0000002736,Agent Max Żel do udrażniania rur i syfonów 1 kg,dla-domu,N
0000000361,Kraft Sensitive Balsam do mycia naczyń Rumiankowy 850 ml,dla-domu,N
0000007185,Agent Max Agent Cytrus Twist Kostka WC Barwiąza wodę 3x45g,dla-domu,N
0000000449,Zosia Samosia Ścierka uniwersalna 10 szt.,dla-domu,N
0000002752,Zosia Samosia Ścierki na rolce 23 x 25 cm 40 sztuk,dla-domu,N
0000009854,"Energizer Max AAA-LR03 1,5 V Baterie alkaliczne 4 szt.",dla-domu,N
0000004951,Bref Power Aktiv Lawendowe Pole 2x50 g,dla-domu,N
0000002880,"Zosia Samosia Worki na śmieci z recyklingu, z taśmą ściągającą 10 szt. 120 L",dla-domu,N
0000006002,Zosia Samosia Worki na śmieci z uszami 30szt. 25 l,dla-domu,N
0000017026,Somat Duo Intensive Środek do czyszczenia zmywarek 250 ml,dla-domu,N
0000010445,Silan Fresh Sky Płyn do zmiękczania tkanin (60 prań) 1320 ml,dla-domu,N
0000007703,Mr Magic Uniwersalne chusteczki dezynfekujące 40 sztuk,dla-domu,N
0000009599,"Fairy Skóra Wrażliwa Tea Tree & Mint Płyn Do Mycia Naczyń, Delikatny Dla Skóry 650 ML",dla-domu,N
0000007186,Agent Max Eucalyptus Energy kostka barwiąca wodę 3x45g,dla-domu,N
0000011985,FINISH Tabletki Power Essential lemon 30 szt.,dla-domu,N
0000002327,Agent Max Pogromca kamienia Żel do czyszczenia toalet Fresh 730 ml,dla-domu,N
0000001459,"Kłębuszek All Colors Płyn do prania 1,82 l",dla-domu,N
0000014467,Silan Aromatherapy Dreamy Lotus Płyn do zmiękczania tkanin (62 prania) 1364 ml,dla-domu,N
0000000914,Mr Magic Ściereczki nawilżane do mebli 60 szt.,dla-domu,N
0000002400,Kraft Środek do czyszczenia zmywarek 250 ml,dla-domu,N
0000011270,Dafi Classic Standard Filtr do wody 1 szt.,dla-domu,N
0000008846,Agent Max Skuteczna ochrona i dezynfekcja Płyn do czyszczenia toalet leśny 1 l,dla-domu,N
0000010446,Silan Sensitive & Baby Płyn do zmiękczania tkanin (60 prań) 1320 ml,dla-domu,N
0000015638,ARIL Odświeżacz powietrza Japanese Garden 150 g,dla-domu,N
0000005321,Kraft Nabłyszczacz do zmywarki 1 l,dla-domu,N
0000011248,Zosia Samosia Worki na śmieci 35 litrów 15 szt.,dla-domu,N
0000010444,Silan Morning Sun Płyn do zmiękczania tkanin 1320 ml (60 prań),dla-domu,N
0000001772,Kraft Sól do zmywarki 2kg,dla-domu,N
0000004472,Zosia Samosia Ścierka z mikrofibry do szyb i luster 1 szt.,dla-domu,N
0000000570,Aril Wiosenne Kwiaty Odświeżacz powietrza 300 ml,dla-domu,N
0000014898,Finish Kapsułki do zmywarki Quantum All-in-1 lemon 46 szt.,dla-domu,N
0000011069,Cif Mleczko Lemon 780 g,dla-domu,N
0000005243,"Lovela Baby Płyn do Prania Color 1,45 l",dla-domu,N
0000017025,"Somat Duo Sól do zmywarek 1,5 kg",dla-domu,N
0000004459,Mr Magic Ściereczki nawilżane uniwersalne Zapach jaśminowy 80 szt.,dla-domu,N
0000016037,Ultra Expert Color Kapsułki do prania tkanin 5in1 Extra Power 28 szt.,dla-domu,N
0000008845,Agent Max Skuteczna ochrona i dezynfekcja Płyn do czyszczenia toalet morski 1 l,dla-domu,N
0000013046,"Finish Tabletki do czyszczenia zmywarki, 3 szt.",dla-domu,N
0000015637,ARIL Odświeżacz powietrza Lily Of The Valley 150 g,dla-domu,N
0000016185,"Woolite Keratin Therapy Fruity Płyn do prania (30 prań) 1,8 l",dla-domu,N
0000014463,Silan Aromatherapy Fascinating Jungle Płyn do zmiękczania tkanin (62 prania) 1364 ml,dla-domu,N
0000009143,"Varta Energy AA LR6 1,5 V Bateria alkaliczna 4 sztuki",dla-domu,N
0000002185,Oxy Spotless Odplamiacz w proszku do tkanin White 730 g,dla-domu,N
0000000613,Agent max Active&Clean Zawieszka z płynem do WC 4w1 Juicy Mix 3x55 ml,dla-domu,N
0000007984,Eden Perfume Elegant Koncentrat do płukania 1 l,dla-domu,N
0000001590,Vanish Oxi Action White odplamiacz w płynie do białych tkanin 1 l,dla-domu,N
0000015987,Ultra Color Proszek do prania 3 kg,dla-domu,N
0000015485,Ariel All-in-1 PODS Kapsułki z płynem do prania 20 prań,dla-domu,N
0000016186,"Woolite Płyn do prania Dark Keratin 1,8 l",dla-domu,N
0000009853,"Energizer Max AA-LR6 1,5 V Baterie alkaliczne 4 szt.",dla-domu,N
0000005260,Domestos Zero Kamienia Blue 750ml,dla-domu,N
0000004918,Cif Power & Shine Spray kuchnia 750 ml,dla-domu,N
0000012733,Air Wick Essential Oils Pachnące patyczki orientalne przyprawy i czerwone pomarańcze 30 ml,dla-domu,N
0000014694,Coccolino Sensitive & Soft Płyn do płukania tkanin koncentrat 1450 ml (58 prań),dla-domu,N
0000005319,"Eden Sensitive Pure Hypoalergiczny Koncentrat do płukania 1,8 l",dla-domu,N
0000004919,Cif Power&Shine Łazienka 750 ml,dla-domu,N
0000014407,Bref WC Spa Moments Harmony Zawieszka myjąco-zapachowa do muszli WC 2 x 50 g,dla-domu,N
0000004471,Zosia Samosia Ścierka z mikrofibry do mebli i sprzętu RTV 1 szt.,dla-domu,N
0000011874,Air Wick Freshmatic Owocowa Sangria z Przyprawami/ Spiced Fruity Sangria 250 ml Wkład,dla-domu,N
0000011245,Swiffer Duster Kit (1 rączka + 4 miotełki do kurzu),dla-domu,N
0000000893,Kraft Koncentrat płynu do mycia naczyń Cytrynowy 850 ml,dla-domu,N
0000007985,Eden Perfume Charming Koncentrat do płukania 1 l,dla-domu,N
0000005615,Kret Żel do udrożniania rur 1kg,dla-domu,N
0000002184,Oxy Spotless Odplamiacz w proszku do tkanin Color 730 g,dla-domu,N
0000009598,Fairy Płyn do mycia naczyń Cytryna 650 ml,dla-domu,N
0000017053,Persil Power Caps Color Skoncentrowany środek do prania (29 prań) 406 g,dla-domu,N
0000018191,Domestos Power 5 XL Lime Kostka toaletowa 4 x 50 g,dla-domu,N
0000015497,Bryza płyn do czyszczenia pralki Original 250 ml,dla-domu,N
0000007963,Zosia Samosia Worki na śmieci z recyklingu 120 litrów 10 sztuk,dla-domu,N
0000001073,Agent Max BIO dwufazowa kostka do spłuczki 3 x 50 g,dla-domu,N
0000000562,Tymek Płyn do mycia naczyń o zapachu mięty + ekstrakt z cytryny 1 l,dla-domu,N
0000006310,Kraft Kapsułki do zmywarki Ultimate Lime 27 sztuk = 405g,dla-domu,N
0000001927,"Air Wick Freshmatic Delikatny Jaśmin, Cedr i Nuty Drzewne/Delicate Jasmin, Cedarwood & Woodland Spice 250 ml Wkład",dla-domu,N
0000014859,Domestos Power Foam Czyszcząca Piana Toaleta i Łazienka Arctic Fresh 435 ml,dla-domu,N
0000008543,Kraft Tabletki do zmywarek Classic 60 sztuk,dla-domu,N
