item_id,item_name,item_type,nutrition_flag
0000011361,Queen Balsam Chusteczki czterowarstwowe 74 szt.,drogeria,N
0000006953,Queen Papier toaletowy Premium super soft 10 rolek,drogeria,N
0000007914,Queen Chusteczki 3 warstwy 120szt.,drogeria,N
0000008422,Queen Chusteczki czterowarstwowe eco-friendly 100 sztuk,drogeria,N
0000007897,Queen Chusteczki higieniczne mini 6x8 szt.,drogeria,N
0000019432,Listerine Stay White płyn do płukania jamy ustnej 500 ml,drogeria,N
0000012048,Colgate Whitening Pasta do zębów 75 ml,drogeria,N
0000018087,Dove Deeply Nourishing Pielęgnujące mydło w płynie zapas 500 ml,drogeria,N
0000007780,Dada Exstra Soft Chusteczki nawilżane comfort 80 szt,drogeria,N
0000015862,Nivea Antyperspirant damski INVISIBLE Pure roll-on 50 ml,drogeria,N
0000018956,Fa żel pod prysznic Fa Yoghurt Aloe Vera 400 ml,drogeria,N
0000019474,Aquafresh Big Teeth Psi Patrol Szczoteczka do zębów dla dzieci w wieku 6+ lat z kolorową rączką,drogeria,N
0000012782,Colgate Plax Whitening Płyn do płukania jamy ustnej 500 ml,drogeria,N
0000009178,Colgate Total Charcoal & Clean multiochronna Pasta do zębów z aktywnym węglem 75 ml,drogeria,N
0000015832,AA Pure Derma kojąca woda micelarna 400 ml,drogeria,N
0000013762,Naturella Cotton Protection Ultra Night Podpaski ze skrzydełkami 9 szt.,drogeria,N
0000009915,Colgate Advanced White Pasta do zębów Soda Oczyszczona & Pył Wulkaniczny 100ml,drogeria,N
0000014320,Nivelazione Naturalny krem do stóp z woskiem pszczelim 75 ml,drogeria,N
0000014597,Wellaton Intense Farba do włosów 6/0 Ciemny Blond 110 ml,drogeria,N
0000013749,Foot Therapy Professional Specjalistyczny krem na pękające pięty 8w1 100 ml,drogeria,N
0000014421,Rexona Cotton Dry Antyperspirant 50 ml,drogeria,N
0000014834,L'Oréal Paris Ekspert Wieku 50+ Przeciwzmarszczkowy krem ujędrniający na noc 50 ml,drogeria,N
0000013927,Londa Color Farba do trwałej koloryzacji platynowo-srebrny 10/8,drogeria,N
0000009534,Dada Extra Care Pieluchy rozmiar 3 40 szt.,drogeria,N
0000009803,Nivea MEN Fresh Kick Antyperspirant w sztyfcie 50 ml,drogeria,N
0000011172,Soraya Kombucha Płyn micelarny do twarzy i oczu 400 ml,drogeria,N
0000013947,Wella Deluxe Light Oil Olejek do włosów 100 ml,drogeria,N
0000012969,"Pantene Pro-V Shine SOS Spray bez spłukiwania, z miodem 150 ml",drogeria,N
0000003859,Bioelixire Olejek konopny & Baobab Serum do włosów 20 ml,drogeria,N
0000014498,Wellaflex Silk Finish & Hold Pianka do włosów 200 ml,drogeria,N
0000014593,Joanna Fluo Color do włosów róż 35 g,drogeria,N
0000013048,Nivea Płyn Micelarny Odświeżający cera normalna i mieszana 400 ml,drogeria,N
0000014783,Nike Woman Ultra Purple Dezodorant do ciała 200 ml,drogeria,N
0000014838,L'Oreal Paris Ekspert Wieku Przeciwzmarszczkowy krem ujędrniający na dzień 50+ 50 ml,drogeria,N
0000013937,Nike Man Ultra Green Dezodorant w kulce 50 ml,drogeria,N
0000018181,Nivea Przeciwzmarszczkowy + Modelujący krem na dzień SPF 30 65+ 50 ml,drogeria,N
0000004517,"Oral-B Essential floss woskowana nić dentystyczna, miętowa, 50 m",drogeria,N
0000014608,Wella Wellaton Krem intensywnie koloryzujący jasny blond 8/0,drogeria,N
0000014424,Rexona Active Protection+ Fresh Antyperspirant w sztyfcie 40 ml,drogeria,N
0000014443,Dove Men+Care Elements Charcoal+Clay Żel pod prysznic 3 w 1 400 ml,drogeria,N
0000014774,Nike Woman Sweet Blossom Dezodorant perfumowany 75 ml,drogeria,N
0000014415,"Gillette Classic Pianka do golenia o zapachu Original, szybkie i łatwe golenie, 200 ml",drogeria,N
0000014584,Joanna Power Men Color Cream Farba 04 Natural Brown,drogeria,N
0000009219,Gillette Simply Venus 3 Rączka maszynki do golenia + 8 ostrzy,drogeria,N
0000011800,Colgate Advanced White wybielająca pasta do zębów z fluorem 75 ml,drogeria,N
0000014446,Axe Wild Mojito & Cedarwood Żel pod prysznic 3w1 400 ml,drogeria,N
0000014750,STR8 Ahead Odświeżający żel pod prysznic 400 ml,drogeria,N
0000013313,Viscoplast Zestaw plastrów turystyczny 5 rozmiarów 17 sztuk,drogeria,N
0000014615,Wella Deluxe Lakier Wonder Volume & Protection 250 ml,drogeria,N
0000014514,Luksja Men Relax Odprężający żel pod prysznic 3w1 500 ml,drogeria,N
0000009187,Colgate Max White White Crystal Pasta do zębów 75 ml,drogeria,N
0000013939,Nike Woman Ultra Purple Dezodorant w kulce 50 ml,drogeria,N
0000013818,Scholl PediMask Nawilżająca maska z olejkiem makadamia 1 para,drogeria,N
0000013820,Scholl Krem do stóp szybkie nawilżenie 75 ml,drogeria,N
0000015882,"Dax Sun, Mleczko ochronne dla dzieci i niemowląt SPF 30 200 ml",drogeria,N
0000016254,"Dax Sun, rodzinna emulsja do opalania dla dorosłych i dzieci SPF 30, 250 ml",drogeria,N
0000014420,Rexona Men Invisible Fresh Power Antyperspirant w sztyfcie dla mężczyzn 50 ml,drogeria,N
0000014837,L'Oreal Paris Ekspert Wieku Przeciwzmarszczkowy krem nawilżający na dzień 40+ 50 ml,drogeria,N
0000003850,Bioelixire Olejek konopny & Baobab - serum do włosów 20 ml,drogeria,N
0000017604,Linda Mydło do rąk o zapachu mango 1 l,drogeria,N
0000014008,WaterWipes Chusteczki 60 sztuk,drogeria,N
0000001412,Oceania Egzotyczne Przebudzenie Żel pod prysznic 500 ml,drogeria,N
0000004642,Luksja Creamy & Soft Kremowe mydło w płynie Mleczko bawełniane i Prowitamina B5 opakowanie uzupełniające 900 ml ,drogeria,N
0000016096,Nivea MEN Sport 24H Fresh Effect Żel pod prysznic dla mężczyzn 500 ml,drogeria,N
0000002174,Regina Papier Rumiankowy 16 rolek,drogeria,N
0000016086,Nivea Orange & Avocado OIL ŻEL POD Prysznic 500 ml,drogeria,N
0000002248,Neo Papier toaletowy dwuwarstwowy 68m,drogeria,N
0000008390,o.b. ProComfort Normal 32 szt.,drogeria,N
0000006837,Elly Intimate Bielizna chłonna dla wrażliwego pęcherza 9szt.,drogeria,N
0000005884,Le Petit Marseillais żel pod prysznic Biała Brzoskwinia Bio & Nektarynka Bio 400 ml,drogeria,N
0000007769,Dada Pieluchomajtki Pants 5 Junior 12-18 kg 35 szt.,drogeria,N
0000009185,Luksja Creamy & Soft Kremowe mydło w kostce Róża i Proteiny mleka 90 g,drogeria,N
0000012075,Colgate Advanced White Aktywny węgiel Pasta do zębów 75 ml,drogeria,N
0000014897,Oral-B Essential Nić dentystyczna miętowa 50 m,drogeria,N
0000014883,Linda Sól do kąpieli Floral Harmony 800 g,drogeria,N
0000008391,o.b. ProComfort Super 32 szt.,drogeria,N
0000016867,Nivea MEN Antyperspirant w Kulce Black&White Invisible Original 50 ml,drogeria,N
0000018302,Adidas Active Start Żel pod prysznic dla mężczyzn 400 ml,drogeria,N
0000015879,Nivea Black & White Invisible Clear Antyperspirant dla kobiet w spray'u 200 ml,drogeria,N
0000017122,Sensodyne Extra Whitening Pasta do zębów z fluorkiem 75 ml,drogeria,N
0000016085,Nivea Diamond & Argan Oil Żel Pod Prysznic 500 ml,drogeria,N
0000019433,Listerine Cool Mint Łagodny Smak płyn do płukania ust 500 ml,drogeria,N
0000019434,Listerine Cool Mint płyn do płukania jamy ustnej 500 ml,drogeria,N
0000014704,"Pampers Premium Care Pieluszki, rozmiar 1, 50 sztuk, 2kg-5kg",drogeria,N
0000015874,Nivea DRY COMFORT roll-on Antyperspirant 50 ml,drogeria,N
0000012047,Colgate Triple Action Original Mint Pasta do zębów 75 ml,drogeria,N
0000018541,AXE Jungle Fresh Żel pod prysznic 400 ml,drogeria,N
0000009663,Adidas Fresh antyperspirant w sprayu dla mężczyzn 200 ml,drogeria,N
0000016090,Nivea Creme Smooth Kremowy żel pod prysznic 500 ml,drogeria,N
0000010391,Queen Supreme premium comfort Papier toaletowy 9 rolek,drogeria,N
0000004202,Palmolive MEN Refreshing odświeżający żel pod prysznic dla mężczyzn 3w1 eukaliptus sól morska 500 ml,drogeria,N
0000005430,Garnier Fructis Grow Strong Odżywka wzmacniająca do włosów osłabionych 200 ml,drogeria,N
0000006833,Elly Fresh Wkładki chłonne dla wrażliwego pęcherza 10 szt.,drogeria,N
0000004645,Luksja Creamy & Soft Kremowe mydło w płynie Len i Mleczko ryżowe opakowanie uzupełniające 900 ml ,drogeria,N
0000001239,Timotei Szampon oczyszczający z ekstraktem z zielonej herbaty 400 ml,drogeria,N
0000002440,Dada Chusteczki nawilżane dla dzieci i niemowląt Ultra Sensitive 64 sztuki,drogeria,N
0000015876,Nivea Pearl & Beauty Antyperspirant damski w spray'u 200 ml,drogeria,N
0000009189,Colgate Max Fresh Cooling Crystal odświeżająca oddech pasta do zębów 75 ml,drogeria,N
0000009186,Luksja Creamy & Soft Kremowe mydło w kostce Len i Mleczko ryżowe 90 g,drogeria,N
0000018248,STR8 Red Code Dezodorant w sprayu 150 ml,drogeria,N
0000011418,L'Oréal Paris Elseve Dream Long Odżywka rozplątująca 200 ml,drogeria,N
0000003452,Johnson's Top-To-Toe płyn do mycia ciała i włosów 500 ml,drogeria,N
0000009260,Luksja Creamy & Soft Kremowy płyn do kąpieli Mleczko bawełniane i Prowitamina B5 900 ml,drogeria,N
0000003975,Gliss Color Perfector Szampon 400 ml,drogeria,N
0000016532,Luksja Creamy & Soft Kremowe mydło w płynie Róża i Proteiny mleka opakowanie uzupełniające 900 ml,drogeria,N
0000015868,Nivea Fresh Ocean 0% Soli Aluminium Dezodorant Roll ON 50 ml,drogeria,N
0000001950,Discreet Waterlily Multiform wkładki higieniczne 60 szt.,drogeria,N
0000007781,Dada Exstra Soft Chusteczki nawilżane sensitive 80 szt,drogeria,N
0000018310,Adidas Power Booster Dezodorant w kulce dla mężczyzn 50 ml,drogeria,N
0000016866,Nivea MEN Black&White Invisible Fresh Antyperspirant w kulce 50 ml,drogeria,N
0000017463,Carefree Cotton Feel Flexiform Wkładki higieniczne świeży zapach 56 sztuk,drogeria,N
0000009184,Luksja Creamy & Soft Kremowe mydło w kostce Mleczko bawełniane i Prowitamina B5 90 g,drogeria,N
0000003958,Schauma Color Shine Szampon do włosów farbowanych i rozjaśnianych 400 ml,drogeria,N
0000009180,Colgate Total Aktywna Świeżość Pasta do zębów 75 ml,drogeria,N
0000016249,NIUQI Krem CC multifunkcyjny 4in1 01 Natural 30 ml,drogeria,N
0000016110,Dove Hydrate Żel pod prysznic 450 ml,drogeria,N
0000017118,Sensodyne ProSzkliwo Extra Fresh Pasta do zębów z fluorkiem 75 ml,drogeria,N
0000002121,Colgate Max White Szczoteczka do zębów średnia 2 szt.,drogeria,N
0000001410,Oceania Ozonowa świeżość żel pod prysznic 500 ml,drogeria,N
0000014705,"Pampers Premium Care Pieluszki, rozmiar 2 4kg-8kg 46 sztuk",drogeria,N
