item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols,starch
0000000247,Kraina Mięs Filet z piersi kurczaka kg,mieso,N,,,,,,,,,,,
0000005215,Kraina Wędlin Nature Parówki z szynki 250 g,mieso,Y,w porcji 100 g,277 kcal,24 g,9.6 g,1.3 g,0.6 g,14 g,1.8 g,,,
0000004237,Kraina Mięs Mięso z uda kurczaka świeże klasa A 500 g,mieso,N,,,,,,,,,,,
0000001641,Kraina Mięs Mięso mielone z łopatki wieprzowej 500 g,mieso,Y,w porcji 100 g,175 kcal,11 g,4.7 g,0.5 g,0.5 g,18 g,0.15 g,,,
0000003307,Kraina Mięs Mięso mielone wołowe 400 g,mieso,N,,,,,,,,,,,
0000007829,Gusto Bello Mix Włoskich Salami 100 g,mieso,Y,w porcji 100 g,358 kcal,28 g,9.8 g,0.5 g,0.5 g,26 g,4.2 g,0 g,,
0000000956,"Kraina Mięs Schab bez kości kotlety wieprzowe, 360 g",mieso,N,,,,,,,,,,,
0000001818,Marinero Łosoś Atlantycki filet świeży kg,mieso,N,,,,,,,,,,,
0000005438,Gusto Bello Prosciutto Cotto 100 g,mieso,Y,w porcji 100 g,129 kcal,5 g,2.2 g,1 g,1 g,20 g,2.1 g,0 g,,
0000005214,Kraina Wędlin Nature Schab wędzony plastry 100 g,mieso,Y,w porcji 100 g,133 kcal,4.5 g,1.7 g,1.2 g,0.6 g,21 g,2.4 g,,,
0000007296,"Kraina Mięs Mięso mielone z łopatki wieprzowej i wołowiny, 400 g",mieso,Y,w porcji 100 g,193 kcal,13 g,5 g,0.9 g,0.5 g,18 g,0.1 g,,,
0000005323,Kraina Wędlin Nature Salami plastry 80 g,mieso,Y,w porcji 100 g,364 kcal,31 g,13 g,0.5 g,0.5 g,21 g,3.5 g,,,
0000003304,"Kraina Mięs Zestaw rosołowy z indyka, świeży (część korpusu, skrzydło, szyja)",mieso,N,,,,,,,,,,,
0000006449,Biedronka Polędwica wiejska sądecka tradycyjna 100 g,mieso,Y,w porcji 100 g,155 kcal,5 g,3.4 g,0.5 g,0.5 g,27 g,1.8 g,,,
0000006454,Tarczyński Kabanosy Exclusive paluszki drobiowe z wieprzowiną 95 g,mieso,Y,w porcji 100 g,492 kcal,42 g,11 g,4.6 g,2.1 g,23 g,3.1 g,,,
0000004717,Marinero Łosoś plastry wędzony na zimno 100 g,mieso,Y,w porcji 100 g,175 kcal,11 g,1.5 g,0.1 g,0.1 g,19 g,2.9 g,0 g,,
0000005213,Kraina Wędlin Nature Szynka wędzona plastry 100 g,mieso,Y,w porcji 100 g,114 kcal,3 g,1.2 g,1.1 g,0.6 g,20 g,2.3 g,,,
0000007826,Morliny Boczek wędzony plastry 150 g,mieso,Y,w porcji 100 g,334 kcal,31 g,12 g,0.7 g,0 g,13 g,2 g,,,
0000001656,Kraina Wędlin Select Kiełbasa myśliwska 270 g,mieso,Y,w porcji 100 g,304 kcal,21 g,7 g,0.7 g,0.5 g,28 g,3 g,,,
0000006509,Biedronka Karczek sądecki tradycyjny 100 g,mieso,Y,w porcji 100 g,254 kcal,19 g,8.3 g,0.5 g,0.5 g,22 g,2.1 g,,,
0000008636,Kraina Wędlin Szynka z beskidzkiej wędzarni 150 g,mieso,Y,w porcji 100 g,95 kcal,2.6 g,1.1 g,0 g,0 g,18 g,2.5 g,0 g,,
0000006448,Biedronka Szynka swojska sądecka tradycyjna 100 g,mieso,Y,w porcji 100 g,137 kcal,3.7 g,1.4 g,0.5 g,0.5 g,26 g,1.8 g,,,
0000002346,Kraina Mięs Mięso na gulasz z szynki wieprzowej 500 g,mieso,N,,,,,,,,,,,
0000008637,Kraina Wędlin Schab z beskidzkiej wędzarni 150 g,mieso,Y,w porcji 100 g,95 kcal,2.5 g,1.1 g,0 g,0 g,18 g,2.5 g,0 g,,
0000004910,"Kraina Mięs Mięso na kotlety z fileta z piersi indyka, 400 g",mieso,Y,w porcji 100 g,123 kcal,3.7 g,0.5 g,0.5 g,0.5 g,22 g,0.9 g,,,
0000004111,Kraina Wędlin Boczek surowy wędzony plastry 100 g,mieso,Y,w porcji 100 g,274 kcal,23 g,9.2 g,0.6 g,0.5 g,16 g,2.1 g,,,
0000007278,Tarczyński Exclusive Kabanosy drobiowe z wieprzowiną 105 g,mieso,Y,w porcji 100 g,542 kcal,47 g,17 g,3.4 g,1.3 g,25 g,2.1 g,,,
