item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,polyols,starch,fiber,monounsaturated fatty acids,polyunsaturated fatty acids
0000000059,"Mleczna Dolina Mleko UHT częściowo odtłuszczone zawartość tłuszczu 1,5 % 1 L",nabial,Y,w porcji 100 ml,44 kcal,1.5 g,0.9 g,4.7 g,4.7 g,3 g,0.1 g,,,,,
0000004370,Mlekovita Masło Polskie ekstra 82% tł. 200 g,nabial,Y,w porcji 100 g,746 kcal,82 g,54 g,1 g,1 g,1 g,0.02 g,,,,,
0000004246,Rolmlecz  Serek homogenizowany waniliowy 200 g,nabial,Y,w porcji 100 g,138 kcal,5.5 g,3.6 g,15 g,14 g,7 g,0.1 g,,,,,
0000002150,Mleczna Dolina Mleko świeże 2% 1 l,nabial,Y,w porcji 100 ml,49 kcal,2 g,1.2 g,4.8 g,4.8 g,3 g,0.1 g,,,,,
0000000058,"Mleczna Dolina mleko UHT zawartość tłuszczu 3,2 % 1 L",nabial,Y,w porcji 100 ml,60 kcal,3.2 g,1.9 g,4.7 g,4.7 g,3 g,0.1 g,,,,,
0000001306,Fantasia Jogurt kremowy z kulkami w czekoladzie 100 g,nabial,Y,w porcji 100 g,147 kcal,7.9 g,5 g,15.4 g,13.6 g,3.4 g,0.14 g,,,,,
0000004338,Moja Kurka Jaja ściółkowe L 10 szt.,nabial,Y,w porcji 100 g,139 kcal,9.7 g,3 g,0.6 g,0 g,12.5 g,0.4 g,0 g,0 g,0 g,,
0000004506,Almette Puszysty serek twarogowy jogurtowy 150 g,nabial,Y,w porcji 100 g,260 kcal,24 g,16 g,3.8 g,3.8 g,7.1 g,,,,,,
0000005537,Zott Primo Śmietanka 30 % 200 g,nabial,Y,w porcji 100 g,293 kcal,30 g,20.1 g,3.4 g,3.4 g,2.3 g,0.09 g,,,,,
0000001305,Fantasia Jogurt kremowy z płatkami w czekoladzie 102 g,nabial,Y,w porcji 100 g,157 kcal,8.4 g,5.3 g,16.9 g,13.8 g,3.3 g,0.18 g,,,,,
0000015339,"Łaciate Mleko UHT 3,2 % 1 l",nabial,Y,w porcji 100 ml,60 kcal,3.2 g,2 g,4.7 g,4.7 g,3.2 g,0.1 g,,,,,
0000008582,Mleczna Dolina Śmietana 18% 200 g,nabial,Y,w porcji 100 g,188 kcal,18 g,12.3 g,3.1 g,3.1 g,2.6 g,0.11 g,,,,,
0000007510,Moja Kurka Jaja Wolny wybieg L 10 sztuk,nabial,Y,w porcji 100 g,139 kcal,9.7 g,3 g,0.6 g,0 g,12.5 g,0.4 g,,,,,
0000002527,Zott Jogobella Jogurt brzoskwinia 175 g,nabial,Y,w porcji 100 g,91 kcal,2.7 g,1.8 g,12.2 g,11.7 g,3.5 g,0.14 g,,,,,
0000002529,Zott Jogobella Jogurt malina 175 g,nabial,Y,w porcji 100 g,89 kcal,2.7 g,1.8 g,11.5 g,10.9 g,3.5 g,0.15 g,,,,,
0000015903,Światowid Podlaski ser plastry 300 g,nabial,Y,w porcji 100 g,330 kcal,26 g,16 g,0.1 g,0.1 g,24 g,1.5 g,,,,,
0000002076,Mleczna Dolina Śmietana 18% 330ml,nabial,Y,w porcji 100 ml,188 kcal,18 g,11 g,4 g,3.8 g,2.5 g,0.1 g,,,,,
0000012034,Fantasia Jogurt kremowy z wiśniami 118 g,nabial,Y,w porcji 100 g,121 kcal,5.3 g,3.4 g,15.9 g,15.4 g,2.3 g,0.13 g,,,,,
0000002531,Zott Jogobella Jogurt wiśnia 175 g,nabial,Y,w porcji 100 g,89 kcal,2.7 g,1.8 g,11.6 g,11 g,3.5 g,0.15 g,,,,,
0000005501,Sottile Gusto Mozzarella Light 200g,nabial,Y,w porcji 100 g,157 kcal,8.5 g,5.8 g,1 g,1 g,19 g,0.6 g,,,,,
0000004505,Almette Puszysty serek twarogowy z chrzanem 150 g,nabial,Y,w porcji 100 g,250 kcal,23 g,16 g,4 g,3.4 g,6.8 g,,,,,,
0000011526,Danio Serek homogenizowany truskawkowy 120 g,nabial,Y,w porcji 100 g,97 kcal,2.5 g,1.6 g,12.9 g,12 g,5.5 g,0.08 g,,,,,
0000003328,Almette z ogórkiem i ziołami 150 g,nabial,Y,w porcji 100 g,243 kcal,22 g,15 g,5.5 g,3 g,5.8 g,0.8 g,,,,,
0000007436,"Piątnica Serek Homogenizowany truskawkowy, 150 g",nabial,Y,w porcji 100 g,130 kcal,5.7 g,4.1 g,13 g,13 g,6.6 g,0.1 g,,,,,
0000002530,Zott Jogobella Jogurt truskawka 175 g,nabial,Y,w porcji 100 g,90 kcal,2.7 g,1.8 g,12 g,11.4 g,3.5 g,0.14 g,,,,,
0000017919,Fantasia Jogurt kremowy chrupiący słony karmel 99 g,nabial,Y,w porcji 100 g,147 kcal,8.4 g,5.3 g,14.7 g,13.3 g,3.2 g,,,,,,
0000002543,Napój mleczny Müllermilch o smaku bananowym 400g,nabial,Y,w porcji 100 g,67 kcal,1.4 g,0.9 g,10.5 g,10 g,3.2 g,0.14 g,,,,,
0000004368,"Camembert Aromatyczny, 120 g",nabial,Y,w porcji 100 g,353 kcal,32 g,19.1 g,0.2 g,0.2 g,16 g,1.7 g,,,,,
0000016500,Zott Monte Deser 150 g,nabial,Y,w porcji 100 g,183 kcal,12.2 g,8.1 g,15.5 g,13.6 g,2.6 g,0.1 g,,,,,
0000005193,Elios Ser halloumi 225 g,nabial,Y,w porcji 100 g,302 kcal,24 g,16 g,1.4 g,1.4 g,20 g,2.5 g,,,0 g,,
0000003418,"Mleczna Dolina Mleko UHT 1,5% bez laktozy 1 l",nabial,Y,w porcji 100 ml,44 kcal,1.5 g,1 g,4.7 g,4.7 g,3 g,0.1 g,,,,,
0000007927,Włoszczowa Ser Włoszczowski plastry 400 g,nabial,Y,w porcji 100 g,338 kcal,26 g,18 g,1.1 g,0 g,25 g,1.5 g,,,,,
0000002591,Fruvita Duo Jogurt z kulkami w czekoladzie 125 g,nabial,Y,w porcji 100 g,162 kcal,8.3 g,5.2 g,17 g,14 g,4.5 g,0.24 g,,,0.6 g,,
0000006584,"Bakuś Serek truskawkowy z dodatkiem wapnia, witamin D, B6 i B12 90 g",nabial,Y,w porcji 100 g,108 kcal,4 g,2.4 g,12.3 g,11.8 g,5.8 g,0.1 g,,,,,
0000005476,"Ser królewski wędzony plastry, 135 g",nabial,Y,w porcji 100 g,352 kcal,27 g,18 g,1.2 g,0 g,26 g,1.4 g,0 g,0 g,0 g,0 g,0 g
0000000743,Twist Jogurt pitny owoce leśne 370 g,nabial,Y,w porcji 100 g,68 kcal,1.6 g,1.1 g,10.6 g,10.4 g,2.7 g,0.1 g,,,,,
0000011218,Bakoma Bakuś Milk & Fun Jogurt o smaku waniliowym z piankami 128 g,nabial,Y,w porcji 100 g,95 kcal,2.5 g,1.8 g,14.4 g,13.5 g,3.6 g,0.09 g,,,,,
0000001302,Président Twaróg delikatny ze szczypiorkiem 350 g,nabial,Y,w porcji 100 g,132 kcal,10 g,6.5 g,4 g,3.2 g,6.3 g,0.7 g,,,,,
0000011219,Bakoma Bakuś Milk & Fun Jogurt o smaku waniliowym z drażami 135 g,nabial,Y,w porcji 100 g,114 kcal,4.1 g,2.9 g,15.2 g,14.4 g,3.3 g,0.09 g,,,1.3 g,,
0000003327,Almette z ziołami 150 g,nabial,Y,w porcji 100 g,247 kcal,23 g,16 g,4.2 g,2.8 g,5.9 g,0.92 g,,,,,
0000007082,Fruvita z granolą i brzoskwiniami 230 g,nabial,Y,w porcji 100 g,165 kcal,7.6 g,4 g,20.5 g,14.9 g,3.2 g,0.08 g,,,1.1 g,,
0000006911,Napój mleczny Müllermilch SHAKE o smaku banana 400g,nabial,Y,w porcji 100 g,86 kcal,3.3 g,2.2 g,10.8 g,10.5 g,3.2 g,0.14 g,,,,,
0000001299,Président Twaróg delikatny z rzodkiewką 350 g,nabial,Y,w porcji 100 g,132 kcal,10 g,6.5 g,4.5 g,3.6 g,5.8 g,1 g,,,,,
0000004376,Zott Belriso Deser mleczny z ryżem i sosem 200 g,nabial,N,,,,,,,,,,,,,
0000019285,Bakoma Maxi Meal o smaku waniliowym 500g,nabial,Y,w porcji 100 g,100 kcal,4.7 g,1.2 g,7 g,2.7 g,6.7 g,0.1 g,,,1.6 g,,
0000020124,Twist 0% jagoda-wiśnia 370 g,nabial,Y,w porcji 100 g,31 kcal,0 g,0 g,4.9 g,4.6 g,2.8 g,0.11 g,,,,,
0000011673,Danio Serek homogenizowany z kawałkami czekolady 130 g,nabial,Y,w porcji 100 g,109 kcal,4 g,2.6 g,12.4 g,12 g,5.9 g,0.09 g,,,,,
0000006744,Moja Kurka Jaja ściółkowe M 20szt,nabial,Y,w porcji 100 g,139 kcal,9.7 g,3 g,0.6 g,0 g,12.5 g,0.4 g,,,,,
0000010700,"Danio Serek homogenizowany o smaku waniliowym, 120 g",nabial,Y,w porcji 100 g,94 kcal,2.5 g,1.6 g,12.2 g,11 g,5.5 g,0.08 g,,,,,
0000004503,Almette Puszysty serek twarogowy ze szczypiorkiem i cebulą 150 g,nabial,Y,w porcji 100 g,258 kcal,24 g,17 g,3.5 g,3.3 g,7.1 g,,,,,,
0000000180,Mleczna Dolina Masło extra zawartość tłuszczu 82 % 200 g,nabial,Y,w porcji 100 g,744 kcal,82 g,55 g,0.7 g,0.7 g,0.7 g,0.2 g,,,,,
0000004504,Almette Puszysty serek twarogowy z pomidorami dojrzewającymi w słońcu 150 g,nabial,Y,w porcji 100 g,236 kcal,21 g,15 g,4.4 g,4.3 g,7.3 g,,,,,,
0000002541,Müller Müllermilch Napój mleczny o smaku czekoladowym 400 g,nabial,Y,w porcji 100 g,71 kcal,1.6 g,1.1 g,10.7 g,10.2 g,3.4 g,0.15 g,,,,,
0000004702,Rolmlecz Serek homogenizowany truskawkowy 200 g,nabial,Y,w porcji 100 g,114 kcal,7 g,4.7 g,4.5 g,3.5 g,8.2 g,0.15 g,,,,,
0000009338,Delikate Serek śmietankowy ze szczypiorkiem 200 g,nabial,Y,w porcji 100 g,243 kcal,23 g,15 g,3 g,3 g,6 g,0.7 g,,,0 g,,
0000004362,Hochland Ser kremowy w plastrach tost 130 g,nabial,Y,w porcji 100 g,243 kcal,17 g,12 g,6.6 g,6.6 g,16 g,2.5 g,,,,,
0000001922,Activia Drink Truskawka/Kiwi 280 g,nabial,Y,w porcji 100 g,60 kcal,0.85 g,0.54 g,10 g,10 g,2.9 g,0.11 g,,,,,
0000011525,Danio Serek homogenizowany o smaku czekoladowo-orzechowym 120 g,nabial,Y,w porcji 100 g,109 kcal,3.1 g,1.9 g,14.2 g,13.4 g,5.8 g,0.08 g,,,,,
0000015914,Bakoma Bakuś Milk & Fun Jogurt o smaku waniliowym z chrupkami musującymi 132 g,nabial,Y,w porcji 100 g,105 kcal,3.3 g,2.3 g,15.4 g,14.2 g,3.5 g,0.2 g,,,,,
