item_id,item_name,item_type,nutrition_flag
0000010047,"Banan Premium, 1 kiść ",owoce,N
0000010121,"Mandarynka, opak. 1 kg",owoce,N
0000010349,Awokado Hass sztuka,owoce,N
0000010369,Cytryna kg,owoce,N
0000010232,"Kiwi, 1 szt.",owoce,N
0000010295,Gruszka konferencja kg,owoce,N
0000012923,"Żurawina, opak. 250 g",owoce,N
0000010056,Śliwka kg,owoce,N
0000019388,Grapefruit sweetie kg,owoce,N
0000019931,Kaki sztuka,owoce,N
0000011857,Jabłko polskie kg,owoce,N
0000012103,Winogrono mołdawskie kg,owoce,N
0000010277,Mandarynki kg,owoce,N
0000010230,"Awokado, 1 szt.",owoce,N
0000010209,"Polska malina, 125 g",owoce,N
0000010064,Ananas cały kg,owoce,N
0000010100,Imbir kg,owoce,N
0000010135,Jabłko Szampion kg,owoce,N
0000010410,Pomarańcze deserowe luz,owoce,N
0000010319,"Cytryna, opak. 500 g",owoce,N
0000010421,"Pomarańcze, opak. 2 kg",owoce,N
0000010298,Jabłko Polskie Ligol kg,owoce,N
0000017725,Mango dojrzałe premium szt.,owoce,N
0000010280,Jabłko Golden Delicious kg,owoce,N
0000010046,"Jabłka Polskie, opak. 1,5 kg",owoce,N
0000010649,Kaki kg,owoce,N
0000014091,Orzech laskowy kg,owoce,N
0000010350,"Limonka, 1 szt.",owoce,N
0000010045,Nektarynka kg,owoce,N
0000010094,Granat kg,owoce,N
0000010332,"Gruszka, opak 1 kg",owoce,N
0000010093,Winogrono różowe kg,owoce,N
0000010132,"Marakuja, 1 szt.",owoce,N
0000010408,Winogrono Jasne Bezpestkowe luz,owoce,N
0000016194,Pomelo różowe kg,owoce,N
0000010096,"Borówka amerykańska premium, opakowanie 125 g",owoce,N
0000010318,"Borówka Amerykańska, opak. 300 g",owoce,N
0000010182,Jabłko Polskie Lobo kg,owoce,N
0000010297,Jabłko Polskie Jonagold kg,owoce,N
0000010333,Jabłko polskie zielone kg,owoce,N
0000011670,"Polskie mini kiwi, opak. 125 g",owoce,N
0000010065,Melon galia cały kg,owoce,N
0000010551,"Winogrono bezpestkowe mix, 500 g",owoce,N
0000010526,Grapefruit czerwony kg,owoce,N
0000010420,"Truskawka, opak. 500 g",owoce,N
0000010309,Jabłko Polskie Gala kg,owoce,N
0000010231,"Kiwi Gold, 1 szt.",owoce,N
0000010063,Papaja Dojrzała 1 szt.,owoce,N
0000010097,Melon żółty kg,owoce,N
0000010089,Pomelo kg,owoce,N
0000010229,Jabłko Polskie kulinarne kg,owoce,N
0000010377,"Awokado Hass, opak. 500 g",owoce,N
0000011675,Pigwowiec polski kg,owoce,N
0000010957,"Porzeczka czerwona, opak. 125 g",owoce,N
0000011619,Śliwka węgierka kg,owoce,N
0000019563,Jabłko polskie cortland kg,owoce,N
0000019334,Jabłko Rubin Polska kg,owoce,N
0000010468,Czereśnie kg,owoce,N
0000010048,Brzoskwinia kg,owoce,N
0000010188,Pomarańcze premium kg,owoce,N
0000011072,Śliwka pluot kg,owoce,N
0000010066,Arbuz premium kg,owoce,N
0000010091,Mango premium kg,owoce,N
0000010109,Melon Cantaloupe kg,owoce,N
0000010062,Limonka sztuka,owoce,N
0000010193,"Borówka amerykańska, opak. 500 g",owoce,N
0000010102,"Physalis, opak. 100 g",owoce,N
0000010124,Gruszka Abate Fetel kg,owoce,N
0000010304,Jabłko Polskie Idared kg,owoce,N
0000010087,"Jeżyna, opak. 125 g",owoce,N
0000011489,Kokos świeży 1 szt.,owoce,N
0000010475,Polska gruszka paten kg,owoce,N
0000010348,"Jabłko Kujawskie, 1 szt",owoce,N
0000010225,Mango kg,owoce,N
0000010469,Brzoskwinia Paraguayo 1 szt.,owoce,N
0000010674,"Melon Little Planet, 1 szt. ok. 2 kg",owoce,N
0000010313,Jabłko Lubelskie kg,owoce,N
0000010851,"Melon zielony, 1 szt.",owoce,N
