item_id,item_name,item_type,nutrition_flag,wartość,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,kcal,kJ,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000007100,Rogalik Croissant 60 g,piekarnia,Y,w porcji 100 g,21 g,14 g,46 g,8.1 g,2.3 g,7.8 g,1.1 g,409 kcal,1710 kj,,,,
0000005043,"Bułka kajzerka, 55 g",piekarnia,Y,w porcji 100 g,2.3 g,0.3 g,52 g,1.4 g,2 g,7.3 g,1.4 g,262 kcal,1107 kj,,,,
0000006035,Bułka grahamka 70 g,piekarnia,Y,w porcji 100 g,1.5 g,0.4 g,48 g,1.8 g,6.2 g,11 g,1.5 g,262 kcal,1107 kj,,,,
0000003703,Bułka poranna 65 g,piekarnia,Y,w porcji 100 g,2.6 g,0.4 g,55 g,2 g,2.9 g,8.9 g,1.6 g,287 kcal,1213 kj,,,,
0000011801,Bułka śniadaniowa pełnoziarnista 73 g,piekarnia,Y,w porcji 100 g,2.8 g,0.5 g,50 g,2.4 g,8.1 g,9.7 g,1.6 g,282 kcal,1192 kj,,,,
0000004352,Pano Tortilla Wraps Placki wieloziarniste 306 g,piekarnia,Y,w porcji 100 g,6.7 g,1.3 g,49 g,4.4 g,4.7 g,8.8 g,1.1 g,300 kcal,,,,,
0000008562,Chałka ręcznie zawijana 320 g,piekarnia,Y,w porcji 100 g,8.5 g,2.4 g,59 g,11 g,1.9 g,7.7 g,0.73 g,347 kcal,1464 kj,,,,
0000002111,Bagietka czosnkowa 165 g,piekarnia,Y,w porcji 100 g,6.8 g,4.7 g,44 g,4.3 g,2.7 g,7.6 g,0.88 g,273 kcal,1150 kj,,,,
0000009896,Baitz Rogalik z nadzieniem kakaowym 60 g,piekarnia,Y,w porcji 100 g,25 g,12 g,44 g,17 g,2.5 g,7 g,0.5 g,437 kcal,,,,,
0000012821,Pano Tost pszenny 500 g,piekarnia,Y,w porcji 100 g,1.4 g,0.3 g,49 g,2.9 g,,7.8 g,1.2 g,244 kcal,,,,,
0000009006,Rożek z jabłkiem 95 g,piekarnia,Y,w porcji 100 g,17 g,8.3 g,16 g,1.4 g,4 g,45 g,0.84 g,352 kcal,1473 kj,,,,
0000005777,Bułka poznańska 75 g,piekarnia,Y,w porcji 100 g,2.1 g,0.4 g,54 g,1.8 g,8.7 g,,1.4 g,276 kcal,1169 kj,,,,
0000005073,Croissant z nadzieniem orzechowo-kakaowym 85 g,piekarnia,Y,w porcji 100 g,20 g,11 g,43 g,13 g,1.8 g,6.3 g,0.92 g,381 kcal,1593 kj,,,,
0000002112,Chleb słonecznikowy 480 g,piekarnia,Y,w porcji 100 g,8.5 g,1 g,43 g,5 g,5 g,8.5 g,1.2 g,292 kcal,1226 kj,,,,
0000012893,"Bułka wysokobiałkowa, 80 g",piekarnia,Y,w porcji 100 g,8.3 g,1.1 g,30 g,2 g,8.5 g,16 g,1.3 g,276 kcal,1157 kj,,,,
0000009831,Rogal Wyborny 100 g,piekarnia,Y,w porcji 100 g,2.2 g,0.7 g,56 g,0.7 g,2.4 g,8.5 g,1.4 g,281 kcal,1191 kj,,,,
0000003645,Pano Tost pełnoziarnisty 500 g,piekarnia,Y,w porcji 100 g,2 g,0.4 g,43 g,2.2 g,5.6 g,10 g,1.1 g,240 kcal,,,,,
0000002079,Pano Hot dog pszenno żytni (4x60 g) 240 g,piekarnia,Y,w porcji 100 g,2.8 g,0.4 g,55 g,5.6 g,2.3 g,8.5 g,0.98 g,282 kcal,,,,,
0000002737,Chleb słowiański 380 g,piekarnia,Y,w porcji 100 g,1.4 g,0.3 g,51 g,2.5 g,3 g,10 g,1.5 g,261 kcal,1105 kj,,,,
0000005755,Bułka z pradawnej odmiany pszenicy 70 g,piekarnia,Y,w porcji 100 g,1.2 g,0.5 g,51 g,3.1 g,3.1 g,9.6 g,1.45 g,260 kcal,1103 kj,,,,
0000008447,Zapiekanka pieczarki szynka ser ketchup 150 g,piekarnia,Y,w porcji 100 g,14.6 g,2.83 g,27.1 g,2.75 g,,10.19 g,1.39 g,287 kcal,1200 kj,,,,
