item_id,item_name,item_link,item_image,item_type
0000003552,Dreamies z nutą kocimiętki 60 g,https://zakupy.biedronka.pl/dreamies-dreamies-z-nuta-kocimietki-60-g-0000003552.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw7a882655/images/hi-res/95A2D2E38FEDD117ECB650C4510EA857.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000003551,Dreamies z serem karma dla kota 60g,https://zakupy.biedronka.pl/dreamies-dreamies-z-serem-karma-dla-kota-60g-0000003551.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw8d847984/images/hi-res/EDA82C33B960882FECD15C4B2EF07649.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000007546,GOURMET A LA CARTE (4x85g) 4 smaki 340g,https://zakupy.biedronka.pl/gourmet-gourmet-a-la-carte-4x85g-4-smaki-340g-0000007546.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw30c06f5b/images/hi-res/EEA773E28AB16ADF49477F11A7430402.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000007556,Gourmet™ Gold Mus z tuńczykiem 85 g,https://zakupy.biedronka.pl/gourmet-gourmet-gold-mus-z-tunczykiem-85-g-0000007556.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw1c940dc4/images/hi-res/67CAB51468D05F09D301CA6DAA0EC08D.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000003550,Dreamies z łososiem karma dla kota 60g,https://zakupy.biedronka.pl/dreamies-dreamies-z-lososiem-karma-dla-kota-60g-0000003550.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw836b6d7f/images/hi-res/0AEACBB293859CBAAF17989750984B4E.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000002212,Activ Pet Pasztet z jagnięciną i kurczakiem 300g,https://zakupy.biedronka.pl/activ-pet-activ-pet-pasztet-z-jagniecina-i-kurczakiem-300g-0000002212.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw81f67bd4/images/hi-res/8E65D63D11AD4D3D42F28146E382FF6E.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000012496,Pedigree Adult Sucha karma dla psów z wołowiną i warzywami 7 kg,https://zakupy.biedronka.pl/pedigree-pedigree-adult-sucha-karma-dla-psow-z-wolowina-i-warzywami-7-kg-0000012496.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwd8763fc9/images/hi-res/09660A829721AAED203EC43769E99116.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000007048,Maxi Natural Karma dla psa kaczka i wołowina z jabłkiem 800g,https://zakupy.biedronka.pl/maxi-natural-maxi-natural-karma-dla-psa-kaczka-i-wolowina-z-jablkiem-800g-0000007048.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwe1f7f3b3/images/hi-res/6DBB00F44725CD0A0E6795467C3064D2.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000007547,Gourmet Perle Duet Mięsny karma dla kota 4x85g,https://zakupy.biedronka.pl/gourmet-gourmet-perle-duet-miesny-karma-dla-kota-4x85g-0000007547.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwd477f8af/images/hi-res/E8F250F9E3B6D19DE77734B187068774.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000009476,Whiskas W galaretce z kaczką 400 g,https://zakupy.biedronka.pl/whiskas-whiskas-w-galaretce-z-kaczka-400-g-0000009476.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwd238a8f9/images/hi-res/F22AF7B1ADA5C8B4DF208DDDE3916516.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000003775,"Activ Pet dla psów dorosłych z jagnięciną, marchewką i ryżem brązowym 400g",https://zakupy.biedronka.pl/activ-pet-activ-pet-dla-psow-doroslych-z-jagniecina-marchewka-i-ryzem-brazowym-400g-0000003775.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw2f29e76f/images/hi-res/5E35D294188B945E70FADA7E89631E7B.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000003549,Dreamies Karma uzupełniająca z pysznym kurczakiem 60 g,https://zakupy.biedronka.pl/dreamies-dreamies-karma-uzupelniajaca-z-pysznym-kurczakiem-60-g-0000003549.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw4cf7639a/images/hi-res/A7B51AC82AE02278B20E693F2867B4BB.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000005790,Pedigree Mokra karma dla dorosłych psów mix smaków w galaretce (6 x 100 g) 600 g,https://zakupy.biedronka.pl/pedigree-pedigree-mokra-karma-dla-doroslych-psow-mix-smakow-w-galaretce-6-x-100-g-600-g-0000005790.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw6ac852e2/images/hi-res/C160017F9BF388FE90BABCE1129DAC56.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000007548,"Gourmet Perle indyk, kaczka, tuńczyk, jagnięcina karma dla kota 4x85g",https://zakupy.biedronka.pl/gourmet-gourmet-perle-indyk-kaczka-tunczyk-jagniecina-karma-dla-kota-4x85g-0000007548.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw01e42e47/images/hi-res/FBB36B03869C972A79EB47B8CD4525EF.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000009399,Maxi Natural Karma dla kota kurczak z indykiem 400g,https://zakupy.biedronka.pl/maxi-natural-maxi-natural-karma-dla-kota-kurczak-z-indykiem-400g-0000009399.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw08523725/images/hi-res/57F2B7EACF72354E2149CACD7F1A360C.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000008333,Purina ADVENTUROS STRIPS Dziki smak sarniny 90g,https://zakupy.biedronka.pl/purina-purina-adventuros-strips-dziki-smak-sarniny-90g-0000008333.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw3f79c683/images/hi-res/EC419DC6C09414B0FE4C1646AC60B239.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000003773,Activ Pet Dla psów dorosłych z sercami z kurczaka i ryżem brązowym 400g,https://zakupy.biedronka.pl/activ-pet-activ-pet-dla-psow-doroslych-z-sercami-z-kurczaka-i-ryzem-brazowym-400g-0000003773.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwb2114273/images/hi-res/BB21AAF466B6BC69F7E44339976778DB.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000004117,"Felix Party Mix Ocean o smaku łososia, dorsza czarnego i pstrąga 60g",https://zakupy.biedronka.pl/felix-felix-party-mix-ocean-o-smaku-lososia-dorsza-czarnego-i-pstraga-60g-0000004117.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa5074d2d/images/hi-res/269B4765655CEE15E0F04DF3E022F925.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000012500,Sheba Finesse Mokra karma dla dorosłych kotów delikatny pasztet z kurczakiem 85 g,https://zakupy.biedronka.pl/sheba-sheba-finesse-mokra-karma-dla-doroslych-kotow-delikatny-pasztet-z-kurczakiem-85-g-0000012500.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dweb18e910/images/hi-res/0402CE0E1F95E2F101B2B77755ADAEE4.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000007953,Sheba Tacka Selection W sosie z kawałkami cielęciny 85 g,https://zakupy.biedronka.pl/sheba-sheba-tacka-selection-w-sosie-z-kawalkami-cieleciny-85-g-0000007953.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc64f42f2/images/hi-res/303940321C0CB389F3AE353EF3C1087B.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000007047,Maxi Natural Karma dla psa jagnięcina i wołowina z burakiem 800g,https://zakupy.biedronka.pl/maxi-natural-maxi-natural-karma-dla-psa-jagniecina-i-wolowina-z-burakiem-800g-0000007047.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw1913c4a7/images/hi-res/E944BFAF7F7CB4A04022618082ABB019.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000009744,Whiskas Mokra karma dla kotów rybne przysmaki galaretka (8 x 85 g) 680 g,https://zakupy.biedronka.pl/whiskas-whiskas-mokra-karma-dla-kotow-rybne-przysmaki-galaretka-8-x-85-g-680-g-0000009744.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw5a6f973b/images/hi-res/4962897BC1A5E0740F1A346A1A8D7772.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000007568,PEDIGREE® RANCHOS Originals Bogaty w kurczaka 70 g,https://zakupy.biedronka.pl/pedigree-pedigree-ranchos-originals-bogaty-w-kurczaka-70-g-0000007568.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwcd36043d/images/hi-res/34194B870FC72E859D7E61CE1902DE8E.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
0000006535,Maxi Natural Karma dla psa jeleń i wołowina z żurawiną 400g,https://zakupy.biedronka.pl/maxi-natural-maxi-natural-karma-dla-psa-jelen-i-wolowina-z-zurawina-400g-0000006535.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa7c56dcd/images/hi-res/C50BC0837D9C4FA5D63787F5762CC286.jpg?sw=270&sh=270&sm=fit,dla-zwierzat
