item_id,item_name,item_link,item_image,item_type
0000001523,Mroźna Kraina Polskie truskawki bez szypułek 450 g,https://zakupy.biedronka.pl/mrozna-kraina-mrozna-kraina-polskie-truskawki-bez-szypulek-450-g-0000001523.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw417cabf7/images/hi-res/FEA82381AD73D10066DC0C93E44162BF.jpg?sw=270&sh=270&sm=fit,mrozone
0000000346,Mroźna Kraina Warzywa na patelnię z ziemniakami 750g,https://zakupy.biedronka.pl/mrozna-kraina-mrozna-kraina-warzywa-na-patelnie-z-ziemniakami-750g-0000000346.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw2ef8bac3/images/hi-res/F5CE8ABF0869811C8BBBB18C8972F165.jpg?sw=270&sh=270&sm=fit,mrozone
0000001899,Mroźna Kraina Warzywa na patelnię po grecku 450 g,https://zakupy.biedronka.pl/mrozna-kraina-mrozna-kraina-warzywa-na-patelnie-po-grecku-450-g-0000001899.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw698eeae6/images/hi-res/AC9898255C2D311814553066C52ECE88.jpg?sw=270&sh=270&sm=fit,mrozone
0000001896,Mroźna Kraina Warzywa na patelnię po włosku 450 g,https://zakupy.biedronka.pl/mrozna-kraina-mrozna-kraina-warzywa-na-patelnie-po-wlosku-450-g-0000001896.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwfc6fa514/images/hi-res/C110E1941D8DD6AD33C8B1181661BD93.jpg?sw=270&sh=270&sm=fit,mrozone
0000001692,Mroźna Kraina Szpinak rozdrobniony 450 g,https://zakupy.biedronka.pl/mrozna-kraina-mrozna-kraina-szpinak-rozdrobniony-450-g-0000001692.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc649432c/images/hi-res/43964AC7B7436AE2699B1D5A2E2277CD.jpg?sw=270&sh=270&sm=fit,mrozone
0000003180,Mroźna Kraina Brokuł różyczki 450 g,https://zakupy.biedronka.pl/mrozna-kraina-mrozna-kraina-brokul-rozyczki-450-g-0000003180.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw266488dc/images/hi-res/5964B96059B61520473D2124607A664B.jpg?sw=270&sh=270&sm=fit,mrozone
0000001252,Mroźna Kraina Fasola szparagowa cięta 450g,https://zakupy.biedronka.pl/mrozna-kraina-mrozna-kraina-fasola-szparagowa-cieta-450g-0000001252.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw755faedd/images/hi-res/94AE74430883801E63E0F86E2F21DA6F.jpg?sw=270&sh=270&sm=fit,mrozone
0000007942,Mroźna Kraina Włoszczyzna w słupkach 450 g,https://zakupy.biedronka.pl/mrozna-kraina-mrozna-kraina-wloszczyzna-w-slupkach-450-g-0000007942.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw6b873f49/images/hi-res/76492E43AC2ACE10AD4057E0CD323F0E.jpg?sw=270&sh=270&sm=fit,mrozone
0000008655,Marinero Krewetki białe blanszowane vannamei 450 g,https://zakupy.biedronka.pl/marinero-marinero-krewetki-biale-blanszowane-vannamei-450-g-0000008655.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwce3290f7/images/hi-res/4D93ADE1695B7ED09039B4939E9AE947.jpg?sw=270&sh=270&sm=fit,mrozone
0000013404,Mroźna Kraina Borówka 300 g,https://zakupy.biedronka.pl/mrozna-kraina-mrozna-kraina-borowka-300-g-0000013404.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa71c1f9f/images/hi-res/FFC68F49F60A18C5C081128CEC3B4DBE.jpg?sw=270&sh=270&sm=fit,mrozone
