item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,monounsaturated fatty acids,polyunsaturated fatty acids,carbohydrates,sugar,protein,salt,fiber
0000002349,Marinero sardynki w sosie pomidorowym 110 g,artykuly-spozywcze,Y,w porcji 100 g,206 kcal,14 g,3.4 g,6.7 g,3.7 g,5.4 g,5.4 g,14 g,1.2 g,
0000001385,Vifon Premium Zupa koreańska kimchi 80 g,artykuly-spozywcze,Y,w porcji 100 g,85 kcal,4.1 g,1.4 g,,,10.3 g,0.5 g,1.6 g,0.7 g,
0000003562,Plony Natury Mąka pszenna T 1850 Pełnoziarnista 1 kg,artykuly-spozywcze,N,,,,,,,,,,,
0000008862,Milka White czekolada biała 100 g,artykuly-spozywcze,Y,w porcji 100 g,534 kcal,28 g,17 g,,,65 g,65 g,4.2 g,0.26 g,0 g
0000007765,Winiary Krupnik Polski 59 g,artykuly-spozywcze,Y,w porcji 100 ml,26 kcal,0.3 g,0.1 g,,,4.6 g,0.8 g,0.8 g,0.66 g,0.7 g
0000004334,Plony Natury Kasza gryczana biała (4 x 100 g) 400 g ,artykuly-spozywcze,Y,w porcji 100 g,335 kcal,3.1 g,0.7 g,,,62 g,1.8 g,12 g,0 g,5.4 g
0000012061,Candi Owocowy rytm Żelki z nadzieniem owocowym 200 g,artykuly-spozywcze,Y,w porcji 100 g,325 kcal,,,,,74 g,45 g,5.4 g,0.04 g,
0000001304,Sottile Gusto Olej z pestek winogron 1l,artykuly-spozywcze,Y,w porcji 100 ml,828 kcal,92 g,10 g,20 g,62 g,0 g,0 g,0 g,0 g,
0000002194,Delio Mieszanka oleju rzepakowego i oliwy z oliwek extra virgin 5% 1 l,artykuly-spozywcze,Y,w porcji 100 ml,828 kcal,92 g,7.3 g,57 g,26 g,0 g,0 g,0 g,0 g,0 g
0000015945,Plony Natury Soczewica czerwona 500 g,artykuly-spozywcze,Y,w porcji 100 g,337 kcal,1.6 g,0.2 g,,,47 g,2 g,26 g,0.01 g,16.5 g
0000006671,Łowicz Dżem 100 % owoców malina z czerwoną porzeczką 210 g,artykuly-spozywcze,Y,w porcji 100 g,140 kcal,0.5 g,0.1 g,,,29 g,29 g,1.5 g,0.02 g,
0000005038,Przysnacki Prażynki o smaku bekon 120 g,artykuly-spozywcze,Y,w porcji 100 g,511 kcal,28 g,2.3 g,,,56 g,4.2 g,7.7 g,2.7 g,2.2 g
0000015460,Kupiec Slim Wafle ryżowe ze słonecznikiem 84 g,artykuly-spozywcze,Y,w porcji 100 g,388 kcal,4.7 g,0.8 g,,,76 g,1.3 g,8.5 g,0.98 g,3.4 g
0000001388,Kinder Bueno wafel z nadzieniem 43 g,artykuly-spozywcze,Y,w porcji 100 g,572 kcal,37.3 g,17.3 g,,,49.5 g,41.2 g,8.6 g,0.27 g,
0000002099,Bonitki Herbatniki maślano-kakaowe z dodatkiem czekolady 250 g,artykuly-spozywcze,Y,w porcji 100 g,463 kcal,15 g,8.4 g,,,74 g,26 g,7.5 g,0.5 g,
0000001039,Biedronka Konserwa golonka wieprzowa 300 g,artykuly-spozywcze,Y,w porcji 100 g,142 kcal,8 g,3.2 g,,,0.5 g,0.5 g,17 g,2 g,
0000003521,Madero Majonez wyborny 420 ml,artykuly-spozywcze,Y,w porcji 100 ml,698 kcal,76 g,5.8 g,,,2.7 g,2.3 g,1 g,0.6 g,0 g
0000015382,Nasza Spiżarnia Ogórki burgerowe 670 g,artykuly-spozywcze,Y,w porcji 100 g,43 kcal,0.5 g,0.1 g,,,9.3 g,9.3 g,0.5 g,0.9 g,0.3 g
0000009463,Lipton Fruit Malina i Bez 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.1 g,,,0.5 g,0.5 g,0.5 g,0.01 g,
0000006446,Go Vege Peanut Butter Smooth Krem z orzechów 500 g,artykuly-spozywcze,Y,w porcji 100 g,627 kcal,52 g,6.3 g,,,9.6 g,6.2 g,26 g,0.03 g,8.3 g
0000007092,BakaD'Or Selection Migdały łuskane kalifornijskie 180 g,artykuly-spozywcze,Y,w porcji 100 g,596 kcal,49 g,3.9 g,,,8 g,4.6 g,24 g,0.01 g,12 g
0000015474,Top Popcorn o smaku maślanym 3x100 g 3 szt.,artykuly-spozywcze,Y,w porcji 100 g,408 kcal,19 g,8.6 g,,,45 g,1.2 g,8.8 g,1.9 g,12 g
0000011295,HIPP Batonik Jabłka-Banany-Maliny BIO 23 g,artykuly-spozywcze,Y,w porcji 100 g,354 kcal,5.5 g,0.7 g,,,68.9 g,41.1 g,4.6 g,0.05 g,5 g
0000017489,Kotlin Ketchup pikantny 450 g,artykuly-spozywcze,Y,w porcji 100 g,99 kcal,0.5 g,0.1 g,,,22 g,22 g,1.3 g,2.2 g,
0000001541,Bonitki Biszkopty duo z kakao 150 g,artykuly-spozywcze,Y,w porcji 100 g,366 kcal,5 g,1.1 g,,,72 g,37 g,9.6 g,0.18 g,1.8 g
0000015931,Pastani Makaron Pełnoziarnisty Penne  500 g,artykuly-spozywcze,Y,w porcji 100 g,156 kcal,1.4 g,0.3 g,,,26 g,1 g,7.1 g,0.02 g,5.6 g
0000002945,Nasza Spiżarnia Buraczki zasmażane 510 g,artykuly-spozywcze,Y,w porcji 100 g,84 kcal,1.7 g,0.5 g,,,15 g,14 g,1.4 g,0.62 g,1.6 g
0000007920,"Vitanella Baton orzeszki ziemne, migdały, sól morska 40 g",artykuly-spozywcze,Y,w porcji 100 g,557 kcal,40.2 g,5.8 g,,,33.1 g,25.5 g,12.6 g,0.55 g,6.4 g
0000003429,Plony Natury Kasza manna 500 g,artykuly-spozywcze,Y,w porcji 100 g,339 kcal,1 g,0.5 g,,,71 g,0.5 g,10 g,0.06 g,2.8 g
0000015437,Pastani Makaron Fusilli Express 500 g,artykuly-spozywcze,Y,w porcji 100 g,353 kcal,1.6 g,0.3 g,,,71 g,3.6 g,12 g,0.01 g,3.9 g
0000009753,Snickers Baton 75 g,artykuly-spozywcze,Y,w porcji 100 g,489 kcal,23 g,7.7 g,,,60 g,51 g,8.7 g,0.52 g,
