item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,kJ
0000009584,Lubella Owsianka z malinami daktylami 100 g,artykuly-spozywcze,Y,w porcji 100 g,76 kcal,0.8 g,0.1 g,15 g,10 g,1.2 g,1.5 g,0 g,
0000009675,Baitz Baton choco cocos 50 g,artykuly-spozywcze,Y,w porcji 100 g,481 kcal,25 g,20 g,58 g,50 g,4 g,4.1 g,0.07 g,
0000000019,Amino Zupa błyskawiczna barszcz czerwony z majerankiem 66 g,artykuly-spozywcze,Y,w porcji 100 ml,85 kcal,3.5 g,1.7 g,11 g,1.7 g,,1.4 g,0.78 g,
0000008817,Bonitki Kolekcja ciastek 700g,artykuly-spozywcze,Y,w porcji 100 g,479 kcal,23 g,11 g,61 g,31 g,2.4 g,6.2 g,0.08 g,
0000005909,Herbarium Pokrzywa Herbatka ziołowa w torebkach do zaparzania 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,,0.5 g,0 g,
0000008275,Donatello Oliwki zielone i Kalamata ser & zioła 150g,artykuly-spozywcze,Y,w porcji 100 g,226 kcal,22 g,4.9 g,0.3 g,0.2 g,4 g,4.8 g,2.4 g,
0000004854,Go Vege Tofu naturalne 180 g,artykuly-spozywcze,Y,w porcji 100 g,129 kcal,7.5 g,1 g,1.8 g,0.5 g,,13 g,0.2 g,
0000000942,Magnetic Czekolada mleczna nadziewana Truskawkowa 100 g,artykuly-spozywcze,Y,w porcji 100 g,517 kcal,29 g,17 g,59 g,57 g,1 g,5.2 g,0.22 g,
0000005105,Vitanella Select Peanut Butter smooth 96% orzeszków 450g,artykuly-spozywcze,Y,w porcji 100 g,611 kcal,49 g,9.1 g,17 g,8.3 g,7.3 g,22 g,0.8 g,
0000000370,Magnetic Chałwa sezamowa o smaku waniliowym 100 g,artykuly-spozywcze,Y,w porcji 100 g,526 kcal,30 g,5.2 g,48 g,27 g,4.5 g,13 g,0.02 g,
0000003014,Swojska Chata Kapusta kiszona 520 g,artykuly-spozywcze,Y,w porcji 100 g,15 kcal,0 g,0.1 g,1.4 g,0.5 g,2.6 g,0.8 g,0.8 g,
0000004232,Candi Jabłkowe krążki 200 g,artykuly-spozywcze,Y,w porcji 100 g,343 kcal,0 g,0 g,81 g,54 g,,3.8 g,0.03 g,
0000001667,Tic Tac Strawberry Mix 18g,artykuly-spozywcze,Y,w porcji 100 g,394 kcal,0.6 g,0.6 g,94.8 g,91.3 g,,0 g,0.03 g,
0000006404,Lubella Choco muszelki Zbożowe muszelki o smaku czekoladowym 500 g,artykuly-spozywcze,Y,w porcji 100 g,380 kcal,3.7 g,1.2 g,75 g,25 g,6.2 g,8.5 g,0.4 g,
0000005437,"Plony Natury Natural Mix Kasza gryczana, kasza bulgur, soczewica, suszone pomidory, pestki dyni  4x100 g",artykuly-spozywcze,Y,w porcji 100 g,353 kcal,4.9 g,1 g,58 g,5.8 g,8.2 g,15 g,0.06 g,
0000019228,Mini ciastko z nadzieniem budyniowym 35 g,artykuly-spozywcze,Y,w porcji 100 g,346 kcal,17 g,11 g,39 g,9.5 g,2.1 g,7.2 g,0.91 g,1449 kj
0000016437,Culineo Ocet jabłkowy 6% kwasowości 500 ml,artykuly-spozywcze,N,,,,,,,,,,
0000004275,Madero Musztarda miodowa łagodna 270 g,artykuly-spozywcze,Y,w porcji 100 g,147 kcal,4.9 g,0.7 g,16.8 g,16.8 g,3.2 g,5.1 g,2 g,
0000017496,Twój Deser Budyń smak waniliowy 5 x 40 g,artykuly-spozywcze,Y,w porcji 100 g,96 kcal,1.8 g,1 g,17 g,11 g,0.5 g,3 g,0.1 g,
0000008804,Wadowice Skawa Korsarz Draże kokosowe XXL 130 g,artykuly-spozywcze,Y,w porcji 100 g,488 kcal,19 g,11 g,74 g,71 g,,3.4 g,,
0000009464,Twoje Słodkie Chwile andruty black 500 g,artykuly-spozywcze,Y,w porcji 100 g,549 kcal,33 g,17 g,59 g,38 g,1 g,4 g,0.32 g,
0000006928,Kamis Gałka muszkatołowa mielona 9 g,artykuly-spozywcze,N,,,,,,,,,,
0000004834,Pastani Makaron Spaghetti  Ekspres 500 g,artykuly-spozywcze,Y,w porcji 100 g,350 kcal,1.6 g,0.3 g,69 g,4.1 g,3.6 g,13 g,0 g,
0000008484,Caro Original Rozpuszczalna kawa zbożowa 200 g,artykuly-spozywcze,N,,,,,,,,,,
0000008710,Magnetic Kamyki arachidowe 250 g,artykuly-spozywcze,Y,w porcji 100 g,505 kcal,26 g,3.6 g,53 g,46 g,3.7 g,13 g,0.02 g,
0000015507,nimm2 Śmiejżelki Sokki Żelki owocowe wzbogacone witaminami 90 g,artykuly-spozywcze,Y,w porcji 100 g,330 kcal,0.1 g,0.1 g,76.6 g,55.1 g,,4.2 g,0.2 g,
0000015702,Dallmayr Kawa mielona classic intense 500 g,artykuly-spozywcze,N,,,,,,,,,,
0000008383,Plony Natury Mąka orkiszowa pełnoziarnista typ 2000 1 kg,artykuly-spozywcze,Y,w porcji 100 g,335 kcal,2.3 g,0.5 g,59 g,1.5 g,13 g,13 g,0.01 g,
0000001831,Nimm2 Śmiejżelki Owocowe 145g,artykuly-spozywcze,Y,w porcji 100 g,333 kcal,0.2 g,0.2 g,75.4 g,52.1 g,,6.5 g,0.1 g,
0000015930,Pastani Makaron Pełnoziarnisty Świderki 500 g,artykuly-spozywcze,Y,w porcji 100 g,156 kcal,1.4 g,0.3 g,26 g,1 g,5.6 g,7.1 g,0.02 g,
0000003352,Pastani Makaron Cavatappi Durum 500 g,artykuly-spozywcze,Y,w porcji 100 g,350 kcal,1.6 g,0.3 g,69 g,4.1 g,3.6 g,13 g,0 g,
0000017384,Snickers Czekolada mleczna z nugatem i nadzieniem karmelowym z orzeszkami ziemnymi (3 x 50 g) 150 g,artykuly-spozywcze,Y,w porcji 100 g,490 kcal,23 g,7.6 g,60 g,51 g,,8.7 g,0.52 g,
