item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt
0000007365,Delecta Aromat do ciast waniliowy 9 ml,artykuly-spozywcze,N,,,,,,,,,
0000006412,Beskidzkie Paluszki z solą 240 g,artykuly-spozywcze,Y,w porcji 100 g,390 kcal,5.5 g,0.6 g,73 g,2.2 g,2.1 g,11 g,3.8 g
0000015491,Winiary Sos pieczeniowy jasny 27 g,artykuly-spozywcze,N,,,,,,,,,
0000015944,Rapsodia Dżem malinowy o obniżonej zawartości cukrów 280 g,artykuly-spozywcze,Y,w porcji 100 g,146 kcal,0.5 g,0.1 g,34 g,34 g,,0.5 g,0.1 g
0000006445,Go Vege Peanut Butter Crunchy Krem z orzechów 500 g,artykuly-spozywcze,Y,w porcji 100 g,625 kcal,52 g,6.1 g,8.9 g,5.5 g,8.9 g,26 g,0.03 g
0000006292,Leibniz Herbatniki Minis Choco 100 g,artykuly-spozywcze,Y,w porcji 100 g,484 kcal,20 g,11 g,67 g,31 g,2.5 g,7.8 g,0.64 g
0000000363,Vitanella Hopki smak czekoladowy 500 g,artykuly-spozywcze,Y,w porcji 100 g,365 kcal,2.1 g,0.7 g,73.7 g,24 g,7.3 g,9.2 g,0.44 g
0000015686,"Teekanne &quot;LOVE&quot; Limited Edition Herbatka owocowa 20 torebek x 2,25 g",artykuly-spozywcze,N,,,,,,,,,
0000009356,Dallmayr Home Barista Caffe Crema Dolce kawa ziarnista 1000 g,artykuly-spozywcze,N,,,,,,,,,
0000008021,Tarczyński Kabanosy rośl-INNE 3 ziarna 90 g,artykuly-spozywcze,Y,w porcji 100 g,415 kcal,29 g,7.2 g,17 g,8.6 g,6.9 g,21 g,2.5 g
0000017495,Twój Deser Budyń smak śmietankowy 5 x 40 g,artykuly-spozywcze,Y,w porcji 100 g,97 kcal,1.7 g,1 g,17 g,11 g,0.5 g,3 g,0.1 g
0000007993,Bonitki Owsiane z sezamem 230 g,artykuly-spozywcze,Y,w porcji 100 g,529 kcal,28 g,13 g,63 g,31 g,1 g,6.9 g,0.23 g
0000008859,Milka Oreo czekolada 100 g,artykuly-spozywcze,Y,w porcji 100 g,564 kcal,35 g,20 g,56 g,49 g,1.6 g,4.8 g,0.33 g
0000010767,E. Wedel Pawełek Batonik mleczny toffi 45 g,artykuly-spozywcze,Y,w porcji 100 g,459 kcal,17 g,9.2 g,68 g,64 g,1.2 g,3.9 g,0.13 g
0000003585,Ritter Sport Czekolada deserowa z nadzieniem marcepanowym 100 g,artykuly-spozywcze,Y,w porcji 100 g,496 kcal,27 g,11 g,52 g,51 g,,7 g,0.01 g
0000004707,Jacobs Crema Kawa rozpuszczalna 200 g,artykuly-spozywcze,N,,,,,,,,,
0000015406,Plony Natury Kuskus perłowy 400 g,artykuly-spozywcze,Y,w porcji 100 g,356 kcal,1.5 g,0.1 g,72 g,0.5 g,3 g,12 g,0.02 g
0000004829,Graal Filet z Makreli w Sosie Pomidorowym 170 g,artykuly-spozywcze,Y,w porcji 100 g,170 kcal,12 g,2.7 g,5.6 g,3.8 g,0 g,10 g,1 g
0000015376,Rio Mare pasztet z tuńczyka z papryką 115 g,artykuly-spozywcze,Y,w porcji 100 g,214 kcal,17 g,2.7 g,2.6 g,1.9 g,,12 g,1.5 g
0000000461,Cukiernia Róża Pierniki z nadzieniem wieloowocowym 200 g,artykuly-spozywcze,Y,w porcji 100 g,365 kcal,7.1 g,3.8 g,68 g,37 g,,6 g,0.49 g
0000006428,PRINCESSA Klasyczna Wafel przekładany kremem kakaowym oblany deserową czekoladą 41 g,artykuly-spozywcze,Y,w porcji 100 g,541 kcal,31.6 g,16.2 g,57.1 g,39.3 g,3.2 g,5.4 g,0.26 g
0000002045,"Huzar Miód wielokwiatowy nektarowy 1,0 kg ",artykuly-spozywcze,Y,w porcji 100 g,339 kcal,0 g,0 g,83 g,76 g,,0.5 g,0 g
0000004231,Candi Brzoskwiniowe krążki 200 g,artykuly-spozywcze,Y,w porcji 100 g,344 kcal,0 g,0 g,81 g,54 g,,3.8 g,0.03 g
0000016463,Herbatniki Bonitki Kids 3x14 g,artykuly-spozywcze,Y,w porcji 100 g,431 kcal,9 g,4.6 g,78 g,24 g,,2.4 g,0.49 g
0000000001,WINIARY Ekspresowa zupa Barszcz czerwony 60 g,artykuly-spozywcze,Y,w porcji 100 ml,22 kcal,0.1 g,0 g,5.1 g,3.8 g,0 g,0.2 g,0.82 g
0000002355,Culineo Cebulka zapiekana 200 g,artykuly-spozywcze,Y,w porcji 100 g,590 kcal,43 g,21 g,42 g,17 g,6 g,6 g,1 g
