item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols
0000008364,Sękacz Królewski 300 g,artykuly-spozywcze,Y,w porcji 100 g,431 kcal,23.8 g,3.9 g,45.4 g,21.5 g,8.1 g,0.5 g,,
0000001678,Rapsodia Powidła węgierkowe 280 g,artykuly-spozywcze,Y,w porcji 100 g,214 kcal,0.2 g,0.1 g,50 g,46 g,1.1 g,0 g,,
0000006847,Lipton Earl Grey classic herbata czarna 92 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,
0000016354,Gellwe Piernik mieszanka do domowego wypieku 375 g,artykuly-spozywcze,N,,,,,,,,,,
0000004337,Milka Pieguski Choco Cookies Ciasteczka z kawałkami czekolady mlecznej 135 g,artykuly-spozywcze,Y,w porcji 100 g,499 kcal,25 g,13 g,62 g,33 g,6.3 g,0.82 g,1.6 g,
0000005823,Go Vege Penne 100% z zielonego groszku 250 g,artykuly-spozywcze,Y,w porcji 100 g,374 kcal,1.6 g,0.2 g,63 g,5.5 g,22 g,0 g,10 g,
0000000201,Top Pop Corn solony 125 g,artykuly-spozywcze,Y,w porcji 100 g,491 kcal,31 g,2.6 g,33 g,0.35 g,8.7 g,0.86 g,22 g,
0000008274,Donatello Oliwki chili 150g,artykuly-spozywcze,Y,w porcji 100 g,152 kcal,15 g,2.3 g,0.8 g,0.6 g,1.1 g,2.8 g,4.4 g,
0000016047,Lipton Green Tea Citrus 20 torebek,artykuly-spozywcze,Y,w porcji 100 g,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,
0000009768,Pudliszki Sos do ryżu słodko-kwaśny łagodny 500 g,artykuly-spozywcze,Y,w porcji 100 g,86 kcal,0.2 g,0.1 g,19.9 g,14.4 g,0.8 g,,0.8 g,
0000003595,Ritter Sport Czekolada mleczna z kokosem 100g,artykuly-spozywcze,Y,w porcji 100 g,574 kcal,38 g,25 g,50 g,49 g,5.9 g,0.18 g,,
0000008651,Pano Wafle mini Zbożowe 45g,artykuly-spozywcze,Y,w porcji 100 g,372 kcal,1.6 g,0.2 g,72 g,2.9 g,13 g,0.49 g,2.4 g,
0000001080,Duda Pasztetowa drobiowa 300 g,artykuly-spozywcze,Y,w porcji 100 g,259 kcal,23 g,8 g,3.2 g,0.9 g,9.8 g,1.9 g,,
0000015704,Lavazza Qualità Oro kawa mielona 250 g,artykuly-spozywcze,N,,,,,,,,,,
0000010604,Nescafé 3in1 Creamy Latte Rozpuszczalny napój kawowy (10 x 15 g) 150 g,artykuly-spozywcze,Y,w porcji 100 g,433 kcal,12.6 g,11.5 g,75.9 g,58.7 g,3 g,1.4 g,1.9 g,
0000008462,Mutti Sos pomidorowy classica 400g,artykuly-spozywcze,Y,w porcji 100 g,37 kcal,0.5 g,0.1 g,5.9 g,5.2 g,1.7 g,0.53 g,,
0000006674,Łowicz Dżem 100 % owoców czarna porzeczka 210 g,artykuly-spozywcze,Y,w porcji 100 g,132 kcal,0.5 g,0.1 g,28 g,28 g,1.1 g,0 g,,
0000000732,Cafe d'Or Cappuccino z czekoladą 130 g,artykuly-spozywcze,Y,w porcji 100 g,399 kcal,5.6 g,4.7 g,78 g,50 g,7.8 g,0.23 g,2.8 g,
0000005361,TOP Krakersy solone 300g,artykuly-spozywcze,Y,w porcji 100 g,449 kcal,18 g,8 g,64 g,8 g,7.9 g,1.98 g,2.1 g,
0000015420,Łowicz Anty Baton Choco Cookie Mus kakao + pomarańcza 100 g,artykuly-spozywcze,Y,w porcji 100 g,97 kcal,3.3 g,0.3 g,13 g,12 g,3.1 g,0 g,,
0000010569,Makaron Szlachecki Gniazda Wstążki 400 g,artykuly-spozywcze,Y,w porcji 100 g,363 kcal,2.8 g,0.9 g,70 g,2.4 g,14 g,0.03 g,,
0000016924,Lay's Max Strong Chipsy ziemniaczane karbowane o smaku ostrego chilli i limonki 120 g,artykuly-spozywcze,Y,w porcji 100 g,517 kcal,30 g,3.1 g,52 g,2.1 g,6.8 g,1.2 g,4.6 g,
0000004713,Cafe d'Or Bilanciato Kawa ziarnista 1 kg,artykuly-spozywcze,N,,,,,,,,,,
0000005846,nimm2 Śmiejżelki Happies Żelki owocowe 210 g,artykuly-spozywcze,Y,w porcji 100 g,332 kcal,0.1 g,0.1 g,75.3 g,52.1 g,6.5 g,0.1 g,,
