item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids,polyols
0000004238,Big-Active herbata zielona z mango liść 100 g,artykuly-spozywcze,Y,w porcji 100 ml,2 kcal,0 g,0 g,0.5 g,0 g,0 g,0 g,,,,
0000016088,Knorr Fix do potraw chińskich 37 g,artykuly-spozywcze,Y,w porcji 100 g,305 kcal,2.7 g,0.6 g,56 g,12 g,9.5 g,13.4 g,7.4 g,,,
0000010480,Bonitki biszkopciki z nadzieniem o zmaku morelowym z kremem o smaku śmietankowym 170 g,artykuly-spozywcze,Y,w porcji 100 g,382 kcal,9.6 g,4 g,68 g,41 g,4.6 g,0.2 g,2.3 g,,,
0000007762,Winiary Żurek 49 g,artykuly-spozywcze,Y,w porcji 100 ml,21 kcal,0.2 g,0.1 g,3.8 g,0.9 g,0.8 g,0.65 g,0.3 g,,,
0000015369,GO ACTIVE Baton wysokobiałkowy z pistacjami bez dodatku cukru 35 g,artykuly-spozywcze,Y,w porcji 100 g,473 kcal,31 g,3.8 g,12 g,5.3 g,26 g,0.23 g,22 g,,,
0000003230,Prima Finezja Kawa mielona 275 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000003556,Lipton Yellow Label Herbata czarna  (92 torebki) 184 g,artykuly-spozywcze,Y,w porcji 100 g,4 kcal,0 g,0 g,0.5 g,0.5 g,0.5 g,,,,,
0000002348,Marinero sardynki w sosie paprykowym 110 g,artykuly-spozywcze,Y,w porcji 100 g,171 kcal,12 g,2.7 g,4.7 g,2.6 g,11 g,0.76 g,,4.08 g,3.9 g,
0000007282,Złota Pasieka Polski miód wielokwiatowy 500 g,artykuly-spozywcze,Y,w porcji 100 g,339 kcal,0 g,0 g,83 g,76 g,0.5 g,0 g,0.6 g,,,
0000005281,Lipton English Breakfast herbata czarna 92 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,
0000004431,Orbit Spearmint Mints Cukierki bez cukru 16 sztuk 28 g,artykuly-spozywcze,Y,w porcji 100 g,244 kcal,1.2 g,1.2 g,97 g,0 g,0 g,0 g,,,,97 g
0000015368,Go Active Baton wysokobiałkowy z migdałami i kokosem bez dodatku cukru 35 g,artykuly-spozywcze,Y,w porcji 100 g,473 kcal,30 g,6.2 g,14 g,4.9 g,27 g,0.3 g,21 g,,,
0000008834,Vitanella Select Pink Crunchy czerwone owoce Quinoa 300 g,artykuly-spozywcze,Y,w porcji 100 g,445 kcal,15.4 g,3.4 g,64.5 g,25.1 g,9 g,0.44 g,6.2 g,,,
