item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids
0000009008,GustoBello Sugo marinara sos pomidorowy z czosnkiem 600 g,artykuly-spozywcze,Y,w porcji 100 g,68 kcal,3.2 g,0.3 g,6.8 g,5.4 g,1.7 g,1.8 g,1.5 g,,
0000005083,Candi Nadziewane kable o smaku truskawkowym 150 g,artykuly-spozywcze,Y,w porcji 100 g,354 kcal,2.5 g,1.6 g,80 g,63 g,0.5 g,1.9 g,0.16 g,,
0000007108,Adalbert's Tea Herbata czarna o smaku owoców tropikalnych 50 g (25 x 2 g),artykuly-spozywcze,Y,w porcji 100 g,0 kcal,0 g,,0 g,,,0 g,,,
0000008652,PANO Wafle mini Kukurydziane 45g,artykuly-spozywcze,Y,w porcji 100 g,380 kcal,3.9 g,0.6 g,77 g,1.1 g,3.7 g,8 g,0.88 g,,
0000003259,Lindt Excellence 85% Cocoa czekolada ciemna 100 g,artykuly-spozywcze,Y,w porcji 100 g,584 kcal,46 g,28 g,19 g,11 g,,12.5 g,0.02 g,,
0000002647,Bonitki Kruche ciasteczka z polewą kakaową 300 g,artykuly-spozywcze,Y,w porcji 100 g,523 kcal,29 g,16 g,59 g,19 g,,6.4 g,0.05 g,,
0000005108,Knorr Puree boczek z cebulką 51 g,artykuly-spozywcze,Y,w porcji 100 g,89 kcal,3.4 g,0.7 g,11 g,2.1 g,1.8 g,2.6 g,0.62 g,,
0000006798,E. Wedel Ptasie Mleczko Śmietankowe w czekoladzie mlecznej 340 g,artykuly-spozywcze,Y,w porcji 100 g,449 kcal,22 g,14 g,58 g,49 g,1.4 g,3.5 g,0.12 g,,
0000009543,Go On Protein Crisp Proteinowy baton z ciasteczkami i karmelem w polewie 50 g,artykuly-spozywcze,Y,w porcji 100 g,432 kcal,16 g,9.6 g,53 g,31 g,0.8 g,20 g,1 g,,
0000000842,Cafe d'Or Gold Kawa rozpuszczalna 200 g,artykuly-spozywcze,N,,,,,,,,,,,
0000005076,Vitanella Olej kokosowy bezzapachowy 500 ml,artykuly-spozywcze,Y,w porcji 100 g,900 kcal,100 g,91 g,0.5 g,0.5 g,0 g,0.5 g,0 g,,
0000006429,Princessa Longa Mleczna Wafel przekładany kremem kakaowym oblany mleczną czekoladą 45 g,artykuly-spozywcze,Y,w porcji 100 g,552 kcal,33.1 g,16.9 g,57.1 g,42.9 g,1.8 g,5.4 g,0.28 g,,
0000003477,Graal tuńczyk kawałki w oleju roślinnym 3x140 g,artykuly-spozywcze,Y,w porcji 100 g,257 kcal,21 g,1.7 g,0 g,0 g,,17 g,0.57 g,,
0000000166,Top Orzeszki ziemne smażone solone 400g,artykuly-spozywcze,Y,w porcji 100 g,610 kcal,51 g,7.8 g,4.8 g,4.2 g,12 g,27 g,1 g,,
0000007147,Dr. Oetker Slodka Chwila Budyń czekoladowy 45 g,artykuly-spozywcze,Y,w porcji 100 g,78 kcal,0.4 g,0.2 g,16 g,9.4 g,,2.3 g,0.09 g,,
0000005660,Dega Paprykarz szczeciński 135 g,artykuly-spozywcze,Y,w porcji 100 g,159 kcal,10 g,1.2 g,10 g,3.7 g,,5.3 g,1.6 g,,
0000003415,"Be Fresh Guma do żucia bez cukru Spearmint 42,9 g",artykuly-spozywcze,Y,w porcji 100 g,159 kcal,0 g,0 g,66 g,0 g,,0 g,0.02 g,,
0000001105,Magnetic Monti orzeszki arachidowe w czekoladzie mlecznej i cukrowej otoczce 240 g,artykuly-spozywcze,Y,w porcji 100 g,489 kcal,23 g,9.8 g,60 g,55 g,3.6 g,8.6 g,0.18 g,,
0000000726,Cafe d'Or Cappuccino o Smaku Śmietankowym 130g,artykuly-spozywcze,Y,w porcji 100 g,426 kcal,10 g,9.4 g,76 g,50 g,1.8 g,7.1 g,0.4 g,,
0000008826,Dr. Oetker Żelatyna 20 g,artykuly-spozywcze,N,,,,,,,,,,,
0000008362,BakaD'Or Selection Orzechy brazylijskie 180 g,artykuly-spozywcze,Y,w porcji 100 g,693 kcal,67 g,16 g,4.2 g,2.3 g,7.5 g,14 g,0 g,,
0000017952,Werther's Original drops 50 g,artykuly-spozywcze,Y,w porcji 100 g,424 kcal,8.4 g,5.7 g,86.9 g,71.6 g,,0.3 g,1 g,,
0000007367,Delecta Aromat do ciast migdałowy 9 ml,artykuly-spozywcze,N,,,,,,,,,,,
0000000527,Nasza Spiżarnia Buraczki tarte 420 g,artykuly-spozywcze,Y,w porcji 100 g,50 kcal,0.5 g,0.1 g,9.7 g,9.7 g,1.6 g,1.3 g,0.3 g,,
0000006793,E.Wedel Ptasie Mleczko® Śmietankowe 360 g,artykuly-spozywcze,Y,w porcji 100 g,454 kcal,23 g,14 g,57 g,48 g,1.4 g,3.4 g,0.1 g,,
0000002353,Marinero sardynki w oleju roślinnym 110 g,artykuly-spozywcze,Y,w porcji 100 g,294 kcal,24 g,2.8 g,5 g,0 g,,14 g,1.1 g,14 g,6.9 g
0000010872,Knorr Sos koperkowo-ziołowy 9 g,artykuly-spozywcze,Y,w porcji 100 ml,422 kcal,45 g,6.3 g,4.5 g,3.6 g,0.8 g,0.5 g,2.4 g,,
0000008902,Piątnica Roślinna owsiane 1 l,artykuly-spozywcze,Y,w porcji 100 g,37 kcal,1.3 g,0.2 g,6 g,4.1 g,,0.4 g,0.12 g,,
0000003231,Jacobs Kronung Kawa mielona 275 g,artykuly-spozywcze,N,,,,,,,,,,,
0000009972,Bonitki Herbatniki deserowe z cukrem 200 g,artykuly-spozywcze,Y,w porcji 100 g,491 kcal,21 ,10 ,66 ,20 ,1.4 ,8 ,,,
0000015965,Twój Deser Galaretka smak cytrynowy 2 x 75 g,artykuly-spozywcze,Y,w porcji 100 g,52 kcal,0 g,0 g,11 g,11 g,0 g,1.6 g,0 g,,
0000006931,Kamis Mieszanka przyprawowa przyprawa do kurczaka po staropolsku 25 g,artykuly-spozywcze,Y,w porcji 100 g,189 kcal,2 g,0.4 g,29 g,3.3 g,,8.2 g,40.4 g,,
