item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,polyols,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids
0000004507,Jacobs Kronung Kawa rozpuszczalna 200 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000013011,Mentos Pure Fresh Spearmint Butelka 60 g,artykuly-spozywcze,Y,w porcji 100 g,180 kcal,0.2 g,0.2 g,73 g,0 g,71 g,0 g,0.04 g,,,
0000012582,Culineo Fix Boloński 41 g,artykuly-spozywcze,Y,w porcji 100 ml,49 kcal,0.2 g,0.1 g,9.4 g,6.5 g,,1.7 g,1.5 g,2 g,,
0000009234,La Española Oliwa z oliwek najwyższej jakości z pierwszego tłoczenia 750 ml,artykuly-spozywcze,Y,w porcji 100 g,900 kcal,100 g,14 g,0 g,0 g,,0 g,0 g,0 g,,
0000006572,Heinz Ketchup łagodny 1000 g,artykuly-spozywcze,Y,w porcji 100 g,102 kcal,0.1 g,0.1 g,23.2 g,22.8 g,,1.2 g,1.8 g,,,
0000010523,Garden Gourmet Veggie Balls Wegetariański produkt na bazie marchwi i groszku 200 g,artykuly-spozywcze,Y,w porcji 100 g,227 kcal,14.4 g,1 g,5.2 g,3.3 g,,16.2 g,1 g,5.9 g,,
0000008236,GustoBello Sos Pomidorowy z Serem Parmigiano Reggiano 600g,artykuly-spozywcze,Y,w porcji 100 g,61 kcal,3.2 g,0.7 g,5.5 g,5 g,,2.1 g,1.4 g,0.9 g,,
0000008686,Airwaves Cool Cassis XXL 42 drażetki 58g,artykuly-spozywcze,Y,w porcji 100 g,151 kcal,0 g,0 g,62.8 g,0 g,62.8 g,0 g,0 g,,,
0000015423,Bonitki Wafelki z kremem o smaku waniliowym 138 g,artykuly-spozywcze,Y,w porcji 100 g,527 kcal,28 g,16 g,60 g,31 g,,7.5 g,0.45 g,0.6 g,,
0000003229,Jacobs Cronat Gold Kawa rozpuszczalna 200 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000014911,Dallmayr Classic Kawa ziarnista 500 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000003103,Vitanella Musli Baton żurawina z pełnym ziarnem 40 g,artykuly-spozywcze,Y,w porcji 100 g,397 kcal,10 g,1.3 g,66 g,31 g,,7.7 g,0.15 g,4.4 g,,
0000008899,Piątnica Roślinna migdałowe 1 l,artykuly-spozywcze,Y,w porcji 100 g,48 kcal,2.9 g,0.2 g,3.9 g,2.8 g,,1.5 g,0.05 g,,,
0000009424,GustoBello Ryż do risotto arborio 1 kg,artykuly-spozywcze,Y,w porcji 100 g,342 kcal,0.7 g,0.2 g,78 g,0.5 g,,7.2 g,0.02 g,0.8 g,,
0000004987,Vitanella Orito kakaowe 350 g,artykuly-spozywcze,Y,w porcji 100 g,442 kcal,17.5 g,61.6 g,61.6 g,26.5 g,,7.7 g,0.52 g,3.5 g,,
0000004982,"Swojska Chata Kapusta kiszona z marchewką wiaderko, 1 kg",artykuly-spozywcze,Y,w porcji 100 g,25 kcal,0.5 g,0 g,3.6 g,1.6 g,,1.2 g,1.3 g,2.7 g,,
0000016401,Grześki Mega Baton w czekoladzie mlecznej 50 g,artykuly-spozywcze,Y,w porcji 100 g,494 kcal,23 g,13 g,65 g,43 g,,5.6 g,0.39 g,,,
0000001834,Be Fresh Drażetki o smaku miętowym 16 g,artykuly-spozywcze,Y,w porcji 100 g,398 kcal,0.5 g,0.5 g,99.4 g,96.3 g,,0.5 g,0.5 g,,,
0000016404,"Orbit For Kids Bezcukrowa guma do żucia (7 szt.) 14,4 g",artykuly-spozywcze,Y,w porcji 100 g,160 kcal,0 g,0 g,67 g,0 g,67 g,0 g,0 g,,,
0000007120,Adalbert's Tea Breakfast Tea Herbata czarna (25 x 2 g) 50 g,artykuly-spozywcze,Y,w porcji 100 g,0 kcal,0 g,,0 g,,,0 g,,,,
0000016510,Marinero łosoś kawałki w sosie pomidorowym 150 g,artykuly-spozywcze,Y,w porcji 100 g,176 kcal,10 g,1.5 g,3.6 g,2 g,,18 g,0.62 g,,,
0000008177,Go Vege Napój sojowy 1 l,artykuly-spozywcze,Y,w porcji 100 ml,44 kcal,1.8 g,0.3 g,3.2 g,2.4 g,,3.3 g,0.14 g,0.8 g,,
0000000759,Milton Earl grey strong Herbata czarna aromatyzowana 120 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000006307,7 Days Bake Rolls Pizza 150 g,artykuly-spozywcze,Y,w porcji 100 g,451 kcal,15 g,6 g,64 g,7 g,,14 g,2.3 g,,,
0000005831,Felix Orzeszki ziemne smażone i solone 140 g,artykuly-spozywcze,Y,w porcji 100 g,615 kcal,51 g,7.8 g,11 g,5.3 g,,25 g,1.2 g,8.2 g,27 g,15 g
