item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000007089,BakaD'Or Sélection Pestki dyni 180 g,artykuly-spozywcze,Y,w porcji 100 g,568 kcal,44 g,7.9 g,3.9 g,1.2 g,8.1 g,34 g,0.22 g,,,,
0000000977,Delikatesowa Szynka wieprzowa mielona 110 g,artykuly-spozywcze,Y,w porcji 100 g,102 kcal,5.4 g,2.1 g,0.3 g,0.3 g,2.4 g,12 g,2.4 g,,,,
0000006458,"Plony Natury Natural Mix Ryż  parboiled, makaron vermicelli, marchewka, groszek, bazylia 4x100 g",artykuly-spozywcze,Y,w porcji 100 g,343 kcal,0.8 g,0.3 g,72 g,6 g,6 g,9 g,0.06 g,,,,
0000016282,Alpro Sojowe wysokobiałkowe 750 ml,artykuly-spozywcze,Y,w porcji 100 ml,57 kcal,2.8 g,0.5 g,2.5 g,2.5 g,0.9 g,5 g,0.1 g,,,,
0000004893,Vitanella Musli owocowe 1 kg,artykuly-spozywcze,Y,w porcji 100 g,333 kcal,4.6 g,1.2 g,59.5 g,19.4 g,10 g,8.4 g,0.03 g,,,,
0000005879,Kujawski olej z lnu tłoczony na zimno 250 ml,artykuly-spozywcze,Y,w porcji 100 g,900 kcal,100 g,9.4 g,0 g,0 g,0 g,0 g,0 g,17.3 g,73.1 g,0 g,0 g
0000014688,Good Food Corn A'petit Papryka Pop Corn Snack 60 g,artykuly-spozywcze,Y,w porcji 100 g,412 kcal,8.4 g,0.8 g,75 g,2.5 g,3.4 g,7.3 g,1.1 g,,,,
0000007919,"Vitanella Select Migdały, Żurawina, Orzeszki ziemne 40 g",artykuly-spozywcze,Y,w porcji 100 g,522 kcal,32.9 g,3.8 g,41.1 g,32.4 g,6 g,12.4 g,0.01 g,,,,
0000006305,Asia Flavours Sos sriracha 180 ml,artykuly-spozywcze,Y,w porcji 100 ml,136 kcal,0 g,0 g,33 g,26 g,,1.1 g,7.5 g,,,,
0000003634,TaoTao Sos Sojowy 150 ml,artykuly-spozywcze,Y,w porcji 100 g,27 kcal,0 g,0 g,2.7 g,1.9 g,0 g,3.8 g,16.7 g,,,,
0000002098,Bonitki Herbatniki maślane 250 g,artykuly-spozywcze,Y,w porcji 100 g,480 kcal,16 g,7.6 g,76 g,23 g,,7.5 g,0.8 g,,,,
0000015478,MC Cafe Premium kawa mielona 250 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000005104,Vitanella Select Peanut Butter crunchy 96% orzeszków 450g,artykuly-spozywcze,Y,w porcji 100 g,613 kcal,49 g,8.5 g,17 g,7.1 g,7.4 g,22 g,0.7 g,,,,
0000002708,"Teekanne Herbata biała cytrusowa 20 torebek x 1,25g ",artykuly-spozywcze,N,,,,,,,,,,,,,
0000009788,Hellmann's Majonez Babuni 405 ml,artykuly-spozywcze,Y,w porcji 100 ml,604 kcal,64 g,5.1 g,4.6 g,4 g,,0.8 g,0.99 g,40.5 g,18.1 g,,
0000009237,E. Wedel Czekolada Mleczna z Wafelkami Orzechowymi WW 245 g,artykuly-spozywcze,Y,w porcji 100 g,540 kcal,29 g,15 g,61 g,56 g,2.7 g,7.1 g,0.19 g,,,,
0000008005,Biedronka Brasil Mogiana Kawa ziarnista 500 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000005924,Go Vege napój Vege ryż - kokos 1 l,artykuly-spozywcze,Y,w porcji 100 g,63 kcal,1.8 g,1.6 g,11.3 g,5.9 g,0.4 g,0.3 g,0.09 g,,,,
0000015622,"Bakello Żelatyna do mięs, ryb, warzyw i deserów, super klarowna 50 g",artykuly-spozywcze,N,,,,,,,,,,,,,
0000001908,Remsey Herbata czarna klasyczna w torebkach 75 torebek 150 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000001655,Top Słonecznik prażony 200 g,artykuly-spozywcze,Y,w porcji 100 g,630 kcal,55 g,6.4 g,8.5 g,3.2 g,8.5 g,21 g,0 g,,,,
0000007379,Lajkonik Mini Krakersy ser i cebula 100 g,artykuly-spozywcze,Y,w porcji 100 g,494 kcal,21 g,1.4 g,67 g,8.6 g,2.2 g,8.2 g,2 g,,,,
0000000944,Magnetic Czekolada mleczna nadziewana Karmelowa 100 g,artykuly-spozywcze,Y,w porcji 100 g,526 kcal,32 g,19 g,54 g,50 g,0.9 g,5.6 g,0.28 g,,,,
0000004432,Winterfresh Strong Mints 16 sztuk 28g,artykuly-spozywcze,Y,w porcji 100 g,244 kcal,1 g,1 g,98 g,0 g,,0 g,0 g,,,98 g,
