item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,polyols,monounsaturated fatty acids,polyunsaturated fatty acids
0000007759,El Toro Rojo Oliwki zielone drylowane nadziewane pastą paprykową 340 g,artykuly-spozywcze,Y,w porcji 100 g,134 kcal,13.8 g,3 g,0 g,0 g,2.1 g,0.7 g,3.8 g,,,
0000000978,Delikatesowa Szynka drobiowa mielona 110 g,artykuly-spozywcze,Y,w porcji 100 g,103 kcal,5 g,1.6 g,2.2 g,0.3 g,0.5 g,12 g,2.4 g,,,
0000005630,Rio Mare Tuńczyk w oliwie z oliwek 160 g,artykuly-spozywcze,Y,w porcji 100 g,401 kcal,37 g,6 g,0 g,0 g,,17 g,1.1 g,,,
0000005114,"Nestle Fitness z czekoladą 23,5 g",artykuly-spozywcze,Y,w porcji 100 g,386 kcal,8.3 g,3.3 g,69.2 g,24.8 g,7 g,6.5 g,0.62 g,,,
0000016439,Lavazza Qualità Oro Perfect Symphony Kawa ziarnista palona 500 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000004122,Pastani Makaron Capellini D'Angelo 250 g,artykuly-spozywcze,Y,w porcji 100 g,364 kcal,1.9 g,0.5 g,73 g,2.7 g,,12 g,0.01 g,,,
0000013009,Mentos Pure Fresh Lime Butelka 60 g,artykuly-spozywcze,Y,w porcji 100 g,190 kcal,0.4 g,0.4 g,74 g,0 g,,0 g,0.04 g,71 g,,
0000008270,Perla Zielone oliwki w marynacie chili 150 g,artykuly-spozywcze,Y,w porcji 100 g,158 kcal,15 g,2.1 g,0.5 g,0.5 g,6.6 g,1.4 g,3 g,,,
0000008459,Develey Musztarda horcice kremska 350 g,artykuly-spozywcze,Y,w porcji 100 g,147 kcal,5.8 g,0.1 g,17.8 g,16 g,,5.8 g,2.8 g,,,
0000004018,Kujawski 3 ziarna Olej z rzepaku lnu i pestek dyni 750 ml,artykuly-spozywcze,Y,w porcji 100 g,900 kcal,100 g,7.6 g,0 g,0 g,,0 g,0 g,,64.1 g,27.3 g
0000003089,Grześki Mini Wafel przekładany kremem kakaowym w czekoladzie (20 x 20 g) 400 g,artykuly-spozywcze,Y,w porcji 100 g,530 kcal,30 g,18 g,54 g,35 g,,9.4 g,0.3 g,,,
0000006331,Beskidzkie Paluszki o smaku sera i cebulki 180 g,artykuly-spozywcze,Y,w porcji 100 g,397 kcal,5.8 g,0.7 g,73 g,0.8 g,2.6 g,12 g,3.2 g,,,
0000005117,Nestle Corn Flakes Baton 22 g  ,artykuly-spozywcze,Y,w porcji 100 g,356 kcal,5.7 g,4.8 g,70.3 g,9 g,10.4 g,3.9 g,0.95 g,,,
0000006495,Huzar Miód lipowy nektarowy 1 kg,artykuly-spozywcze,Y,w porcji 100 g,340 kcal,0 g,0 g,84 g,67 g,,0.5 g,0 g,,,
0000006406,Milka Choc & Choc Ciastka biszkoptowe przekładane nadzieniem kakaowym oblane czekoladą mleczną 150 g,artykuly-spozywcze,Y,w porcji 100 g,454 kcal,22 g,7.9 g,58 g,40 g,1.6 g,5.6 g,0.58 g,,,
0000008735,Plony Natury Ryż jaśminowy czarny 400 g,artykuly-spozywcze,Y,w porcji 100 g,361 kcal,3.4 g,1 g,73 g,0.7 g,2.1 g,8.6 g,0.01 g,,,
0000001295,Tchibo Eduscho Family Kawa mielona 500 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000016386,Go Active Masło orzechowe o smaku kokosowym 350 g,artykuly-spozywcze,Y,w porcji 100 g,595 kcal,45 g,12 g,16 g,4.9 g,7.1 g,28 g,0.05 g,,,
0000002918,Magnetic Mella galaretka w czekoladzie o smaku wiśniowym 190g,artykuly-spozywcze,Y,w porcji 100 g,366 kcal,7.2 g,4.3 g,72 g,60 g,,0.8 g,0.16 g,,,
