item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,polyols,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids,starch,kJ
0000001697,Orbit Spearmint 10 drażetek 14 g,artykuly-spozywcze,Y,w porcji 100 g,152 kcal,0 g,0 g,63.3 g,0 g,63.3 g,0 g,0 g,,,,,
0000016084,Knorr Fix panierka Chrupiący kurczak z czosnkiem 70 g,artykuly-spozywcze,Y,w porcji 100 g,352 kcal,1.6 g,0.2 g,70 g,3.8 g,,11 g,3 g,5.6 g,,,,
0000008585,Biedronka Olej z awokado z pierwszego tłoczenia 250 ml,artykuly-spozywcze,Y,w porcji 100 ml,822 kcal,91.4 g,15.6 g,0 g,0 g,,0 g,0 g,0 g,64.9 g,10.9 g,,
0000005844,Candi Happy Faces Żelki piankowe o smaku owocowym 200 g,artykuly-spozywcze,Y,w porcji 100 g,334 kcal,0 g,0 g,77 g,67 g,,5.2 g,0 g,,,,,
0000006288,Knorr Danie Makaron śmietana z ziołami 59 g,artykuly-spozywcze,Y,w porcji 100 g,99 kcal,2.4 g,0.7 g,16 g,2 g,,2.9 g,0.67 g,0.7 g,,,,
0000005830,Felix Orzeszki ziemne prażone 140 g,artykuly-spozywcze,Y,w porcji 100 g,609 kcal,49 g,7.8 g,12 g,5.6 g,,26 g,0.01 g,8.6 g,25 g,16 g,,
0000005204,Nasza Spiżarnia Mieszanka warzywna z kukurydzą 860 g,artykuly-spozywcze,Y,w porcji 100 g,34 kcal,0.5 g,0.1 g,4.6 g,3.9 g,,1.5 g,1.2 g,2.7 g,,,,
0000005196,Dr. Oetker Babeczki z płatkami czekolady 300 g,artykuly-spozywcze,N,,,,,,,,,,,,,,
0000008835,"Vitanella Select Green Grunchy Morwa biała, biała czekolada z Matcha 300 g",artykuly-spozywcze,Y,w porcji 100 g,433 kcal,14.3 g,3 g,61.3 g,24.6 g,,9.8 g,0.39 g,9.9 g,,,,
0000003213,Lipton Herbata Zielona Pigwa 25 torebek,artykuly-spozywcze,Y,w porcji 100 g,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,,0.5 g,0.01 g,,,,,
0000007340,Knoppers Baton orzeszki ziemne 40 g,artykuly-spozywcze,Y,w porcji 100 g,513 kcal,29.4 g,14.3 g,51.2 g,38.8 g,,10 g,0.66 g,,,,,
0000005700,"Teekanne Świat Owoców Aromatyzowana herbatka owocowa słodka brzoskwinia 45 g (20 x 2,25 g)",artykuly-spozywcze,N,,,,,,,,,,,,,,
0000002074,Słodka Kraina Makowiec 450 g,artykuly-spozywcze,Y,w porcji 100 g,313 kcal,10 g,1.4 g,51 g,23 g,,7 g,0.28 g,4.9 g,,,,
0000008211,Go Bio ekologiczny kanadyjski syrop klonowy 189 ml,artykuly-spozywcze,Y,w porcji 100 ml,356 kcal,0 g,0 g,88 g,82 g,0 g,1.2 g,0.01 g,0 g,0 g,0 g,0 g,
0000017909,Nestlé Trix Płatki śniadaniowe o smaku owocowym w formie batonika 17 g,artykuly-spozywcze,Y,w porcji 100 g,384 kcal,11.6 g,4.3 g,62.2 g,22.3 g,,5.4 g,0.15 g,4.4 g,,,,
0000008464,Go Vege Pesto z Tofu 190 g,artykuly-spozywcze,Y,w porcji 100 g,238 kcal,22.2 g,2.7 g,3.2 g,1.6 g,,4.5 g,2 g,3.7 g,,,,
0000004902,Plony Natury Ryż biały długoziarnisty z europejskich upraw 4 x 125 g,artykuly-spozywcze,Y,w porcji 100 g,375 kcal,0.9 g,0.2 g,79 g,0.5 g,,7.9 g,0.01 g,0.7 g,,,,
0000006534,Cafe d'Or Kawa w kapsułkach Espresso Intenso 16 x 7 g 112 g,artykuly-spozywcze,N,,,,,,,,,,,,,,
0000015990,Łowicz Sos spaghetti 500 g,artykuly-spozywcze,Y,w porcji 100 g,81 kcal,2 g,0.2 g,14 g,12 g,,1.6 g,1.1 g,,,,,
0000019227,Ciastko krucha czeresienka 50 g,artykuly-spozywcze,Y,w porcji 100 g,486 kcal,34 g,17 g,38 g,7.8 g,,5.8 g,1.2 g,2.3 g,,,,2021 kj
0000015379,Rapsodia Dżem truskawkowy słodzony ksylitolem 250 g,artykuly-spozywcze,Y,w porcji 100 g,82 kcal,0.5 g,0 g,28 g,2.8 g,22 g,0.6 g,0.03 g,1 g,,,,
0000008977,Kamis Papryka słodka 40 g,artykuly-spozywcze,N,,,,,,,,,,,,,,
0000004778,Gellwe Słodki Kubek Kisiel z kawałkami owoców smak owoce leśne 28 g,artykuly-spozywcze,N,,,,,,,,,,,,,,
0000015204,Marinero sałatka pikantna z makrelą 330g,artykuly-spozywcze,Y,w porcji 100 g,145 kcal,7.9 g,1.6 g,9.4 g,7.5 g,,8.7 g,1.3 g,0.8 g,,,,
0000006714,Bonitki Deserowe z kakao i czekoladą 200 g,artykuly-spozywcze,Y,w porcji 100 g,492 kcal,23 g,11 g,62 g,23 g,,7.9 g,0.7 g,2.5 g,,,,
0000000127,Olej Wyborny Rzepakowy 3 l,artykuly-spozywcze,Y,w porcji 100 ml,828 kcal,92 g,6.4 g,0 g,0 g,,0 g,0 g,,58 g,28 g,,
0000012584,Culineo Fix Smak chiński 40 g,artykuly-spozywcze,Y,w porcji 100 ml,37 kcal,0.2 g,0.1 g,6.7 g,1.7 g,,1 g,1.5 g,2 g,,,,
0000008861,Milka Chips Ahoy czekolada mleczna 100 g,artykuly-spozywcze,Y,w porcji 100 g,566 kcal,36 g,20 g,55 g,50 g,,4.9 g,0.27 g,1.6 g,,,,
0000009595,Herbarium Aktywne Trawienie  Herbatka ziołowa w torebkach do zaparzania 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,2 kcal,0 g,0 g,0 g,0 g,,0 g,0 g,,,,,
0000008003,Magnetic Big Peanut Czekolada mleczna 295 g,artykuly-spozywcze,Y,w porcji 100 g,549 kcal,35 g,18 g,48 g,46 g,,9.1 g,0.34 g,2.4 g,,,,
0000009734,Dega Paprykarz z dorszem 130 g,artykuly-spozywcze,Y,w porcji 100 g,125 kcal,6.6 g,0.8 g,11 g,3.2 g,,4.9 g,1.4 g,,,,,
0000006696,Magnetic Podniebne Mleczko o smaku waniliowym 380g,artykuly-spozywcze,Y,w porcji 100 g,447 kcal,19 g,12 g,65 g,49 g,,2.9 g,0.05 g,2.2 g,,,,
