item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber
0000009739,Bounty Baton 57 g,artykuly-spozywcze,Y,w porcji 100 g,487 kcal,25.7 g,21.2 g,58.9 g,48.2 g,3.7 g,0.25 g,
0000005659,dega Paprykarz z łososia 135 g,artykuly-spozywcze,Y,w porcji 100 g,149 kcal,9.4 g,1 g,10 g,3.6 g,5.2 g,1.5 g,
0000002858,"Verdin Fix Suplement diety kompozycja 6 ziół 36 g (20 x 1,8 g)",artykuly-spozywcze,N,,,,,,,,,
0000011507,Herbaciany Ogród herbatka owocowa zimowy sekret 20tb 60 g,artykuly-spozywcze,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,0 g,0 g,
0000008232,Patak's Tikka Masala Kremowy sos pomidorowy z nutą kolendry 450 g,artykuly-spozywcze,Y,w porcji 100 g,84 kcal,4.7 g,0.8 g,8.4 g,4.3 g,1.4 g,,
0000008855,OYAKATA Miso Ramen Zupa instant 89 g,artykuly-spozywcze,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,0 g,,
0000000747,Granella Granulowany napój herbaciany o smaku cytrynowym z witaminą C 400 g,artykuly-spozywcze,Y,w porcji 100 g,387 kcal,0 g,0 g,95 g,95 g,0.1 g,0.05 g,
0000001058,Culineo Sos pieczarkowy 30 g,artykuly-spozywcze,Y,w porcji 100 ml,33 kcal,0.4 g,0.2 g,6.3 g,1.9 g,0.9 g,1.3 g,0.3 g
0000006858,Biedronka pasztet z królikiem 160g,artykuly-spozywcze,Y,w porcji 100 g,168 kcal,11 g,4.1 g,3.5 g,1.7 g,13 g,0.86 g,1.6 g
0000005969,Cafe d'Or Crema Kawa rozpuszczalna o smaku wanilii 75 g,artykuly-spozywcze,N,,,,,,,,,
0000008143,Madero Sos Cezar 410 g,artykuly-spozywcze,Y,w porcji 100 g,294 kcal,26 g,2.6 g,11 g,8.4 g,2.5 g,1.6 g,0.3 g
0000009041,Crunchips Papryka 140g,artykuly-spozywcze,Y,w porcji 100 g,538 kcal,34 g,2.5 g,50 g,2.4 g,5.7 g,1.5 g,4.4 g
0000014376,"Culineo Bulion warzywny do zup, sosów i dań 120 g",artykuly-spozywcze,Y,w porcji 100 g,91 kcal,2.2 g,0.2 g,15 g,11 g,2.2 g,16.4 g,1.4 g
0000009525,Go Active Owsianka wysokobiałkowa z żurawiną i chia 65g,artykuly-spozywcze,Y,w porcji 100 g,356 kcal,4.4 g,0.9 g,46 g,20 g,30 g,0.31 g,6.2 g
0000001005,Tasso Wafelki z kremem orzechowym 450 g,artykuly-spozywcze,Y,w porcji 100 g,513 kcal,29 g,12 g,56 g,28 g,6.3 g,0.45 g,
0000007746,Winiary Bulion wołowy 160 g,artykuly-spozywcze,N,,,,,,,,,
0000015098,Madero Stołowy sos tatarski 240 ml,artykuly-spozywcze,Y,w porcji 100 ml,447 kcal,45 g,3.5 g,8.6 g,7.3 g,1.1 g,1.4 g,0.5 g
0000008541,Culineo Włoszczyzna suszona 250 g,artykuly-spozywcze,Y,w porcji 100 g,317 kcal,1.8 g,0.3 g,55 g,33 g,8.1 g,0.2 g,24 g
0000004894,Vitanella Musli tropikalne 1 kg,artykuly-spozywcze,Y,w porcji 100 g,364 kcal,7.3 g,4.1 g,60.2 g,10.3 g,9.4 g,0.08 g,9.9 g
0000005091,Culineo Gorąca Chwila Grochowa z wędzonym boczkiem i grzankami 21 g,artykuly-spozywcze,Y,w porcji 100 ml,35 kcal,0.7 g,0.3 g,4.8 g,0.7 g,2.1 g,1 g,0.9 g
0000000749,Granella Granulowany napój herbaciany o smaku owoców leśnych z witaminą C 400 g,artykuly-spozywcze,Y,w porcji 100 g,387 kcal,0 g,0 g,95 g,95 g,0.1 g,0.05 g,
0000007239,Adalbert's Tea Herbata czarna liściasta tropikalna 100 g,artykuly-spozywcze,Y,w porcji 100 g,0 kcal,0 g,,0 g,,0 g,,
0000001833,Be Fresh Drażetki o smaku owocowym 16 g,artykuly-spozywcze,Y,w porcji 100 g,393 kcal,0.2 g,0.2 g,97.7 g,95.5 g,0.5 g,0.05 g,
0000000961,Biedronka Gulasz Angielski 300 g,artykuly-spozywcze,Y,w porcji 100 g,177 kcal,12 g,4.8 g,0.5 g,0.5 g,17 g,1.9 g,
0000000760,Milton Earl grey classic Herbata czarna aromatyzowana 120 g,artykuly-spozywcze,N,,,,,,,,,
0000015046,Kupiec Fitos Wafle kukurydziane o smaku cheddar(15 sztuk) 120 g ,artykuly-spozywcze,Y,w porcji 100 g,376 kcal,2.2 g,0.3 g,79.4 g,6.5 g,9.1 g,2.66 g,1.3 g
0000009751,Twix Baton 50 g,artykuly-spozywcze,Y,w porcji 100 g,493 kcal,24 g,14 g,65 g,48 g,4.6 g,0.39 g,
0000004333,Szlachecki Makaron Kluski tarte 400g,artykuly-spozywcze,Y,w porcji 100 g,362 kcal,2.4 g,0.8 g,69 g,1.5 g,15 g,0.04 g,
0000000245,Pedro's Active Kawa mielona 500 g,artykuly-spozywcze,N,,,,,,,,,
0000015645,Eduscho Caffè Crema Strong Kawa palona ziarnista 1000 g,artykuly-spozywcze,N,,,,,,,,,
0000004243,Drop Pasztet z drobiem 160 g,artykuly-spozywcze,Y,w porcji 100 g,191 kcal,16 g,6 g,3.6 g,0.6 g,8.2 g,1.4 g,
0000008734,Plony Natury Ryż czerwony długoziarnisty 400 g,artykuly-spozywcze,Y,w porcji 100 g,365 kcal,5.8 g,2.1 g,68 g,1.1 g,8.6 g,0.01 g,3.8 g
