item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,polyols
0000018651,Dawtona Passata Intenso zioła włoskie 500 g,artykuly-spozywcze,Y,w porcji 100 g,58 kcal,0.5 g,0.1 g,9.5 g,6.7 g,2.8 g,2.1 g,0.54 g,,,
0000009930,Kamis Majeranek 8 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000016365,Tic Tac Drażetki o smaku truskawki 54 g,artykuly-spozywcze,Y,w porcji 100 g,394 kcal,0.6 g,0.6 g,94.8 g,91.3 g,,0 g,0.03 g,,,
0000006948,Kamis Mieszanka przyprawowa pieprz ziołowy 15 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000006571,Kamis Musztarda sarepska 185 g,artykuly-spozywcze,Y,w porcji 100 g,101 kcal,5.1 g,0.3 g,8.3 g,6.9 g,,3.7 g,2.52 g,,,
0000015492,Winiary Sos pieczeniowy ciemny 30 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000006932,Kamis Pieprz kolorowy ziarnisty 12 g,artykuly-spozywcze,N,,,,,,,,,,,,
0000001359,GustoBello Tortellini al Prosciutto z dodatkiem szynki prosciutto crudo 250 g,artykuly-spozywcze,Y,w porcji 100 g,394 kcal,10 g,4.8 g,61 g,1.5 g,2.1 g,14 g,2.7 g,,,
0000008781,Lajkonik Precelki chrupkie 180 g,artykuly-spozywcze,Y,w porcji 100 g,394 kcal,7.3 g,0.5 g,69 g,2.6 g,4.1 g,11 g,3.5 g,,,
0000010573,Paluszki Junior 200g,artykuly-spozywcze,Y,w porcji 100 g,406 kcal,5.9 g,0.6 g,75 g,5.7 g,2.6 g,12 g,1.9 g,,,
0000014899,Polski Olej rzepakowy 1l,artykuly-spozywcze,Y,w porcji 100 ml,818 kcal,91 g,6.4 g,0 g,0 g,,0 g,0 g,59.1 g,25.5 g,
0000001062,Airwaves Cool Cassis 25 drażetek 35 g,artykuly-spozywcze,Y,w porcji 100 g,151 kcal,0 g,0 g,62.8 g,0 g,,0 g,0 g,,,62.8 g
0000001135,Rikka Musztarda stołowa 210 g,artykuly-spozywcze,Y,w porcji 100 g,107 kcal,4.9 g,0.7 g,6.9 g,6.8 g,4.2 g,5.1 g,2.3 g,,,
0000009763,Pudliszki Ketchup pikantny 480 g,artykuly-spozywcze,Y,w porcji 100 g,109 kcal,0 g,0 g,25 g,22 g,1.1 g,1.7 g,2.4 g,,,
