item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000004683,Krakus Konserwa turystyczna 300 g,artykuly-spozywcze,Y,w porcji 100 g,291 kcal,26 g,10 g,0.2 g,0 g,14 g,2.2 g,,,,,
0000008072,Słodka Kraina Ciasto czekoladowe 400g,artykuly-spozywcze,Y,w porcji 100 g,441 kcal,27 g,4.4 g,44 g,30 g,6.2 g,1.1 g,1.2 g,,,,
0000015205,Marinero paprykarz szczeciński z łososiem 330g,artykuly-spozywcze,Y,w porcji 100 g,155 kcal,10 g,1.4 g,9.3 g,3.4 g,5 g,1.4 g,2.3 g,,,,
0000008461,Mutti Sos pomidorowy Aromatizzata 400 g,artykuly-spozywcze,Y,w porcji 100 g,40 kcal,0.2 g,0.1 g,6.6 g,4.8 g,1.8 g,0.85 g,,,,,
0000004746,Top Chrupki smak fromage 110g,artykuly-spozywcze,Y,w porcji 100 g,535 kcal,32 g,2.6 g,58 g,2.1 g,2.9 g,1.8 g,1.6 g,,,,
0000006493,Huzar Miód nektarowo-spadziowy 1 kg,artykuly-spozywcze,Y,w porcji 100 g,333 kcal,0 g,0 g,83 g,72 g,0.5 g,0 g,,,,,
0000015377,Rio Mare pasztet z tuńczyka z sokiem z cytryny 115 g,artykuly-spozywcze,Y,w porcji 100 g,220 kcal,17 g,2.7 g,4.3 g,0.5 g,12 g,1.4 g,,,,,
0000002186,Tasso Wafelki z kremem kakaowym w czekoladzie 600g,artykuly-spozywcze,Y,w porcji 100 g,515 kcal,28 g,15 g,61 g,39 g,5.3 g,0.3 g,1.1 g,,,,
0000010160,Jacobs Espresso Kawa ziarnista 1 kg,artykuly-spozywcze,N,,,,,,,,,,,,,
0000015395,Dobra Kaloria Mini batoniki z nerkowców à la tarta malinowa (6 x 17 g) 102 g,artykuly-spozywcze,Y,w porcji 100 g,406 kcal,16 g,2.6 g,53 g,46 g,8.9 g,0.02 g,6.4 g,,,,
0000016630,Kawa Tchibo Exclusive mielona 250g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000002652,Vitanella Crunchy klasyczne 350 g,artykuly-spozywcze,Y,w porcji 100 g,444 kcal,14 g,2.9 g,67 g,21 g,9.3 g,0.32 g,6.4 g,,,,
0000010745,olej rzepakowy Beskidzki 1 l,artykuly-spozywcze,Y,w porcji 100 ml,828 kcal,92 g,6 g,0 g,0 g,0 g,0 g,0 g,60 g,26 g,0 g,0 g
0000002220,Nasze Smaki Galaretka z kurczaka 160g,artykuly-spozywcze,Y,w porcji 100 g,50 kcal,1.3 g,0.4 g,1 g,0.6 g,8.1 g,1.5 g,1 g,,,,
0000001489,Milton Herbatka aromatyzowana owocowa  o smaku dzikiej róży z truskawką i rabarbarem w40 torebek 80 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000016629,Kawa mielona Tchibo Exclusive 275 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000015417,Baitz Milk Cookie Balls herbatniki w czekoladzie mlecznej 75 g,artykuly-spozywcze,Y,w porcji 100 g,473 kcal,19 g,8.9 g,68 g,37 g,7.1 g,0.6 g,1.2 g,,,,
0000001184,Vitanella Płatki z otrębami pszennymi 250 g,artykuly-spozywcze,Y,w porcji 100 g,363 kcal,2.7 g,0.9 g,68.9 g,25.9 g,9.8 g,0.4 g,11.7 g,,,,
0000010213,Jacobs Kronung Kawa ziarnista 1 kg,artykuly-spozywcze,N,,,,,,,,,,,,,
0000013003,"Chupa Chups Lizaki Strawberry Love o smaku truskawkowym, truskawkowo - śmietankowym i kwaśnej truskawki 120g",artykuly-spozywcze,Y,w porcji 100 g,385 kcal,0.3 g,0.2 g,94 g,82 g,0 g,0.15 g,,,,,
0000007366,Delecta Aromat do ciast pomarańczowy 9 ml,artykuly-spozywcze,N,,,,,,,,,,,,,
0000006317,Haribo Żelki owocowe balla stixx malina-jeżyna 200 g,artykuly-spozywcze,Y,w porcji 100 g,369 kcal,3.6 g,2.2 g,81 g,62 g,2.6 g,0.08 g,,,,,
0000005166,Magnetic Czekolada mleczna 100 g,artykuly-spozywcze,Y,w porcji 100 g,552 kcal,34 g,21 g,53 g,53 g,6.6 g,0.26 g,1.7 g,,,,
0000007160,Alpro Sojowe Niesłodzone 1 l,artykuly-spozywcze,Y,w porcji 100 g,33 kcal,1.8 g,0.3 g,0 g,0 g,3.3 g,0.09 g,0.6 g,,,,
0000003654,Graal Sałatka Americana Tuńczyk z warzywami 280 g,artykuly-spozywcze,Y,w porcji 100 g,252 kcal,21 g,1.5 g,7.3 g,2.8 g,7.6 g,1.5 g,,13 g,6 g,,
0000009372,Go Active Baton wysokobiałkowy smak karmelowy 40 g,artykuly-spozywcze,Y,w porcji 100 g,390 kcal,16 g,9.3 g,37 g,13 g,32 g,0.7 g,2.7 g,,,,
0000009159,"Nescafé Dolce Gusto Latte Macchiato Kawa w kapsułkach (8 x 17,4 g i 8 x 5,5 g) 183,2 g",artykuly-spozywcze,Y,w porcji 100 g,448 kcal,20.8 g,11.8 g,37.5 g,35.5 g,19.6 g,0.49 g,14.7 g,,,,
0000005326,"Vitanella Owsianka Mango, Truskawka 70 g",artykuly-spozywcze,Y,w porcji 100 g,367 kcal,7.7 g,1.2 g,57 g,20.8 g,11.3 g,0.04 g,12.2 g,,,,
0000004261,Nestlé Chocapic Zbożowe płatki śniadaniowe o smaku brownie 210 g,artykuly-spozywcze,Y,w porcji 100 g,385 kcal,4.6 g,1.1 g,74 g,24.5 g,8.3 g,0.22 g,6.8 g,,,,
0000010894,Perla Zielone papryczki nadziewane serkiem 270 g,artykuly-spozywcze,Y,w porcji 100 g,500 kcal,54 g,8.5 g,1.3 g,0.9 g,1.8 g,1.5 g,0.8 g,,,,
0000016442,Cafe d'Or Kawa mielona Gold 100% Arabica 250 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000003633,TaoTao Sos sojowy ciemny 150ml,artykuly-spozywcze,Y,w porcji 100 g,158 kcal,0 g,0 g,31.6 g,9.8 g,6.7 g,17.3 g,,,,,
