item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols,ergokalcyferol
0000005632,Rio Mare Tuńczyk w sosie własnym 160 g,artykuly-spozywcze,Y,w porcji 100 g,101 kcal,0.5 g,0.2 g,0 g,0 g,24 g,1.1 g,,,
0000009467,Twoje Słodkie Chwile andruty white 500 g,artykuly-spozywcze,Y,w porcji 100 g,520 kcal,28 g,14 g,61 g,40 g,4.1 g,0.21 g,4 g,,
0000000169,Rapsodia Marmolada o smaku dzikiej róży 590 g,artykuly-spozywcze,Y,w porcji 100 g,238 kcal,0.4 g,0 g,57 g,55 g,0.4 g,0 g,,,
0000002747,Cafe d'Or Crema Kawa ziarnista 500 g,artykuly-spozywcze,N,,,,,,,,,,,
0000016043,Winiary Pomysł na... Pełne danie Karkówka z ziemniakami i marchewką 30 g,artykuly-spozywcze,N,,,,,,,,,,,
0000014833,Orbit Strawberry Bezcukrowa guma do żucia (21 sztuk) 29 g,artykuly-spozywcze,Y,w porcji 100 g,167 kcal,0 g,0 g,68 g,0 g,0 g,0 g,,68 g,
0000015663,Wawel Śliwki w czekoladzie 180g,artykuly-spozywcze,Y,w porcji 100 g,381 kcal,11 g,6.7 g,66 g,58 g,2.2 g,0.02 g,,,
0000008079,Magnetic Profesorka Czekolada deserowa pełna bakalii 180 g,artykuly-spozywcze,Y,w porcji 100 g,476 kcal,26 g,15 g,51 g,45 g,6.6 g,0.04 g,6.5 g,,
0000015365,Go Vege Pasta słonecznikowa z papryką 170 g,artykuly-spozywcze,Y,w porcji 100 g,262 kcal,23 g,2.5 g,8.1 g,5.8 g,5 g,1.2 g,2.6 g,,
0000008431,Vitanella Kaszka z mlekiem smak truskawkowy 50g,artykuly-spozywcze,Y,w porcji 100 g,364 kcal,3.8 g,1.6 g,65 g,25 g,14 g,0.32 g,7 g,,
0000011228,King Oscar Sałatka z tuńczykiem w stylu meksykańskim 220 g,artykuly-spozywcze,Y,w porcji 100 g,115 kcal,2.2 g,0.3 g,13 g,2.7 g,9.7 g,0.8 g,2 g,,
0000012634,Culineo Makaron w sosie gulaszowym 50 g,artykuly-spozywcze,Y,w porcji 100 g,80 kcal,1.2 g,0.6 g,14 g,2.2 g,2.6 g,0.98 g,1.2 g,,
0000005614,Oyakata zupa ramen pork kubek 62 g ,artykuly-spozywcze,Y,w porcji 100 ml,91 kcal,4 g,2.2 g,11 g,0.5 g,2.4 g,0.95 g,,,
0000007368,Delecta Aromat do ciast cytrynowy 9 ml,artykuly-spozywcze,N,,,,,,,,,,,
0000002859,"Verdin Fix Suplement diety kompozycja 6 ziół z earl grey 36 g (20 x 1,8 g)",artykuly-spozywcze,N,,,,,,,,,,,
0000007729,Fanex Sos czosnkowy 400 g,artykuly-spozywcze,Y,w porcji 100 g,445 kcal,46 g,3.3 g,6.6 g,4.9 g,0.7 g,1.4 g,,,
0000007418,Cafe d'Or Strong Kawa rozpuszczalna liofilizowana 200 g,artykuly-spozywcze,N,,,,,,,,,,,
0000008854,OYAKATA Soy Sauce Ramen Zupa instant 83 g,artykuly-spozywcze,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,0 g,,,,
0000007728,Fanex Sos tysiąc wysp 400 g,artykuly-spozywcze,Y,w porcji 100 g,301 kcal,28 g,2 g,10 g,6.9 g,1.1 g,1.2 g,,,
0000006287,Knorr Danie Makaron Carbonara 55 g,artykuly-spozywcze,Y,w porcji 100 g,98 kcal,3 g,1 g,14 g,2.2 g,3.3 g,0.74 g,0.5 g,,
0000005327,"Vitanella Owsianka Ananas, Kokos 70 g",artykuly-spozywcze,Y,w porcji 100 g,415 kcal,16 g,8.8 g,51.2 g,16.6 g,10.8 g,0.04 g,11.7 g,,
0000016800,Alpro Napój sojowy o smaku czekoladowym 1 l,artykuly-spozywcze,Y,w porcji 100 ml,61 kcal,1.8 g,0.4 g,7.9 g,7.6 g,3.1 g,0.14 g,0.9 g,,0.75 µg
0000006582,Remsey Herbatka aromatyzowana owocowo  o smaku  aronii i maliny 20 torebek 40 g,artykuly-spozywcze,N,,,,,,,,,,,
0000000176,Rapsodia Marmolada miękka wieloowocowa 590 g,artykuly-spozywcze,Y,w porcji 100 g,238 kcal,0.5 g,0 g,57 g,55 g,0.5 g,0 g,,,
0000010567,MK Cafe Select kawa palona ziarnista 1 kg ,artykuly-spozywcze,N,,,,,,,,,,,
0000003350,Madero Stołowy sos hamburger pomidorowo- jogurtowy 410 g,artykuly-spozywcze,Y,w porcji 100 g,265 kcal,23 g,1.9 g,11 g,7.7 g,1.7 g,1.5 g,0.8 g,,
0000009310,Bonitki Wafle z nadzieniem orzechowym 210 g,artykuly-spozywcze,Y,w porcji 100 g,539 kcal,32 g,10 g,53 g,36 g,8.7 g,0.35 g,3.5 g,,
0000016440,Lavazza Espresso Italiano Classico Kawa ziarnista palona 500 g,artykuly-spozywcze,N,,,,,,,,,,,
0000006976,Tchibo Exclusive Medium Roast kawa ziarnista 1000 g,artykuly-spozywcze,N,,,,,,,,,,,
0000016215,Rama Crema 31% 200 ml,artykuly-spozywcze,Y,w porcji 100 g,292 kcal,31 g,22 g,2.3 g,1.3 g,0.6 g,0.11 g,,,
0000003416,"Be Fresh Guma do żucia bez cukru Bubblemint 42,9 g",artykuly-spozywcze,Y,w porcji 100 g,156 kcal,0 g,0 g,65 g,0 g,0 g,0.21 g,,,
0000012632,Culineo Makaron w sosie serowo-śmietanowym ze szpinakiem 50 g,artykuly-spozywcze,Y,w porcji 100 g,79 kcal,1.4 g,0.9 g,13 g,1.7 g,3 g,0.98 g,1.1 g,,
