item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,ergokalcyferol
0000015355,Dan Cake Ciacho 62 g,artykuly-spozywcze,Y,w porcji 100 g,446 kcal,23 g,14 g,54 g,34 g,5.4 g,0.9 g,,
0000005080,Candi Kwaśne paski o smaku truskawkowym 150 g,artykuly-spozywcze,Y,w porcji 100 g,365 kcal,1.8 g,1.3 g,83 g,60 g,3 g,0.31 g,0.5 g,
0000006761,Elios Papryka chili 320 g,artykuly-spozywcze,Y,w porcji 100 g,29 kcal,0.6 g,0.1 g,4 g,0.2 g,0.7 g,3.7 g,2.6 g,
0000007805,Go Vege Sos z jalapeño 410g,artykuly-spozywcze,Y,w porcji 100 g,279 kcal,25 g,1.9 g,12 g,8 g,0 g,1.7 g,0 g,
0000009545,Top Orzeszki ziemne prażone Smak ostra papryka 240 g,artykuly-spozywcze,Y,w porcji 100 g,586 kcal,47 g,6.3 g,13 g,5.1 g,21 g,1.5 g,13 g,
0000008471,Alpro Napój Kokosowo-Sojowy Barista for Professionals 1 l,artykuly-spozywcze,Y,w porcji 100 ml,33 kcal,1.4 g,0.7 g,3.3 g,3.3 g,1.5 g,0.08 g,0.2 g,
0000002259,Magnetic Kolekcja pralin nadziewanych 300 g,artykuly-spozywcze,Y,w porcji 100 g,536 kcal,32 g,17 g,56 g,53 g,5 g,0.17 g,1.9 g,
0000003282,Cafe d'Or Gold Kawa mielona 250 g,artykuly-spozywcze,N,,,,,,,,,,
0000000299,TOP Krakersy solone 175 g,artykuly-spozywcze,Y,w porcji 100 g,452 kcal,17 g,1.3 g,64 g,3.7 g,9.4 g,2.3 g,2.9 g,
0000007814,Wawel Królewskie mleczko śmietankowe 300 g,artykuly-spozywcze,Y,w porcji 100 g,373 kcal,16 g,11 g,53 g,45 g,3.5 g,0.1 g,,
0000015078,Milka Alpejskie Mleczko Waniliowe 330 g,artykuly-spozywcze,Y,w porcji 100 g,427 kcal,22 g,10 g,55 g,44 g,3.4 g,0.12 g,1.8 g,
0000008832,Top Paluszki z sezamem 250 g,artykuly-spozywcze,Y,w porcji 100 g,480 kcal,12 g,1.4 g,76 g,6.6 g,15 g,2 g,3.8 g,
0000005681,Cafe d'Or Coffo 3w1 classic 12 szt. 216 g,artykuly-spozywcze,Y,w porcji 100 g,454 kcal,13 g,12 g,81 g,36 g,2.2 g,0.63 g,2 g,
0000011364,House of Asia Imbir biały 190 g,artykuly-spozywcze,Y,w porcji 100 g,6 kcal,0.1 g,0 g,0.5 g,0 g,0.2 g,2.4 g,,
0000011386,Gellwe Ciasto i krem do karpatki mieszanka do wypieku 340 g,artykuly-spozywcze,N,,,,,,,,,,
0000011387,House Of Asia Pasta wasabi 43 g,artykuly-spozywcze,Y,w porcji 100 g,364 kcal,13.5 g,5.8 g,58.8 g,23.9 g,1.8 g,0.01 g,,
0000006906,Cafe d'Or Mild Kawa rozpuszczalna liofilizowana 200 g,artykuly-spozywcze,N,,,,,,,,,,
0000004897,Woseba Mocca Fix Gold Kawa palona ziarnista 1000 g,artykuly-spozywcze,N,,,,,,,,,,
0000008491,Jadłowiec Kotlety mielone z kapustą 470g,artykuly-spozywcze,Y,w porcji 100 g,124 kcal,9.3 g,3.7 g,3.5 g,0.6 g,6.1 g,1 g,1.2 g,
0000005223,Cafe d'Or Blue Kawa mielona 500 g,artykuly-spozywcze,N,,,,,,,,,,
0000002137,Słodka Kraina Babka o smaku cytrynowym 400 g,artykuly-spozywcze,Y,w porcji 100 g,456 kcal,29 g,3.1 g,43 g,21 g,5.5 g,0.77 g,0.6 g,
0000011797,Zozole Żelki Rainbow 75 g,artykuly-spozywcze,Y,w porcji 100 g,363 kcal,2.2 g,1.2 g,83 g,50 g,2.5 g,0.45 g,,
0000004328,"Orion Studentska Czekolada mleczna z orzechami ziemnymi, żelkami i rodzynkami 170 g",artykuly-spozywcze,Y,w porcji 100 g,504 kcal,27.1 g,13.7 g,56.5 g,53.3 g,7 g,0.12 g,2.7 g,
0000004209,Ups! Cukierki pudrowe o smakach owocowych 120 g,artykuly-spozywcze,Y,w porcji 100 g,388 kcal,0 g,0 g,97 g,95 g,0 g,0 g,,
0000014081,Mąka pszenna tortowa typ 450 1 kg,artykuly-spozywcze,Y,w porcji 100 g,345 kcal,1 g,0.2 g,74 g,0.5 g,11.3 g,,,
0000017257,Twój Deser Galaretka o smaku truskawkowym z dodatkiem witaminy C 2x75 g,artykuly-spozywcze,Y,w porcji 100 g,50 kcal,0 g,0 g,11 g,11 g,1.5 g,0 g,0 g,
0000015045,ETi Browni ciasto czekoladowe  polewą czekoladową 200 g,artykuly-spozywcze,Y,w porcji 100 g,461 kcal,28 g,15 g,42 g,25 g,7.2 g,0.91 g,5.1 g,
0000003356,Vitanella Podusiaki smak czekoladowy 325 g,artykuly-spozywcze,Y,w porcji 100 g,457 kcal,18 g,5.4 g,64 g,27 g,6.6 g,0.13 g,6.4 g,
0000006580,Remsey Herbatka aromatyzowana owocowo  o smaku ananasa i gruszki 20 torebek 40 g,artykuly-spozywcze,N,,,,,,,,,,
0000005771,Minis Płatki śniadaniowe Cini 250 g,artykuly-spozywcze,Y,w porcji 100 g,423 kcal,10.3 g,4.2 g,73.8 g,25 g,6.2 g,0.9 g,5 g,
0000016801,Alpro Napój sojowy o smaku waniliowym 1 l,artykuly-spozywcze,Y,w porcji 100 ml,57 kcal,1.8 g,0.3 g,6.8 g,6.8 g,3 g,0.14 g,0.5 g,0.75 µg
0000000748,Granella Granulowany napój herbaciany o smaku malinowym z witaminą C 400 g,artykuly-spozywcze,Y,w porcji 100 g,387 kcal,0 g,0 g,95 g,95 g,0.1 g,0.05 g,,
