item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,starch
0000004024,Plony Natury Soczewica zielona 500g,artykuly-spozywcze,Y,w porcji 100 g,313 kcal,1.6 g,0.3 g,39 g,4.2 g,22 g,24 g,0.02 g,
0000009999,"Swojska Chata Ogórki małosolne 1,4 kg / 500 g",artykuly-spozywcze,Y,w porcji 100 g,12 kcal,0.1 g,0.1 g,1.8 g,1.4 g,0.8 g,0.8 g,1.9 g,
0000005933,Starbucks Caramel Macchiato Mleczny napój kawowy 220 ml,artykuly-spozywcze,Y,w porcji 100 ml,61 kcal,1.6 g,1 g,9 g,8.6 g,,2.7 g,0.09 g,
0000005155,Magnetic Czekolada mleczna z bakaliami 100 g,artykuly-spozywcze,Y,w porcji 100 g,529 kcal,32 g,18 g,51 g,50 g,2.6 g,6.8 g,0.22 g,
0000007014,"Remsey Herbatka na zimno o smaku cytryny, limonki i mięty 15 torebek",artykuly-spozywcze,N,,,,,,,,,,
0000018585,Mieszko Amoretta classic bombonierka 106 g,artykuly-spozywcze,Y,w porcji 100 g,562 kcal,34 g,21 g,58 g,53 g,,5 g,0.18 g,
0000009306,Nestle Corn Flakes z czekoladą płatki 250 g,artykuly-spozywcze,Y,w porcji 100 g,394 kcal,3.7 g,1 g,81.9 g,27.4 g,4 g,6.1 g,1.06 g,
0000009554,Vitanella RAW Baton kakao 40 g,artykuly-spozywcze,Y,w porcji 100 g,434 kcal,19 g,16 g,55 g,50 g,11.2 g,5.2 g,0.28 g,
0000004831,Graal Filety z makreli w sosie pomidorowym ze słodkim chili 170 g,artykuly-spozywcze,Y,w porcji 100 g,259 kcal,21 g,4.4 g,5.4 g,5.1 g,,12 g,0.8 g,
0000016394,Frank & Oli Keto miękkie ciasteczko peanut butter 50 g,artykuly-spozywcze,Y,w porcji 100 g,467 kcal,33.11 g,12.6 g,11.3 g,9.8 g,26.7 g,17.7 g,0.8 g,
0000012088,Rapsodia Konfitura ekstra Truskawkowa słodzona miodem 230 g,artykuly-spozywcze,Y,w porcji 100 g,146 kcal,0.5 g,0.1 g,34 g,34 g,1.4 g,0.8 g,0.01 g,
0000006790,Magnetic Czekolada biała z całymi orzechami laskowymi 100 g,artykuly-spozywcze,Y,w porcji 100 g,569 kcal,39 g,16 g,44 g,43 g,2.6 g,9.5 g,0.26 g,
0000005071,Oyakata Japoński kurczak teriyaki 96 g,artykuly-spozywcze,Y,w porcji 100 g,240 kcal,10.8 g,4.7 g,29.9 g,4 g,,4.9 g,1.86 g,
0000009766,Kucharek Przyprawa do potraw 500 g,artykuly-spozywcze,Y,w porcji 100 g,144 kcal,0.5 g,0.1 g,25 g,16 g,,7.9 g,58.9 g,26 g
0000002050,Mieszko Eukaliptus cukierki 150 g,artykuly-spozywcze,Y,w porcji 100 g,1667 kcal,0 g,0 g,98 g,80 g,,0 g,0 g,
0000016886,Raffaello Chrupiący wafelek z kokosem i całym migdałem w środku 40 g,artykuly-spozywcze,Y,w porcji 100 g,628 kcal,48.6 g,29.7 g,38.3 g,33.3 g,,7.2 g,,
0000009304,Nestlé Cookie Crisp Zbożowe płatki w kształcie ciasteczek o smaku czekoladowym 250 g,artykuly-spozywcze,Y,w porcji 100 g,393 kcal,5.2 g,0.9 g,78 g,22.4 g,6 g,6.7 g,0.66 g,
0000006958,Winiary Galaretka truskawkowy smak 39 g,artykuly-spozywcze,N,,,,,,,,,,
0000000438,UPS! Karmelki o smaku owocowym 150 g,artykuly-spozywcze,Y,w porcji 100 g,391 kcal,,,98 g,77 g,,0.6 g,,
0000004260,Nestle Cheerios owsiany jabłko i cynamon płatki 210 g,artykuly-spozywcze,Y,w porcji 100 g,384 kcal,6.4 g,1.2 g,67 g,13.4 g,9.7 g,9.7 g,0.66 g,
0000008017,Magnetic Bąbello Czekolada Smak miętowy 100 g,artykuly-spozywcze,Y,w porcji 100 g,544 kcal,31.4 g,19.8 g,58.9 g,57.7 g,0.5 g,6.4 g,0.25 g,
0000015367,Go Vege Pasta słonecznikowa z jarmużem 170 g,artykuly-spozywcze,Y,w porcji 100 g,293 kcal,26 g,2.8 g,7.9 g,5.3 g,2.4 g,6.2 g,1.1 g,
0000011486,Cukiernia Róża Ciastka nadziewane kremem kakaowym 230g,artykuly-spozywcze,Y,w porcji 100 g,492 kcal,22 g,6.5 g,67 g,39 g,2.4 g,4.3 g,0.5 g,
0000000937,Madero Musztarda Horcice Kremska słodko-ostra 210 g,artykuly-spozywcze,Y,w porcji 100 g,138 kcal,4.8 g,0.5 g,16 g,15.7 g,4.9 g,4.3 g,2.5 g,
