item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,polyols
0000006946,Kamis Lubczyk 8 g,artykuly-spozywcze,N,,,,,,,,,,
0000001366,GustoBello Tortellini al Formaggio z dodatkiem serów 250 g,artykuly-spozywcze,Y,w porcji 100 g,378 kcal,8.5 g,5.2 g,58 g,1.8 g,4.8 g,15 g,1.2 g,
0000003060,Winiary Królewski Rosół drobiowy (15 sztuk) 135 g,artykuly-spozywcze,N,,,,,,,,,,
0000004561,Kamis Mieszanka przyprawowa przyprawa do ryb 20 g,artykuly-spozywcze,Y,w porcji 100 g,210 kcal,5.1 g,0.8 g,26 g,8.2 g,,9.6 g,36.9 g,
0000007102,Heinz Ketchup pikantny  455g,artykuly-spozywcze,Y,w porcji 100 g,108 kcal,0.1 g,0 g,25.6 g,23.3 g,,1.2 g,3 g,
0000005090,Culineo Gorąca Chwila Serowa z grzankami 21 g,artykuly-spozywcze,Y,w porcji 100 ml,44 kcal,2.1 g,1.2 g,4.8 g,1.1 g,0.3 g,1.3 g,1 g,
0000007103,Heinz Ketchup Łagodny 450 g,artykuly-spozywcze,Y,w porcji 100 g,102 kcal,0.1 g,0 g,23.2 g,22.8 g,,1.2 g,1.8 g,
0000007660,Nasze Smaki Smalec z mięsem i cebulką 250 g,artykuly-spozywcze,Y,w porcji 100 g,641 kcal,68 g,26 g,1.6 g,1.6 g,0.7 g,5.3 g,1.7 g,
0000005039,Przysnacki Prażynki solone 110 g,artykuly-spozywcze,Y,w porcji 100 g,520 kcal,30 g,2.3 g,60 g,0.5 g,0.8 g,1.3 g,2 g,
0000004689,Zott Monte Snack Ciastko z kremem mlecznym i czekoladowo-orzechowym (4 x 29 g) 116 g,artykuly-spozywcze,Y,w porcji 100 g,484 kcal,33.6 g,21.2 g,39.7 g,29.2 g,,5.1 g,0.54 g,
0000009003,Herbarium Mięta z jabłkiem  Herbatka ziołowo-owocowa aromatyzowana z miętą o smaku jabłka 20 torebek 40 g,artykuly-spozywcze,N,,,,,,,,,,
0000003011,Kikkoman Sos sojowy 150 ml,artykuly-spozywcze,Y,w porcji 100 ml,77 kcal,0 g,0 g,3.2 g,0.6 g,,10 g,16.9 g,
0000004424,E. Wedel Wafel WW 47 g,artykuly-spozywcze,Y,w porcji 100 g,540 kcal,29 g,15 g,61 g,53 g,2.8 g,7.5 g,0.2 g,
0000008642,Knorr Rosół wołowy (12 x 10 g) 120 g,artykuly-spozywcze,N,,,,,,,,,,
0000006662,Kamis Tymianek 8 g,artykuly-spozywcze,N,,,,,,,,,,
0000009461,Lipton Fruit Truskawka i Rabarbar 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.5 g,0.5 g,0.5 g,,0.5 g,0.01 g,
0000009419,Herbapol Zielnik Polski rumianek 20 torebek 30 g,artykuly-spozywcze,Y,w porcji 100 ml,0 kcal,0 g,0 g,0 g,0 g,,0 g,0 g,
0000009462,Lipton Fruit Mango i Czarna porzeczka 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.5 g,0.5 g,0.5 g,,0.5 g,0.01 g,
