item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,polyols,monounsaturated fatty acids,polyunsaturated fatty acids,starch
0000007043,Go Vege Owies 1 l,artykuly-spozywcze,Y,w porcji 100 ml,42 kcal,0.8 g,0.1 g,7.8 g,4.5 g,0.6 g,0.7 g,0.08 g,,,,
0000006839,Pastani Orzo Pasta Durum 500 g,artykuly-spozywcze,Y,w porcji 100 g,354 kcal,1.5 g,0.3 g,72 g,3.8 g,,12 g,0.03 g,,,,
0000004335,Nussbeisser Czekolada mleczna z całymi orzechami laskowymi 100 g,artykuly-spozywcze,Y,w porcji 100 g,560 kcal,36 g,14 g,48 g,47 g,3.9 g,7.8 g,0.28 g,,,,
0000000475,Mentos Fruit 2x38 g,artykuly-spozywcze,Y,w porcji 100 g,1648 kcal,1.9 g,1.7 g,92 g,69 g,,0 g,0.1 g,,,,
0000002487,Monster Munch Chrupki ziemniaczane papryka 75 g,artykuly-spozywcze,Y,w porcji 100 g,555 kcal,34 g,2.6 g,60 g,5 g,1.7 g,1.4 g,2.3 g,,,,
0000010766,San Holenderskie Herbatniki półsłodkie oblane czekoladą mleczną 170 g,artykuly-spozywcze,Y,w porcji 100 g,481 kcal,20 g,10 g,67 g,28 g,2.6 g,7.9 g,0.75 g,,,,
0000003554,Plony Natury Ryż biały długoziarnisty 4x150 g,artykuly-spozywcze,Y,w porcji 100 g,349 kcal,1 g,0.4 g,77 g,0.5 g,,7.9 g,0 g,,,,
0000016074,Knorr Fix panierka Chrupiący kurczak z papryką 70 g,artykuly-spozywcze,Y,w porcji 100 g,342 kcal,1.6 g,0.3 g,68 g,3.8 g,5 g,12 g,6.2 g,,,,
0000016899,Orbit Refreshers Strawberry Lemon Bezcukrowa guma do żucia (12 sztuk) 26 g,artykuly-spozywcze,Y,w porcji 100 g,170 kcal,0 g,0 g,69 g,0 g,,0 g,0 g,69 g,,,
0000009316,Gellwe Galaretka smak borówkowy 72 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000001725,Kamis Musztarda delikatesowa 185 g,artykuly-spozywcze,Y,w porcji 100 g,100 kcal,4.4 g,0.3 g,10 g,8.7 g,,3.3 g,2.56 g,,,,
0000011481,"Herbapol Herbaciany Ogród Herbatka owocowo-ziołowa malina z cytryną (20 x 2,7 g) 54 g ",artykuly-spozywcze,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,,0 g,,,,,
0000001064,Orbit Spearmint 25 drażetek 35 g,artykuly-spozywcze,Y,w porcji 100 g,152 kcal,0 g,0 g,63.3 g,0 g,0 g,0 g,0 g,63.3 g,0 g,0 g,0 g
0000007923,Bonduelle Groszek tradycyjny 2x 200 g,artykuly-spozywcze,Y,w porcji 100 g,74 kcal,0.7 g,0.1 g,7.4 g,2.6 g,7.8 g,5.5 g,0.73 g,,,,
0000016046,Lipton herbata zielona o smaku maliny i truskawki 20 torebek,artykuly-spozywcze,N,,,,,,,,,,,,,
0000004833,Corn Flakes Płatki kukurydziane 500 g,artykuly-spozywcze,Y,w porcji 100 g,383 kcal,1.4 g,0.6 g,83 g,8.9 g,4.2 g,7.5 g,1.33 g,,,,
0000003435,Plony Natury Kasza kuskus z pszenicy twardej 300 g,artykuly-spozywcze,Y,w porcji 100 g,355 kcal,2 g,0.5 g,68 g,3 g,4.3 g,14 g,0.01 g,,,,
0000015287,Top Solony popcorn 3 x 100 g,artykuly-spozywcze,Y,w porcji 100 g,402 kcal,18 g,8.1 g,46 g,1.2 g,12 g,8.9 g,2.4 g,,,,
0000012380,Asia Flavours Makaron ryżowy 5 mm 200 g,artykuly-spozywcze,Y,w porcji 100 g,352 kcal,0.5 g,0.2 g,85 g,0 g,,2.1 g,0.6 g,,,,
0000008140,Top Mieszanka studencka 200 g,artykuly-spozywcze,Y,w porcji 100 g,511 kcal,32 g,3.6 g,36 g,36 g,6.3 g,16 g,0.01 g,,,,
0000015065,Lindt Lindor Milk Cornet praliny 200 g,artykuly-spozywcze,Y,w porcji 100 g,623 kcal,47 g,34 g,44 g,42 g,,5 g,0.17 g,,,,
0000001668,Tic Tac Orange 18 g,artykuly-spozywcze,Y,w porcji 100 g,1698 kcal,0.7 g,0.7 g,96.7 g,96.7 g,,0.1 g,0.03 g,,,,
0000010440,"Dr. Oetker Słodka Chwila Kisiel truskawkowy z owocami 31,5 g",artykuly-spozywcze,Y,w porcji 100 g,59 kcal,0 g,0 g,14 g,9 g,,0.1 g,0.03 g,,,,
0000005873,Bonitki Herbatniki Petit Beurre 400g,artykuly-spozywcze,Y,w porcji 100 g,442 kcal,14 g,6.3 g,70 g,19 g,2.6 g,7.9 g,0.86 g,,,,
0000005133,Biedronka Premium Oliwa z oliwek Extra Virgin 500 ml,artykuly-spozywcze,Y,w porcji 100 ml,819 kcal,89 g,14 g,0 g,0 g,0 g,0 g,0 g,,69 g,6 g,
0000015404,Marinero Tuńczyk jednolity w sosie własnym 3 x 80 g,artykuly-spozywcze,Y,w porcji 100 g,112 kcal,0.8 g,0.3 g,0.8 g,0 g,0 g,25 g,1.4 g,,,,
0000003440,Pastani Makaron Kokardki Durum 500 g,artykuly-spozywcze,Y,w porcji 100 g,350 kcal,1.6 g,0.3 g,69 g,4.1 g,3.6 g,13 g,0 g,,,,
0000004109,Haribo Mega-Roulette Żelki owocowe 45 g,artykuly-spozywcze,Y,w porcji 100 g,343 kcal,0.5 g,0.1 g,77 g,46 g,,6.9 g,,,,,
