item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,omega3,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000001015,Culineo Sos Boloński 520g,artykuly-spozywcze,Y,w porcji 100 g,53 kcal,0.8 g,0.1 g,8.8 g,7.7 g,0.8 g,1.6 g,1.6 g,,,,,
0000003205,"Lipton Zielona herbata klasyczna  (25 torebek) 32,5 g",artykuly-spozywcze,N,,,,,,,,,,,,,,
0000016498,Tic Tac Drażetki o smaku miętowym 54 g ,artykuly-spozywcze,Y,w porcji 100 g,397 kcal,0.5 g,0.5 g,97.5 g,94.5 g,,0.1 g,0.03 g,,,,,
0000009056,Crunchips X-Cut Papryka 140 g,artykuly-spozywcze,Y,w porcji 100 g,516 kcal,31 g,2.3 g,51 g,1 g,4.6 g,6 g,1.8 g,,,,,
0000016248,WINIARY Pomysł na... Kurczak w sosie śmietanowo-ziołowym 30 g,artykuly-spozywcze,Y,w porcji 100 g,100 kcal,4.4 g,1.8 g,2.8 g,1 g,0.1 g,12.2 g,0.52 g,,,,,
0000004900,Tomatini Ketchup łagodny 470 g,artykuly-spozywcze,Y,w porcji 100 g,91 kcal,0 g,0 g,22 g,18 g,0.7 g,0.5 g,1.6 g,,,,,
0000006944,Kamis Kurkuma 20 g,artykuly-spozywcze,N,,,,,,,,,,,,,,
0000006309,7 Days Bake Rolls Chrupki chlebowe o smaku pizzy 160 g,artykuly-spozywcze,Y,w porcji 100 g,459 kcal,15 g,7 g,66 g,5 g,4 g,13 g,2.8 g,,,,,
0000002468,Knorr Nudle Zupa danie pomidorowe łagodne 65 g,artykuly-spozywcze,N,,,,,,,,,,,,,,
0000004104,Eurowafel Wafle lekkie klasyczne 130 g,artykuly-spozywcze,Y,w porcji 100 g,411 kcal,5.2 g,0.5 g,79 g,2.3 g,2.9 g,10 g,0.38 g,,,,,
0000005795,Delicje Sz. Pomarańczowe 147g,artykuly-spozywcze,Y,w porcji 100 g,359 kcal,7.1 g,3.3 g,70 g,51 g,1.3 g,3.3 g,0.23 g,,,,,
0000008273,Donatello Oliwki czosnek & zioła 150g,artykuly-spozywcze,Y,w porcji 100 g,152 kcal,15 g,2.2 g,0.8 g,0.2 g,4 g,1.4 g,2.7 g,,,,,
