item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids
0000004119,Diamant cukier drobny 1kg,artykuly-spozywcze,Y,w porcji 100 g,400 kcal,0 g,0 g,100 g,100 g,0 g,0 g,,,
0000002205,Plony Natury Ryż biały długoziarnisty 1 kg,artykuly-spozywcze,Y,w porcji 100 g,345 kcal,0.7 g,0.2 g,77 g,0.5 g,7 g,0.02 g,2.4 g,,
0000002691,Plony Natury Ryż Basmati długoziarnisty 400 g,artykuly-spozywcze,Y,w porcji 100 g,351 kcal,0.6 g,0.3 g,77 g,0.5 g,8.9 g,0.01 g,0.5 g,,
0000007520,Krakuski Maltanki Herbatniki w polewie kakaowej 80 g,artykuly-spozywcze,Y,w porcji 100 g,508 kcal,25 g,15 g,66 g,36 g,6.4 g,0.36 g,,,
0000000895,Delikatesowy Pasztet drobiowo-wieprzowy 130 g,artykuly-spozywcze,Y,w porcji 100 g,152 kcal,11 g,3.4 g,6.6 g,1 g,6.2 g,1.7 g,0.7 g,,
0000009077,Knorr Fix spaghetti bolognese 41 g,artykuly-spozywcze,Y,w porcji 100 g,306 kcal,2.7 g,0.4 g,57 g,32 g,9.9 g,10.4 g,10 g,,
0000000084,"Kinder Chocolate batonik z czekolady, 8szt, 100 g",artykuly-spozywcze,Y,w porcji 100 g,566 kcal,35 g,22.6 g,53.5 g,53.3 g,8.7 g,0.31 g,,,
0000005357,TOP Krakersy cebulowe 300 g,artykuly-spozywcze,Y,w porcji 100 g,459 kcal,20 g,8.5 g,61 g,7.6 g,8.6 g,1.6 g,2.6 g,,
0000009060,"Łowicz Konfitura extra z czarnej porzeczki obniżonej zawartości cukrów, 240 g",artykuly-spozywcze,Y,w porcji 100 g,163 kcal,0.5 g,0.1 g,37 g,37 g,0.9 g,0 g,,,
0000000156,Top Pistacje Prażone Solone 200 g,artykuly-spozywcze,Y,w porcji 100 g,607 kcal,50 g,6.3 g,10 g,10 g,24 g,1.3 g,9.7 g,,
0000006676,Kamis Mieszanka przyprawowa przyprawa do mięsa wieprzowego 20 g,artykuly-spozywcze,Y,w porcji 100 g,265 kcal,10 g,1.1 g,22 g,2.7 g,12 g,27.2 g,,,
0000005107,Knorr Danie Puree ser z brokułami 50 g,artykuly-spozywcze,Y,w porcji 100 g,90 kcal,4.1 g,1.2 g,10 g,1.5 g,2.2 g,0.61 g,1.6 g,,
0000005749,Przysnacki Chipsy w kotle prażone z solą morską 125 g,artykuly-spozywcze,Y,w porcji 100 g,502 kcal,28 g,2.6 g,53 g,0.6 g,6 g,,,,
0000004156,"Halls Cukierki o smaku limonki 33,5 g",artykuly-spozywcze,Y,w porcji 100 g,385 kcal,0.1 g,0.1 g,95 g,76 g,0.1 g,0.18 g,,,
0000009391,Herbapol Zielnik Polski mięta 20 torebek 40 g,artykuly-spozywcze,Y,w porcji 100 ml,1 kcal,,,,,,,,,
0000008454,Kinder Bueno White 39 g,artykuly-spozywcze,Y,w porcji 100 g,572 kcal,35.9 g,16.8 g,53 g,43.6 g,8.8 g,0.36 g,,,
0000008522,Profi Pasztet z pieczarkami 131 g,artykuly-spozywcze,Y,w porcji 100 g,208 kcal,17 g,5.4 g,5.2 g,0.6 g,8.2 g,1.4 g,,,
0000008913,Plony Natury Kasza pęczak jęczmienny 400 g,artykuly-spozywcze,Y,w porcji 100 g,316 kcal,1.5 g,0.6 g,57 g,0.8 g,9.5 g,0.01 g,19 g,,
0000015946,Winiary Galaretka malinowy smak 71 g,artykuly-spozywcze,Y,w porcji 100 g,47 kcal,0 g,0 g,10.3 g,10.3 g,1.5 g,,0 g,,
0000012509,Merci 250 g,artykuly-spozywcze,Y,w porcji 100 g,563 kcal,36.1 g,19.9 g,49.9 g,48 g,7.8 g,0.17 g,,,
0000008019,Kamis Specialite Młynek Sól morska jodowana 90 g,artykuly-spozywcze,N,,,,,,,,,,,
0000001776,Kujawski Olej rzepakowy z pierwszego tłoczenia 2 l,artykuly-spozywcze,Y,w porcji 100 g,900 kcal,100 g,7.5 g,0 g,0 g,0 g,0 g,,65.5 g,26.5 g
0000003258,Lindt Excellence 70% Cocoa czekolada ciemna 100 g,artykuly-spozywcze,Y,w porcji 100 g,566 kcal,41 g,24 g,34 g,30 g,9.5 g,0.1 g,,,
0000016922,Lay's Oven Baked Pieczone formowane chipsy ziemniaczane o smaku grillowanej papryki 110 g,artykuly-spozywcze,Y,w porcji 100 g,442 kcal,15 g,1.3 g,70 g,7.4 g,5.5 g,0.84 g,5 g,,
0000002646,Bonitki Kruche ciasteczka z nadzieniem o smaku wiśniowym 300 g,artykuly-spozywcze,Y,w porcji 100 g,458 kcal,21 g,11 g,62 g,30 g,5.2 g,0.05 g,,,
0000004916,Madero Ketchup pikantny 560 g,artykuly-spozywcze,Y,w porcji 100 g,97 kcal,0.5 g,0.1 g,20 g,19 g,2 g,2 g,2.7 g,,
0000006608,Prince Polo Mleczne XXL wafelek 50 g,artykuly-spozywcze,Y,w porcji 100 g,525 kcal,28 g,15 g,61 g,42 g,6 g,0.44 g,2 g,,
0000010443,Dr. Oetker Słodka Chwila Kisiel malinowy 30 g,artykuly-spozywcze,Y,w porcji 100 g,57 kcal,0 g,0 g,14.1 g,8.7 g,0 g,0.03 g,,,
0000016048,Lipton Zielona herbata klasyczna (20 torebek) 26 g,artykuly-spozywcze,N,,,,,,,,,,,
0000011787,E. Wedel Ptasie Mleczko Waniliowe w czekoladzie deserowej 340 g,artykuly-spozywcze,Y,w porcji 100 g,442 kcal,22 g,14 g,57 g,48 g,2.8 g,0.07 g,2.8 g,,
0000004215,Madero Ketchup Junior 330 g,artykuly-spozywcze,Y,w porcji 100 g,102 kcal,0.5 g,0.1 g,21 g,17 g,1.9 g,2.16 g,1.8 g,,
0000016918,Cheetos Spirals Chrupki kukurydziane o smaku serowo-ketchupowym 110 g,artykuly-spozywcze,Y,w porcji 100 g,514 kcal,28 g,2.4 g,59 g,4.8 g,5.8 g,1.7 g,1.6 g,,
