item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt
0000007899,"Go Vege Pasta warzywna Pieczarki, Pestki dyni 180 g",dania-gotowe,Y,w porcji 100 g,204 kcal,19 g,1.6 g,2.2 g,2.2 g,5.1 g,3.7 g,1.3 g
0000015925,Nasze Smaki Gulasz z kopytkami 400 g,dania-gotowe,Y,w porcji 100 g,122 kcal,3.5 g,1 g,16 g,2.6 g,1.8 g,5.7 g,1.3 g
0000007390,JADŁOWIEC Gołąbki w sosie pomidorowym 500 g,dania-gotowe,Y,w porcji 100 g,86 kcal,3.9 g,1.5 g,7.8 g,3.9 g,1.5 g,4.1 g,1 g
0000005549,Krakus Barszcz czerwony zupa karton 1 l,dania-gotowe,Y,w porcji 100 ml,34 kcal,0.1 g,0.1 g,7.1 g,7 g,,1 g,1.1 g
0000009530,Feliciana Pizza Salame e Chorizo 320 g,dania-gotowe,Y,w porcji 100 g,265 kcal,9.7 g,4.6 g,34 g,4.2 g,2 g,9.6 g,1.2 g
0000002039,Mroźna Kraina Zupa jarzynowa 750g,dania-gotowe,Y,w porcji 100 g,45 kcal,0.5 g,0.1 g,6.8 g,0.9 g,,2.2 g,0.07 g
0000004569,Lisner Sałatka gyros z kurczakiem 500 g,dania-gotowe,Y,w porcji 100 g,236 kcal,19 g,1.8 g,11 g,5.1 g,,4.6 g,1.2 g
0000016206,Nasze Smaki Pierogi ruskie 800 g,dania-gotowe,Y,w porcji 100 g,180 kcal,2.8 g,0.95 g,30 g,5.9 g,3.8 g,6.7 g,0.9 g
0000016937,Dr. Oetker Mini pizza ser + pomidory (3 sztuki) 220 g,dania-gotowe,Y,w porcji 100 g,247 kcal,6.5 g,2.3 g,38 g,3.9 g,1.8 g,8.7 g,0.93 g
0000007816,Danie Express Panierowane nuggetsy z piersi kurczaka 350 g,dania-gotowe,Y,w porcji 100 g,208 kcal,10 g,1.1 g,11 g,0.3 g,1.3 g,18 g,1.2 g
0000010556,Pudliszki Fasolka po bretońsku z kiełbasą i boczkiem 600 g,dania-gotowe,Y,w porcji 100 g,87 kcal,2.9 g,1.1 g,9.1 g,3.2 g,3.5 g,4.3 g,0.95 g
0000006087,Pasta Warzywna. Wawrzyniec z ciecierzycą i pieprzem i czarnuszką 180 g,dania-gotowe,Y,w porcji 100 g,240 kcal,19 g,1.5 g,8.2 g,1.6 g,6.5 g,5 g,1.5 g
0000011184,Vital Fresh Lunch box pomidory koktajlowe kukurydza cebula gyros 210g,dania-gotowe,Y,w porcji 100 g,91 kcal,5.5 g,0.9 g,4.4 g,3.9 g,1.9 g,5.1 g,0.73 g
0000010886,Asia Flavours Tikka masala kurczak z ryżem białym i dzikim 400g,dania-gotowe,Y,w porcji 100 g,119 kcal,2.4 g,1.2 g,17 g,1.3 g,0.9 g,6.8 g,1.2 g
0000004813,Biedronka Zupa grochowa 450 g,dania-gotowe,Y,w porcji 100 g,73 kcal,2.6 g,1.1 g,7 g,1.6 g,,4.1 g,0.7 g
0000009027,Nasze Smaki Placki po węgiersku 400 g,dania-gotowe,Y,w porcji 100 g,147 kcal,7.3 g,0.7 g,14.6 g,3.7 g,2.3 g,4.6 g,1.3 g
0000010268,"Donatello Pizza 4 sery bezglutenowa i bez laktozy (Mozzarella, ser półtłusty dojrzewający, Cheddar i Emmental) 410g",dania-gotowe,Y,w porcji 100 g,269 kcal,11.7 g,6.7 g,29 g,3.6 g,1.9 g,11 g,1.2 g
0000002033,Donatello Zielone papryczki Antipasti nadziewane serkiem 180 g,dania-gotowe,Y,w porcji 100 g,177 kcal,17 g,10 g,1 g,0.6 g,3.1 g,3.5 g,1.2 g
0000007217,Hortex Gotowe danie à la gyros 450 g,dania-gotowe,Y,w porcji 100 g,76 kcal,0.7 g,0.2 g,11.6 g,2.6 g,1.8 g,5 g,0.4 g
0000003283,Aviko Zig Zag extra frytki karbowane 750 g + 150 g,dania-gotowe,Y,w porcji 100 g,156 kcal,4.5 g,0.5 g,25 g,0.8 g,2.8 g,2.5 g,0.1 g
0000010405,Biedronka Zupa pieczarkowa z makaronem 450g,dania-gotowe,Y,w porcji 100 g,40 kcal,0.7 g,0.3 g,6 g,2.9 g,,1.7 g,0.58 g
0000004710,Biedronka Zupa krupnik 450g,dania-gotowe,Y,w porcji 100 g,38 kcal,0.4 g,0.1 g,6.1 g,0.7 g,,1.9 g,0.55 g
0000009573,Go Active Kurczak z makaronem w sosie toskańskim 420g,dania-gotowe,Y,w porcji 100 g,128 kcal,3.3 g,0.3 g,17.6 g,3 g,0.6 g,7 g,0.6 g
0000007749,Jadłowiec Gulasz po węgiersku 500g,dania-gotowe,Y,w porcji 100 g,130 kcal,9 g,3.7 g,5.5 g,2.8 g,0.7 g,6.4 g,0.79 g
0000007394,Jadłowiec Flaki wołowe po zamojsku 500g,dania-gotowe,Y,w porcji 100 g,85 kcal,4.6 g,2.6 g,3.6 g,0.9 g,0.6 g,7.1 g,0.72 g
0000000529,"Mr. Potato Frytki karbowane 2,5 kg",dania-gotowe,Y,w porcji 100 g,129 kcal,3.4 g,0.4 g,21 g,0.6 g,,2.4 g,0.08 g
0000015097,Nasza Spiżarnia Zielona surówka słodko-kwaśna 480 g,dania-gotowe,Y,w porcji 100 g,70 kcal,1.7 g,0.2 g,11.7 g,11.7 g,1.3 g,1.2 g,1.5 g
0000007391,JADŁOWIEC Pulpety w sosie pomidorowym 500 g,dania-gotowe,Y,w porcji 100 g,111 kcal,6.1 g,2.3 g,7.9 g,2.2 g,0.8 g,5.7 g,1.2 g
0000005930,Yeemy Gyros z kurczaka 450 g,dania-gotowe,Y,w porcji 100 ml,176 kcal,8.5 g,3 g,0.3 g,0.3 g,1.1 g,24 g,1.6 g
0000009704,Go Active Kurczak z ryżem w sosie curry 420g,dania-gotowe,Y,w porcji 100 g,129 kcal,3.3 g,0.6 g,18.1 g,2 g,0.8 g,6.9 g,0.52 g
0000008713,Vivera Roślinny Sznycel w panierce 200 g,dania-gotowe,Y,w porcji 100 g,192 kcal,5.4 g,0.6 g,16.7 g,1.2 g,,17 g,1.2 g
0000016407,NASZA SPIŻARNIA Sałatka z białej kapusty 880 g,dania-gotowe,Y,w porcji 100 g,62 kcal,1.5 g,0.1 g,11 g,11 g,1.5 g,0.5 g,0.78 g
