item_id,item_name,item_type,nutrition_flag
0000002924,Aril Shape White Opal Odświeżacz powietrza 300 ml,dla-domu,N
0000013508,Bref WC Brilliant Gel All in 1 Zawieszka myjąco-zapachowa do muszli WC wiosenny deszcz 2 x 42 g,dla-domu,N
0000013881,Ambi Pur Łazienka Flowers and Spring Odświeżacz powietrza 2 X,dla-domu,N
0000012919,Bryza Lanza Lemon płyn do czyszczenia pralki 250 ml,dla-domu,N
0000005538,"Aril Podgrzewacz zapachowy porzeczkowy raj, 18 szt",dla-domu,N
0000012967,Finish Plyn nabłyszczający Shine&Protect 800 ml cytrynowy,dla-domu,N
0000014858,Domestos Power Foam Czyszcząca Piana Toaleta i Łazienka Citrus Blast 435 ml,dla-domu,N
0000013416,Botanica by Air Wick Karaibski Wetiwer & Drzewo Sandałowe / Caribbean Vetiver & Sandalwood 19ml Wkład,dla-domu,N
0000008718,Ultra Kapsułki do prania tkanin Sport All in 1 20 x 24 g,dla-domu,N
0000017087,Fairy Platinum Cytryna Kapsułki do zmywarki All In One 21 tabletek,dla-domu,N
0000014990,Ludwik Płyn do mycia szyb z alkoholem cytryna 600 ml,dla-domu,N
0000012750,Air Wick pachnące patyczki szlachetny jedwab z orientalną orchideą 25 ml,dla-domu,N
0000007969,Aril Imbir i wetiweria Świeca zapachowa,dla-domu,N
0000014281,"Lenor Płyn do płukania tkanin, 48 prań, Floral Bouquet 1,2 L",dla-domu,N
0000015639,ARIL Odświeżacz powietrza Ocean Breeze 150g,dla-domu,N
0000014693,Coccolino Happy Yellow Płyn do płukania tkanin o zapachu żółtych letnich kwiatów 1450 ml,dla-domu,N
0000018187,Pur Power Lemon Płyn do mycia naczyń 1200 ml,dla-domu,N
0000005903,Finish nabłyszczacz cytrynowy 400 ml,dla-domu,N
0000011930,Pronto wood floor cleaner płyn do mycia podłóg drewnianych 750 ml,dla-domu,N
0000002930,Aril Odświeżacz powietrza Cleveland 300 ml,dla-domu,N
0000013106,Vileda Actifibre Ściereczka 1 sztuka,dla-domu,N
0000007964,Zosia Samosia Worki na śmieci biodegradowalne i kompostowalne 20 l 10 szt.,dla-domu,N
0000014283,Lenor Sensitive Cotton Fresh Płyn zmiękczający do płukania tkanin 1200 ml,dla-domu,N
0000017143,Jan Niezbędny Worki na śmieci Magnum flex & strong lawendowe 35L 12szt,dla-domu,N
0000014622,Silan Suprême Romance Płyn do zmiękczania tkanin (46 prań) 1012 ml ,dla-domu,N
0000014989,Finish Kapsułki do zmywarki Ultimate Plus lemon 18 szt.,dla-domu,N
0000014377,FINISH Ultimate Plus lemon 70 szt.,dla-domu,N
0000017141,Jan Niezbędny Torebki strunowe 1L 20szt,dla-domu,N
0000010803,Lenor Fresh Air Effect Fresh Wind Płyn zmiękczający do płukania tkanin 462 ml,dla-domu,N
0000017165,Perwoll Renew Color Płynny środek do prania (40 prań) 2 l,dla-domu,N
0000017835,Air Wick Active Fresh Owocowa Sangria z Przyprawami/ Spiced Fruity Sangria Komplet 228 ml,dla-domu,N
0000014474,"lethe Baterie alkaliczne AA LR6 1,5V 8 szt.",dla-domu,N
