item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,dha,omega3
0000005654,Vital Fresh Mus owocowy 100% Jabłko Banan Morela 100 g,dla-dzieci,Y,w porcji 100 g,65 kcal,0.1 g,0 g,14.9 g,13.2 g,1.4 g,0.5 g,0.02 g,,,,
0000007166,Kubuś Mus 100% jabłko banan 100 g,dla-dzieci,Y,w porcji 100 g,53 kcal,0.5 g,0.1 g,11 g,10 g,1.5 g,0.5 g,0.01 g,,,,
0000007339,HiPP 1 BIO COMBIOTIK Mleko początkowe  550g,dla-dzieci,Y,w porcji 100 ml,66 kcal,3.6 g,1.5 g,7 g,7 g,0.3 g,1.28 g,0 g,1.6 g,0.5 g,,
0000006651,NAN OPTIPRO Plus 2 Mleko następne dla niemowląt powyżej 6. miesiąca 800 g,dla-dzieci,Y,w porcji 100 g,500 kcal,24.2 g,2.4 g,61.9 g,61.9 g,0.4 g,8.5 g,,15.7 g,4.4 g,125 mg,
0000007338,HiPP 2 BIO COMBIOTIK Mleko następne 550 g,dla-dzieci,Y,w porcji 100 ml,68 kcal,3.7 g,1.6 g,7.2 g,7.2 g,0.4 g,1.3 g,0 g,1.6 g,0.5 g,,
0000007866,BoboVita Peppa Pig Mus truskawki i wiśnie z bananem po 6 miesiącu 100 g,dla-dzieci,Y,w porcji 100 g,54 kcal,0.2 g,0 g,12 g,11 g,1.7 g,0.5 g,0 g,,,,
0000008414,"HiPP BIO od pokoleń, Pierwsza marchewka, po 4. m-cu 80 g",dla-dzieci,Y,w porcji 100 g,30 kcal,0.1 g,0.02 g,5 g,4.3 g,,0.7 g,0.1 g,,,,
0000002498,"HiPP BIO od pokoleń, Gruszki i jabłka z kleikiem orkiszowym, po 5. m-cu, 190 g",dla-dzieci,Y,w porcji 100 g,59 kcal,0.3 g,0 g,11.9 g,7.8 g,2.2 g,1 g,0.05 g,,,,
0000016750,HiPP BIO Krupniczek z warzywami i kurczakiem po 1. roku 250 g,dla-dzieci,Y,w porcji 100 g,65 kcal,2.6 g,0.5 g,6.8 g,1.7 g,,2.6 g,0.05 g,1.4 g,0.7 g,,0.1 g
0000002491,"HiPP BIO od pokoleń, Owoce z kleikiem z pełnego ziarna zbóż, po 5. m-cu, 190 g",dla-dzieci,Y,w porcji 100 g,64 kcal,0.3 g,0 g,13.4 g,9.4 g,1.8 g,1 g,0.05 g,,,,
0000002506,BoboVita Spaghetti po bolońsku po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,81 kcal,2.4 g,0.1 g,10 g,2.2 g,1.6 g,3.7 g,0.03 g,,,,
0000001614,Gerber Obiadek Kurczak w potrawce z jarzynkami po 6 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,60 kcal,2.2 g,0.9 g,5.9 g,1.7 g,1.1 g,3.5 g,0.08 g,,,,
0000007097,My Little Pony Serek waniliowy 80 g,dla-dzieci,Y,w porcji 100 g,93 kcal,2.6 g,1.7 g,12.7 g,10.9 g,,4.9 g,0.1 g,,,,
0000008703,Dada Bio Mus + Warzywa Banan Brzoskwinia Burak 100 g,dla-dzieci,Y,w porcji 100 g,65 kcal,0.2 g,0.1 g,14.7 g,13.6 g,1.2 g,0.8 g,0.01 g,,,,
0000002489,"Mango z bananem i kaszką manną HiPP BIO, 190 g",dla-dzieci,Y,w porcji 100 g,68 kcal,0.2 g,0 g,14.8 g,10.5 g,,1.1 g,0.05 g,,,,
0000008412,"HiPP BIO od pokoleń, Pierwsze jabłko, po 4. m-cu 80 g",dla-dzieci,Y,w porcji 100 g,50 kcal,0.1 g,0 g,11.2 g,10.7 g,,0.2 g,0.05 g,,,,
0000015075,Kubuś Baby Mus po 6 miesiącu jabłko brzoskwinia marchew banan 120 g,dla-dzieci,Y,w porcji 100 g,46 kcal,0.3 g,0.04 g,10 g,9.6 g,2.3 g,0.8 g,0.02 g,,,,
0000005141,BoboVita Banan z mango i kokosem po 6 miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,83 kcal,2.4 g,2.2 g,13.2 g,13 g,1.4 g,0.7 g,0.01 g,,,,
0000005142,BoboVita Jagody i jabłka z bananem po 6 miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,59 kcal,0.2 g,0 g,12.5 g,11.3 g,2 g,0.5 g,0 g,,,,
0000007337,HiPP Junior Combiotik dla dzieci po 1. roku 550 g,dla-dzieci,Y,w porcji 100 ml,63 kcal,3.5 g,1.4 g,6.1 g,6.1 g,0.8 g,1.3 g,0.05 g,1.7 g,0.4 g,,
0000008419,"HiPP BIO od pokoleń, SPORT Gruszki-Banany-Winogrona z owsem, po 1. roku, 120 g",dla-dzieci,Y,w porcji 100 g,76 kcal,0.4 g,0 g,16.3 g,12.6 g,1.8 g,1 g,0.05 g,,,,
0000002640,Gerber Zupka jarzynowa z cielęciną po 5 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,66 kcal,2.4 g,0.5 g,7.2 g,1.9 g,2 g,2.9 g,0.05 g,,,,
0000008411,"HiPP BIO od pokoleń, Pierwsza gruszka, po 4. m-cu, 80 g",dla-dzieci,Y,w porcji 100 g,55 kcal,0.3 g,0 g,11 g,9.1 g,,0.5 g,0.05 g,,,,
0000008420,"HiPP BIO od pokoleń, SPORT Banany-Gruszki-Pomarańcze z ryżem, po 1. roku 120 g",dla-dzieci,Y,w porcji 100 g,79 kcal,0.2 g,0 g,17.5 g,12 g,1.6 g,1 g,0.05 g,,,,
0000002553,"HiPP Marchewka z ziemniaczkami i łososiem, po 5. m-cu, 190 g",dla-dzieci,Y,w porcji 100 g,63 kcal,2.6 g,0.3 g,6.6 g,2.3 g,,2.3 g,0.08 g,1.6 g,0.7 g,,
0000005136,NAN OPTIPRO Plus 1 Mleko początkowe w proszku dla niemowląt od urodzenia 800 g,dla-dzieci,Y,w porcji 100 g,519 kcal,27.6 g,2.5 g,57.5 g,57.5 g,1.2 g,9.6 g,,17.8 g,5 g,130 g,
0000001617,Gerber Obiadek Spaghetti z kurczakiem po 8 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,55 kcal,1.8 g,0.3 g,6.7 g,3 g,,2.4 g,0.06 g,,,,
0000002201,Gerber Junior Obiadek spaghetti po bolońsku po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,61 kcal,2.4 g,0.6 g,7 g,2.6 g,1.1 g,2.4 g,0.25 g,,,,
0000000016,Bebiko 1 Mleko początkowe dla niemowląt od urodzenia 350 g,dla-dzieci,Y,w porcji 100 ml,66 kcal,3.4 g,1.5 g,7.4 g,7.3 g,0.6 g,1.3 g,0 g,1.3 g,0.6 g,,
0000017168,Gerber Deserek jabłko banan truskawka po 6. miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,56 kcal,0.1 g,0 g,12.6 g,11.6 g,1.3 g,0.5 g,0 g,,,,
0000001613,Gerber Obiadek Jarzynki z delikatnym schabem po 8 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,57 kcal,1.8 g,0.3 g,6.1 g,1.8 g,2.4 g,2.8 g,0.05 g,,,,
0000008704,Dada Bio Mus + Warzywa Jabłko Banan Szpinak Jarmuż 100 g,dla-dzieci,Y,w porcji 100 g,56 kcal,0.2 g,0 g,12 g,9.4 g,1.9 g,0.5 g,0.01 g,,,,
