item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,starch
0000002496,"HiPP BIO od pokoleń, Truskawki i maliny z jogurtem, po 6. m-cu, 160 g",dla-dzieci,Y,w porcji 100 g,60 kcal,1.3 g,0.8 g,10.1 g,5.1 g,0.8 g,1.5 g,0.08 g,,,
0000008757,HiPP Zupka jarzynowa z ziemniaczkami BIO 250 g,dla-dzieci,Y,w porcji 100 g,65 kcal,2.5 g,0.5 g,7.7 g,1.7 g,,2 g,0.28 g,1.5 g,0.5 g,
0000017119,HiPP Comfort Żywność specjalnego przeznaczenia medycznego dla niemowląt od urodzenia 300 g,dla-dzieci,Y,w porcji 100 g,511 kcal,27.8 g,12.4 g,54.3 g,23.1 g,2.4 g,9.8 g,0.4 g,11 g,4.4 g,11.7 g
0000002495,"HiPP BIO od pokoleń, Mango i banany z jogurtem, po 6. m-cu, 160 g",dla-dzieci,Y,w porcji 100 g,62 kcal,1.3 g,0.8 g,10.7 g,6.3 g,,1.5 g,0.05 g,,,
0000002502,HiPP BIO Przysmak na Dobranoc Kaszka manna z mlekiem i owocami po 4. miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,77 kcal,2.8 g,1.1 g,10.5 g,5 g,,2.1 g,0.05 g,,,
0000008545,Dada Baby Food Bio Mus + Kokos Jabłko Banan Mango 90 g,dla-dzieci,Y,w porcji 100 g,83 kcal,2.6 g,2.4 g,13 g,11 g,2.4 g,0.8 g,0.01 g,,,
0000000381,BoboVita Rosołek z kurczakiem z ryżem dla niemowląt,dla-dzieci,Y,w porcji 100 g,53 kcal,1.6 g,0.2 g,7 g,1 g,1 g,2.1 g,0.04 g,,,
0000002492,HiPP BIO Przysmak na Dobranoc Kaszka manna z mlekiem i bananami po 4. miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,75 kcal,2.5 g,1 g,10.4 g,4.6 g,0.5 g,2.5 g,0.08 g,,,
0000007328,"HiPP BIO od pokoleń, Gruszki-Śliwki-Czarne porzeczki, po 6. m-cu 100 g",dla-dzieci,Y,w porcji 100 g,56 kcal,0.3 g,0 g,11.3 g,9.4 g,2.9 g,0.6 g,0.05 g,,,
0000001612,Gerber Obiadek Bukiet jarzyn z cielęciną i kluseczkami po 8 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,63 kcal,1.9 g,0.3 g,8.2 g,2.4 g,,2.5 g,0.08 g,,,
0000011845,BoboVita Warzywna potrawka z wołowiną po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,72 kcal,2 g,0.1 g,8.1 g,1.8 g,2.6 g,4 g,0.03 g,,,
0000002197,Gerber Junior Zupka pomidorowa z ryżem po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,46 kcal,1.3 g,0.1 g,7.1 g,4.5 g,1.4 g,0.8 g,0.06 g,,,
0000008418,"HiPP BIO od pokoleń, SMOOTHIE Jabłka-Gruszki-Jagody, po 1. roku, 120 ml",dla-dzieci,Y,w porcji 100 ml,65 kcal,0.2 g,0 g,14.3 g,13.3 g,2.2 g,0.4 g,0.05 g,,,
0000002149,BoboVita  Jarzynki z cielęciną i kluseczkami po 8. miesiącu 200 g,dla-dzieci,Y,w porcji 100 g,54 kcal,1.5 g,0.4 g,6.9 g,2.3 g,1.8 g,2.3 g,0.08 g,,,
0000002508,BoboVita Kluseczki z warzywami i indykiem po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,69 kcal,2.1 g,0.1 g,8.4 g,2.6 g,1.7 g,3.3 g,0.05 g,,,
0000007327,"HiPP BIO od pokoleń, Jabłka-Mango-Brzoskwinie, po 6. m-cu 100 g",dla-dzieci,Y,w porcji 100 g,55 kcal,0.2 g,0 g,12 g,11.5 g,1.8 g,0.4 g,0.05 g,,,
0000006656,BoboVita Porcja zbóż Kaszka mleczna 3 zboża zbożowo-owsiana jabłko-gruszka po 6 miesiącu 210 g,dla-dzieci,Y,w porcji 100 g,440 kcal,13 g,3 g,60 g,31 g,6 g,17 g,0.29 g,,,
0000017290,"HiPP Makaron z łososiem, marchewką i brokułami 250 g",dla-dzieci,Y,w porcji 100 g,70 kcal,2.7 g,0.8 g,7.7 g,1.2 g,,3 g,0.25 g,1.3 g,0.6 g,
0000017291,HiPP Spaghetti Bolognese BIO 250 g,dla-dzieci,Y,w porcji 100 g,70 kcal,2.4 g,0.4 g,8.8 g,1.9 g,,2.8 g,0.25 g,1.4 g,0.6 g,
0000015467,Nestlé Proste Zboża Kleik ryżowy po 6. miesiącu 144 g,dla-dzieci,Y,w porcji 100 g,395 kcal,0.8 g,0.4 g,89 g,1.5 g,0.9 g,7.4 g,0.02 g,,,
0000008413,"HiPP BIO od pokoleń, Pierwsza dynia, po 4. miesiącu 80 g",dla-dzieci,Y,w porcji 100 g,33 kcal,0.3 g,0.1 g,6 g,4.2 g,1.3 g,1 g,0.05 g,,,
0000002641,Gerber Wiosenna zupka z indykiem i koperkiem po 6 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,55 kcal,2.2 g,0.2 g,6.1 g,1.3 g,,2.1 g,0.05 g,,,
0000002555,"HiPP Potrawka z ziemniaczkami i królikiem, po 5. m-cu, 190 g",dla-dzieci,Y,w porcji 100 g,65 kcal,2.8 g,0.3 g,7.3 g,0.4 g,,2.3 g,0.05 g,,,
0000008385,Bebilon 1 Advance Pronutra Mleko początkowe od urodzenia (2 x 350 g) 700 g,dla-dzieci,N,,,,,,,,,,,,
0000002202,Gerber Junior Obiadek Gulasz z warzywami wołowiną i ziemniaczkami po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,57 kcal,1.8 g,0.5 g,7.2 g,1.9 g,,2.2 g,0.2 g,,,
0000003485,Bebiko 2 NUTRIflor Expert Mleko następne dla niemowląt powyżej 6. miesiąca życia 600 g,dla-dzieci,Y,w porcji 100 ml,68 kcal,3.2 g,1 g,8.3 g,8.2 g,0.3 g,1.4 g,0 g,1.6 g,0.5 g,
0000009453,BoboVita Porcja zbóż Delikatna mleczna owsianka z ryżem malina-banan po 6 miesiącu 210 g,dla-dzieci,Y,w porcji 100 g,432 kcal,13 g,2.9 g,62 g,28 g,2.8 g,16 g,0.3 g,,,
0000004870,Gerber Miśkopty Herbatniczki dla niemowląt i małych dzieci po 8 miesiącu 180 g,dla-dzieci,Y,w porcji 100 g,422 kcal,9.8 g,4.3 g,72.1 g,24.6 g,,10.4 g,0.63 g,,,
0000014806,HiPP Jabłka z wodą źródlaną 200 ml,dla-dzieci,Y,w porcji 100 ml,15 kcal,0.1 g,0 g,3.5 g,3.3 g,,0 g,0.05 g,,,
0000004731,Gerber Deserek winogrona i jabłuszka z twarożkiem po 6 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,81 kcal,0.9 g,0.6 g,15.9 g,12.4 g,0.8 g,1.8 g,0.03 g,,,
0000017030,Bobo Frut Mus jabłko owoce leśne dla dzieci 1-3 lata 150 g,dla-dzieci,Y,w porcji 100 g,51 kcal,0.1 g,0 g,11.5 g,11 g,1.5 g,0.3 g,0 g,,,
0000017029,Bobo Frut Mus jabłko morela dla dzieci 1-3 lata 150 g,dla-dzieci,Y,w porcji 100 g,51 kcal,0.1 g,0 g,11.3 g,11 g,1.6 g,0.3 g,0 g,,,
