item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,dha
0000009136,Dada Bio warzywa z cielęciną i zielonym groszkiem 190 g,dla-dzieci,Y,w porcji 100 g,53 kcal,1.7 g,0.5 g,4.1 g,2.2 g,1.6 g,4.4 g,0.04 g,,,
0000007867,BoboVita Peppa Pig Mus jagody i jabłka z bananem po 6 miesiącu 100 g,dla-dzieci,Y,w porcji 100 g,67 kcal,0.2 g,0 g,15 g,15 g,2 g,0.6 g,0 g,,,
0000009332,NAN OPTIPRO 1 Mleko początkowe dla niemowląt od urodzenia (2 x 325 g) 650 g,dla-dzieci,Y,w porcji 100 g,520 kcal,27.6 g,2.5 g,58.2 g,58.2 g,,9.6 g,,18.2 g,5 g,130 mg
0000007754,Bebilon Profutura Duobiotik 1 Mleko początkowe od urodzenia 800 g,dla-dzieci,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,0 g,0 g,0 mg
0000002490,HiPP BIO Przysmak na Dobranoc Kaszka mleczna z biszkoptami i jabłkami po 4. miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,78 kcal,3 g,1.4 g,10.7 g,4.8 g,0.4 g,1.9 g,0.05 g,,,
0000013647,Gerber Organic Chrupki pszenne banan malina 8.+ miesiąc 35 g,dla-dzieci,Y,w porcji 100 g,416 kcal,9.3 g,1.1 g,74 g,3 g,1.8 g,8.2 g,0.1 g,,,
0000014340,HiPP HA 1 Combiotik Preparat do początkowego żywienia niemowląt od urodzenia 600 g,dla-dzieci,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,0 g,0 g,
0000010841,BoboVita Porcja zbóż Kaszka mleczna 7 zbóż zbożowo-owsiana truskawka-banan po 8 miesiącu 210 g,dla-dzieci,Y,w porcji 100 g,429 kcal,12 g,2.8 g,6.1 g,29 g,6.1 g,16 g,0.29 g,,,
0000005290,Bebiko Junior 5 NUTRIflor Expert Mleko dla przedszkolaka 600 g,dla-dzieci,Y,w porcji 100 ml,55 kcal,2.3 g,0.54 g,7.3 g,5.9 g,0.3 g,1.1 g,0.05 g,0.99 g,0.67 g,
0000009857,Lubella Di Riso Przekąska mango & ryż 100 g,dla-dzieci,Y,w porcji 100 g,91 kcal,0.5 g,0.1 g,20 g,13 g,1.1 g,1.3 g,0 g,,,
