item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,monounsaturated fatty acids,polyunsaturated fatty acids,carbohydrates,sugar,protein,salt,fiber,dha
0000009360,NAN OPTIPRO Plus 5 Produkt na bazie mleka dla małych dzieci 800 g,dla-dzieci,Y,w porcji 100 g,484 kcal,21.5 g,4.5 g,10 g,4.7 g,65.2 g,47.4 g,7.3 g,0.24 g,,
0000009855,Lubella Di Riso Przekąska truskawka ryż 100 g,dla-dzieci,Y,w porcji 100 g,83 kcal,0.6 g,0.3 g,,,17 g,11 g,1.8 g,0 g,0.8 g,
0000013646,Gerber Organic Chrupki pszenno-owsiane pomidor marchewka 10.+ miesiąc 35 g,dla-dzieci,Y,w porcji 100 g,420 kcal,9.7 g,1.3 g,,,71.9 g,2 g,9.7 g,,3.1 g,
0000012220,HiPP BIO Kółeczka orkiszowo-owsiane od 8. miesiąca 30 g,dla-dzieci,Y,w porcji 100 g,384 kcal,2.5 g,0.3 g,,,78.5 g,0.9 g,10 g,,3.6 g,
0000016026,BoboVita Kaszka mleczno-ryżowa wanilia po 4 miesiącu 330 g,dla-dzieci,Y,w porcji 100 g,435 kcal,11 g,2.7 g,,,68 g,26 g,15 g,0.29 g,1 g,
0000002143,BoboVita Kaszka ryżowa banan po 6 miesiącu 270 g,dla-dzieci,Y,w porcji 100 g,387 kcal,1 g,0.4 g,,,87 g,9.4 g,6.9 g,0.01 g,1.8 g,
0000009470,Little Steps 1 mleko początkowe od urodzenia 500g,dla-dzieci,Y,w porcji 100 ml,68 kcal,3.2 g,0.3 g,2 g,0.6 g,8.2 g,8.2 g,1.5 g,0 g,,
0000009471,NESTLE LITTLE STEPS 2 mleko następne po 6. miesiącu 500 g,dla-dzieci,Y,w porcji 100 ml,67 kcal,3.2 g,0.3 g,2.1 g,0.6 g,8 g,5.5 g,1.5 g,0 g,,
0000007753,Bebilon Profutura Duobiotik 2 Mleko następne po 6. miesiącu 800 g,dla-dzieci,N,,,,,,,,,,,,
0000015469,Nestlé Proste Zboża Kaszka ryżowo-kukurydziana o smaku bananowym po 6. miesiącu 144 g,dla-dzieci,Y,w porcji 100 g,389 kcal,1 g,0.3 g,,,88 g,2.4 g,6.5 g,0.01 g,1.1 g,
0000009135,Dada Bio warzywa z indykiem i słodkim ziemniakiem 190 g,dla-dzieci,Y,w porcji 100 g,51 kcal,2.1 g,0.3 g,,,5 g,2.3 g,2.2 g,0.07 g,1.5 g,
0000015928,HiPP 1 HA COMBIOTIK Preparat do początkowego żywienia niemowląt 350 g,dla-dzieci,Y,w porcji 100 ml,67 kcal,3.6 g,1.5 g,1.7 g,0.5 g,7.1 g,7.1 g,1.3 g,0.05 g,0.3 g,
0000009856,Lubella Di Riso Przekąska wiśnia & ryż 100 g,dla-dzieci,Y,w porcji 100 g,95 kcal,0.5 g,0.1 g,,,21 g,14 g,1.3 g,0 g,1 g,
