item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids
0000004725,"Gerber Jabłka, mango i brzoskwinie z twarożkiem po 6. miesiącu 190g",dla-dzieci,Y,w porcji 100 g,51 kcal,0.6 g,0 g,10 g,8.4 g,1 g,1 g,0.02 g,,
0000013582,"HiPP BIO od pokoleń, Zupka koperkowa z ryżem i indykiem, po 7. m-cu, 190 g",dla-dzieci,Y,w porcji 100 g,66 kcal,2.9 g,0.5 g,7 g,1 g,2.4 g,0.05 g,0.02 g,1.6 g,0.8 g
0000006649,Kubuś Baby Sok 100% po 4 miesiącu jabłko 300 ml,dla-dzieci,Y,w porcji 100 ml,45 kcal,0.1 g,0.01 g,10.8 g,10.8 g,,0.1 g,0 g,,
0000017036,"HiPP BIO od pokoleń, Kaszka manna z jabłkami i czerwonymi owocami, po 9. m-cu, 200 g",dla-dzieci,Y,w porcji 100 g,56 kcal,0.1 g,0 g,12.4 g,7.3 g,,0.7 g,0.05 g,,
0000016237,Gerber Kaszka bezmleczna ryżowa morela po 6. miesiącu 160 g,dla-dzieci,Y,w porcji 100 g,395 kcal,0.8 g,0.4 g,89 g,5.2 g,0.9 g,7.5 g,0.1 g,,
0000001601,Bobo Frut Nektar Jabłko morela po 6 miesiącu 300 ml,dla-dzieci,Y,w porcji 100 ml,28 kcal,0.1 g,0 g,6 g,6 g,1 g,0.3 g,0 g,,
0000011741,BoboVita Kaszka mleczno-zbożowa kakao po 12 miesiącu 330 g,dla-dzieci,Y,w porcji 100 g,425 kcal,11 g,2.5 g,65 g,30 g,3.5 g,15 g,0.25 g,,
0000014104,HiPP BIO Musli wielozbożowe banany-jabłka-śliwki od 10. miesiąca 200 g,dla-dzieci,Y,w porcji 100 g,360 kcal,3.5 g,0.8 g,66.8 g,13.2 g,8.5 g,11 g,0.05 g,,
0000002507,BoboVita Makaron z tuńczykiem i warzywami 1-3 lata 250 g,dla-dzieci,Y,w porcji 100 g,59 kcal,1.7 g,0.2 g,7.2 g,1.6 g,1.4 g,3 g,0.08 g,,
0000016236,Gerber Kaszka bezmleczna ryżowo-owsiana jabłko śliwka po 6. miesiącu 160 g,dla-dzieci,Y,w porcji 100 g,386 kcal,2.5 g,0.6 g,80 g,6.6 g,3.8 g,9 g,0.09 g,,
0000014107,HiPP BIO Musli wielozbożowe truskawki-maliny od 12. miesiąca 200 g,dla-dzieci,Y,w porcji 100 g,357 kcal,3.6 g,0.7 g,65.1 g,11.1 g,10.5 g,10.9 g,0.05 g,,
0000011843,BoboVita Pasta z pomidorami szynką i papryką po 15 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,75 kcal,1.3 g,0.1 g,11 g,1.7 g,0.9 g,4.3 g,0.08 g,,
0000014105,HiPP BIO Chrupiące musli z bananami i truskawkami od 15. miesiąca 200 g,dla-dzieci,Y,w porcji 100 g,370 kcal,3.1 g,0.6 g,70.9 g,9.6 g,7.6 g,10.7 g,0.05 g,,
0000003529,Kubuś Baby Mus po 6 miesiącu jabłko mango banan 120 g,dla-dzieci,Y,w porcji 100 g,56 kcal,0.4 g,0.04 g,12 g,11 g,1.7 g,0.4 g,0 g,,
0000013431,Glade Luscious Cherry & Peony Świeca zapachowa 129 g,dla-dzieci,N,,,,,,,,,,,
0000011846,BoboVita Makaron z morszczukiem i warzywami po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,59 kcal,1.9 g,0.2 g,7.1 g,1.4 g,1.4 g,2.6 g,0.05 g,,
0000002497,"HiPP BIO od pokoleń, Brzoskwinie i morele z twarożkiem, po 6. m-cu, 160 g",dla-dzieci,Y,w porcji 100 g,56 kcal,0.4 g,0.2 g,10.9 g,6.3 g,0.9 g,1.8 g,0.05 g,,
0000015073,Kubuś Baby Mus po 6 miesiącu jabłko mango banan 120 g,dla-dzieci,Y,w porcji 100 g,56 kcal,0.4 g,0.04 g,12 g,11 g,1.7 g,0.4 g,0 g,,
0000017035,"HiPP BIO od pokoleń, Kaszka manna z jabłkami, mango i morelami, po 9. m-cu, 200 g",dla-dzieci,Y,w porcji 100 g,62 kcal,0.1 g,0 g,13.8 g,8.6 g,,0.8 g,0.05 g,,
0000013635,Gerber Organic Kaszotto z warzywami i indykiem w sosie pomidorowym dla dzieci po 12. miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,65 kcal,2.2 g,0.3 g,7.8 g,2.5 g,1.4 g,2.8 g,0.04 g,,
0000011696,Gerber Deserek owocowy krem z jogurtem po 6 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,70 kcal,0.6 g,0 g,14.5 g,8.9 g,0.7 g,1.2 g,0.03 g,,
0000013638,Gerber Organic Obiadek  zielony groszek brokuły cukinia po 4 miesiącu 125 g,dla-dzieci,Y,w porcji 100 g,32 kcal,0.3 g,0 g,3.6 g,1.8 g,2.8 g,2.4 g,0.02 g,,
0000013583,"HiPP BIO od pokoleń, Rosołek z kluseczkami i indykiem, po 7. m-cu, 190 g",dla-dzieci,Y,w porcji 100 g,69 kcal,3 g,0.5 g,7 g,1.2 g,,3 g,0.05 g,1.5 g,1 g
0000017125,"HiPP Kaszka mleczno-zbożowa Owoce Jogurt BIO, 250 g",dla-dzieci,Y,w porcji 100 g,431 kcal,11.4 g,1.9 g,67.2 g,35 g,3 g,13.5 g,0.38 g,,
0000013637,Gerber Organic Bukiet jarzyn z cielęciną i ziemniaczkami dla niemowląt po 6. miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,47 kcal,1.3 g,0.3 g,5.9 g,1.5 g,1.3 g,2.3 g,0.05 g,,
0000013584,HiPP ΒIO Zupka warzywna z indykiem po 5. miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,59 kcal,2.3 g,0.4 g,6.5 g,1.7 g,,2.3 g,0.05 g,1.2 g,0.7 g
0000014394,HiPP BIO Ekologiczny napój po 1. roku jabłka-czerwone owoce 200 ml,dla-dzieci,Y,w porcji 100 ml,18 kcal,0.1 g,0 g,4.1 g,3.7 g,,0.1 g,0.05 g,,
0000014308,"Jabłka z bananami, kremowym kokosem i owsem BIO, 160 g",dla-dzieci,Y,w porcji 100 g,69 kcal,1.4 g,1.1 g,12.5 g,9.3 g,,0.8 g,0.05 g,,
0000011825,"HiPP BIO od pokoleń, Rosołek z kurczaka z kaszką manną, po 5. m-cu 190 g",dla-dzieci,Y,w porcji 100 g,60 kcal,2.6 g,0.6 g,5.3 g,1.8 g,,3 g,0.08 g,1.3 g,0.7 g
0000014817,HiPP BIO Mus owocowy gruszki jabłka mango marakuja po 6. miesiącu 100 g,dla-dzieci,Y,w porcji 100 g,56 kcal,0.3 g,0 g,11.7 g,10.5 g,2.3 g,0.4 g,0.05 g,,
0000015473,Gerber Kaszka mleczna ryżowo-owsiana jabłko morela po 6. miesiącu 160 g,dla-dzieci,Y,w porcji 100 g,420 kcal,10 g,1.2 g,66 g,17.7 g,3.1 g,15 g,0.3 g,,
0000014279,"HiPP BIO od pokoleń, Ryż mleczny z jabłkami, po 9. m-cu, 200 g",dla-dzieci,Y,w porcji 100 g,78 kcal,2.7 g,1.8 g,11.1 g,3 g,0.1 g,2.3 g,0.07 g,,
