item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt
0000013906,"HiPP BIO od pokoleń, Jabłka z burakiem, po 5. m-cu, 125 g",dla-dzieci,Y,w porcji 100 g,50 kcal,0.1 g,0 g,10.9 g,10.4 g,1.9 g,0.3 g,0.05 g
0000015471,Gerber Kaszka mleczna ryżowo-owsiana jabłko banan truskawka po 6. miesiącu 160 g,dla-dzieci,Y,w porcji 100 g,420 kcal,10 g,1.2 g,66 g,18.6 g,3.2 g,15 g,0.3 g
0000013644,Gerber Organic Pełnoziarniste spaghetti z wołowiną dla dzieci po 12. miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,68 kcal,2.2 g,0.6 g,8.6 g,3.2 g,1.4 g,2.7 g,0.08 g
0000004733,Gerber Deserek Jabłuszka z truskawkami i jagodami po 8 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,51 kcal,0.1 g,0 g,11.6 g,6.9 g,,0.3 g,0 g
0000014307,"Jabłka z mango i kremowym kokosem BIO, 160 g",dla-dzieci,Y,w porcji 100 g,60 kcal,1.1 g,1 g,11.2 g,10.7 g,,0.4 g,0.05 g
0000002639,Gerber Zupka pomidorowa z ryżem i indykiem dla dzieci po 8 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,57 kcal,2.2 g,0.3 g,6.4 g,2.4 g,1.6 g,2.2 g,0.06 g
0000002510,BoboVita Potrawka z kurczakiem i szpinakiem po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,66 kcal,2.2 g,0.4 g,8.3 g,2 g,1.4 g,2.6 g,0.05 g
0000010982,"Bobo Frut Nektar Jabłko, mango, brzoskwinia po 12 miesiącu 300 ml",dla-dzieci,Y,w porcji 100 ml,31 kcal,0.2 g,0 g,6.5 g,6 g,1 g,0.2 g,0 g
0000013636,Gerber Organic Słodkie ziemniaki z warzywami i kurczakiem dla niemowląt po 10. miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,68 kcal,2 g,0.3 g,9.4 g,3.3 g,1 g,2.5 g,
0000004726,Gerber Deserek owocowy krem z jogurtem po 6 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,70 kcal,0.6 g,0 g,14.5 g,8.9 g,0.7 g,1.2 g,0.03 g
0000008465,Miami Napój Banan-Jabłko-Kiwi 300 ml,dla-dzieci,Y,w porcji 100 ml,34 kcal,0.5 g,0.1 g,7.9 g,7.9 g,,0.5 g,0.01 g
0000017124,"HiPP Kaszka mleczno-zbożowa Na Dobranoc Owsianka z jabłkami BIO, 250 g",dla-dzieci,Y,w porcji 100 g,427 kcal,11.7 g,1.4 g,64.6 g,36 g,3.8 g,14 g,0.55 g
0000007778,Bobo Frut Deserek jabłko banan marchew po 6 miesiącu 90 g,dla-dzieci,Y,w porcji 100 g,59 kcal,0.1 g,0 g,13.5 g,13 g,1.1 g,0.4 g,0.01 g
0000014819,"HiPP BIO od pokoleń, Jabłka-Brzoskwinie-Mirabelki, po 6. m-cu, 100 g",dla-dzieci,Y,w porcji 100 g,52 kcal,0.1 g,0 g,11.6 g,11.1 g,1.4 g,0.4 g,0.05 g
0000013908,HiPP BIO Zupka jarzynowa krem po 4. miesiącu 125 g,dla-dzieci,Y,w porcji 100 g,41 kcal,1.4 g,0.1 g,4.7 g,2.2 g,2.4 g,1.2 g,0.05 g
0000013907,"HiPP BIO od pokoleń, Jabłka z morelami, po 4. m-cu, 125 g",dla-dzieci,Y,w porcji 100 g,50 kcal,0.1 g,0 g,11.1 g,10.2 g,,0.3 g,0.05 g
0000002148,BoboVita warzywa z indykiem po 5 miesiącu 200g,dla-dzieci,Y,w porcji 100 g,241 kcal,1.8 g,0.1 g,6.8 g,1.8 g,,2.8 g,0.05 g
0000009481,Gerber Deserek jabłko morela po 6. miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,48 kcal,0.1 g,0 g,10.7 g,10.1 g,1.3 g,0.4 g,0 g
0000001602,Bobo Frut Nektar Jabłko marchew 300ml po 6 miesiącu,dla-dzieci,Y,w porcji 100 ml,29 kcal,0.2 g,0 g,6 g,6 g,1 g,0.4 g,0.03 g
0000004735,"Gerber Deserek jabłka, banany kremowym twarożkiem po 6 miesiącu 190 g",dla-dzieci,Y,w porcji 100 g,85 kcal,0.6 g,0.3 g,17 g,13.3 g,1.7 g,2.1 g,0.02 g
0000014824,HiPP BIO Mus owocowo-zbożowy jabłka banany mango kokos z owsem po 6. miesiącu 100 g,dla-dzieci,Y,w porcji 100 g,73 kcal,2 g,1.6 g,11.8 g,8.8 g,2.1 g,0.9 g,0.05 g
0000001595,"Bobo Frut 100% Sok jabłko, marchewka i morela po 5 miesiącu 300 ml",dla-dzieci,Y,w porcji 100 ml,39 kcal,0.1 g,0 g,8.7 g,8 g,1 g,0.3 g,0.02 g
0000007772,Bobo Frut Deserek jabłko marchew dynia po 6 miesiącu 90 g,dla-dzieci,Y,w porcji 100 g,45 kcal,0.1 g,0 g,10 g,8.2 g,1.2 g,0.3 g,0.02 g
0000001603,"Bobo Frut Nektar Jabłko, gruszka 300 ml po 6 miesiącu",dla-dzieci,Y,w porcji 100 ml,32 kcal,0.1 g,0 g,7 g,7 g,1 g,0.2 g,0 g
