item_id,item_name,item_type,nutrition_flag
0000003076,Kitty Karma sucha z wołowiną i warzywami 2 kg,dla-zwierzat,N
0000007539,Perfect Fit Adult 1+ <10 kg Sucha karma dla dorosłych psów 1400 g,dla-zwierzat,N
0000007603,Maxi Natural Karma dla kota Cielęcina z jagnięciną 85g,dla-zwierzat,N
0000008501,Kitty Karma sucha bez dodatku zbóż Wołowina 1 kg,dla-zwierzat,N
0000004694,Puffi Karma pełnoporcjowa dla dorosłych psów z drobiem 1240 g,dla-zwierzat,N
0000011868,"Perfect Fit Junior <1 <10 kg Sucha karma dla szczeniąt 1,4 kg",dla-zwierzat,N
0000013006,Perfect Fit Adult bogaty w Kurczaka M/L 825g,dla-zwierzat,N
0000008328,Purina One Mini Adult Karma dla psów z  wołowiną i ryżem 800 g,dla-zwierzat,N
0000009747,Whiskas Mokra karma dla dorosłych kotów drobiowa uczta w sosie (8 x 85 g) 680 g,dla-zwierzat,N
0000012503,Sheba Kitten Mokra karma dla kociąt w sosie wybór smaków (4 x 85 g) 340 g,dla-zwierzat,N
0000008621,Przekąski stomatologiczne DENTALIFE Small  7 szt 115 g,dla-zwierzat,N
0000003675,"PURINA ONE ADULT Bogata w Kurczaka i Pełne Ziarna 1,5 kg",dla-zwierzat,N
0000014175,Butcher's Natural&Healthy Dog Sucha karma dla psa z wołowiną 3kg,dla-zwierzat,N
0000007604,Maxi Natural Karma dla kota Kurczak z królikiem 85g,dla-zwierzat,N
0000005648,"Sheba Selection Mokra karma dla dorosłych kotów w sosie soczyste smaki (12 x 85 g) 1,02 kg",dla-zwierzat,N
0000013571,Whiskas Pure Delight Junior Mokra karma dla kociąt z kurczakiem galaretka 85 g,dla-zwierzat,N
0000008322,Felix Fantastic Junior Karma dla kociąt wybór smaków w galaretce (4 x 85 g) 340 g,dla-zwierzat,N
0000013305,"Pedigree Junior Sucha karma dla szczeniąt z drobiem i warzywami 2,6 kg",dla-zwierzat,N
0000007175,Activ Pet Dental Sticks Mini Małe rasy 400 g,dla-zwierzat,N
0000002238,"Whiskas Sucha karma dla dorosłych kotów z pysznym tuńczykiem 1,9 kg",dla-zwierzat,N
0000013005,Perfect Fit Sensitive 1+ <10 kg Sucha karma dla dorosłych psów 825 g,dla-zwierzat,N
0000008506,Pedigree Markies 500g,dla-zwierzat,N
0000008317,"Chappi Sucha karma dla dorosłych psów z drobiem i warzywami 2,7 kg",dla-zwierzat,N
0000007720,Puffi Karma pełnoporcjowa dla dorosłych psów z cielęciną 1240 g,dla-zwierzat,N
0000008327,Purina One Mini Sensitive Karma dla psów z łososiem z ryżem 800 g,dla-zwierzat,N
0000009865,Pedigree DentaStix Duże rasy 270 g,dla-zwierzat,N
0000007605,Maxi Natural Karma dla kota Wołowina z gęsiną 85g,dla-zwierzat,N
0000016148,Friskies Karma dla psów w sosie 12 x 100 g 1200 g,dla-zwierzat,N
0000014232,Active Pet Przysmak gryzak wołowy z kaczką bez dodatku zbóż 100 g,dla-zwierzat,N
0000007811,Kitty Karma pełnoporcjowa light dla dorosłych kotów wszystkich ras.,dla-zwierzat,N
0000014230,Active Pet Karma uzupełniająca dla psów mix treningowy 200 g,dla-zwierzat,N
0000014558,Perfect Fit Junior <1 Karma dla kociąt 750 g,dla-zwierzat,N
