item_id,item_name,item_type,nutrition_flag
0000014195,Joanna Rzepa Szampon wzmacniający 200 ml,drogeria,N
0000014351,Wilkinson Sword Hydro 5 Skin Protection Regular Maszynka do golenia z wymiennymi ostrzami,drogeria,N
0000014826,HiPP Babysanft Sensitive Płyn do kąpieli dla całej rodziny 1000 ml,drogeria,N
0000014633,Nivea Hydra Skin Effect Moc Regeneracji Żel-Krem na Noc 50 ml,drogeria,N
0000014080,Nivea Green Tea Pianka oczyszczająca z bio zieloną herbatą 150 ml,drogeria,N
0000015778,Bruno Banani Dangerous Woman dezodorant w sprayu dla kobiet 75 ml,drogeria,N
0000018303,Adidas Ice Dive Żel pod prysznic 3 w 1 dla mężczyzn 400 ml,drogeria,N
0000013856,Sensodyne XL Pasta do zębów z fluorkiem ochrona szkliwa 100 ml,drogeria,N
0000018309,Adidas Pro Invisible Antyperspirant w kulce dla mężczyzn 50 ml,drogeria,N
0000015833,Garnier Maska na tkaninie witamina C 28 g,drogeria,N
0000009656,Adidas 6 w 1 Antyperspirant w kulce dla mężczyzn 50 ml,drogeria,N
0000015873,Nivea Fresh Natural Antyperspirant Roll ON 50 ml,drogeria,N
0000013533,Eveline Cosmetics My Beauty Elixir Glow Berry Rozświetlający krem łagodzący 50 ml,drogeria,N
0000014591,Joanna Pastel Color do włosów róż 35 g,drogeria,N
0000013835,VEET MINIMA Plastry z woskiem do depilacji twarzy dla skóry wrażliwej 20 szt.,drogeria,N
0000010855,Jordan Ultralite Medium szczoteczka do żebów 1 szt.,drogeria,N
0000002707,Taft Power Cashmere Pianka do włosów 200 ml,drogeria,N
0000014488,Wellaton Krem koloryzujący karmelowa czekolada 874,drogeria,N
0000015777,"Bruno Banani Magnetic Woman dezodorant w naturalnym sprayu dla kobiet, 75 ml",drogeria,N
0000014292,AA Help łagodne mydło w płynie z AWOKADO 300 ml,drogeria,N
0000017228,"Eveline Cosmetics XL Lip Maximizer Błyszczyk powiększający usta nr 02 Bora Bora 4,5 ml",drogeria,N
0000014200,Joanna Ultra Color Srebrny szampon srebrne popielate odcienie blond 200 ml,drogeria,N
0000011154,Palmolive Żel pod prysznic Aroma Essence Alluring Love 500 ml,drogeria,N
0000013187,L'Oréal Paris Magic Shampoo Vegetal Boost Suchy szampon 200 ml ,drogeria,N
0000017251,Żel do włosów Taft LOOKS Extreme Stand Up Look 150 ml,drogeria,N
0000013543,Sensodyne Extra Fresh Pasta do zębów z fluorkiem 75 ml,drogeria,N
0000014187,Joanna Ultra Color Koloryzująca odżywka srebrne popielate odcienie blond 100 g,drogeria,N
0000011160,BiC Maszynka do golenia Pure 3 Pouch 5+1 szt.,drogeria,N
0000014013,Bielenda Water Balance Intensywnie nawilżający tonik-mgiełka do twarzy 200 ml,drogeria,N
0000005797,Dove Men+Care Fresh Antyperspirant w aerozolu 200 ml,drogeria,N
0000013915,Aquafresh Naturals Herbal Fresh Pasta do zębów 75 ml,drogeria,N
0000014431,Velvet Nature Chusteczki uniwersalne 90 szt. opakowanie,drogeria,N
