item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,polyols,starch
0000000345,Kraina Wędlin Ćwiartka wędzona z kurczaka,mieso,Y,w porcji 100 g,151 kcal,10 g,3.2 g,0.2 g,0.2 g,0.5 g,15 g,1.9 g,,
0000002244,Marinero Łosoś wędzony na gorąco z koperkiem 125 g,mieso,Y,w porcji 100 g,195 kcal,11 g,2 g,0 g,0 g,,24 g,1.7 g,,
0000011220,Kraina Wędlin Kiełbasa krakowska pieczona 80g,mieso,Y,w porcji 100 g,209 kcal,11 g,4.8 g,0.5 g,0 g,0 g,27 g,3 g,,
0000005343,Marinero Mintaj Filet bez skóry,mieso,N,,,,,,,,,,,
0000011299,Kraina Mięs Select Kurczak farmerski Porcja rosołowa z kurczaka kg,mieso,N,,,,,,,,,,,
0000004780,Kraina Wędlin kiełbasa białą z szynki 500 g,mieso,Y,w porcji 100 g,253 kcal,20 g,7.5 g,2.2 g,0.5 g,0 g,15 g,1.6 g,0 g,0 g
0000018675,Dolina Dobra Smakowe kiełbaski śniadaniowe z suszonymi pomidorami 200 g,mieso,Y,w porcji 100 g,267 kcal,21 g,8.3 g,2.5 g,2.2 g,,17 g,2.1 g,,
0000016946,Dolina Dobra Serowe kiełbaski śniadaniowe ser cheddar 200 g,mieso,Y,w porcji 100 g,279 kcal,22 g,8.3 g,1.5 g,0.5 g,,18 g,2 g,,
0000006564,Kraina Wędlin Kaszanka wieprzowa 500 g,mieso,Y,w porcji 100 g,175 kcal,11 g,6 g,10 g,1.5 g,,8 g,1.5 g,,
0000013120,Krakus Szynka eksportowa z piersi kurczaka 100 g,mieso,Y,w porcji 100 g,103 kcal,2.1 g,0.6 g,1 g,0.7 g,,20 g,2.5 g,,
0000008747,Kraina Wędlin Kiełbasa Sądecka z szynki 450g,mieso,Y,w porcji 100 g,229 kcal,17 g,6.7 g,0.5 g,0.5 g,0 g,19 g,1.9 g,,
0000007825,Morliny Boczek parzony 150 g,mieso,Y,w porcji 100 g,334 kcal,31 g,12 g,0.7 g,0.5 g,,13 g,2.2 g,,
0000012820,"Marinero Dorsz atlantycki, polędwica",mieso,N,,,,,,,,,,,
0000004944,"Tarczyński Kabanosy drobiowe, 300 g",mieso,Y,w porcji 100 g,468 kcal,39 g,14 g,7.4 g,2.3 g,,21 g,3.4 g,,
0000017955,Tarczyński Protein Kabanosy z kurczaka 80 g,mieso,Y,w porcji 100 g,309 kcal,14 g,4.2 g,4.9 g,1.6 g,,40 g,3.5 g,,
0000001524,Marinero Filety śledziowe w sosie musztardowym 300g,mieso,Y,w porcji 100 g,311 kcal,27.8 g,3.4 g,7.3 g,7.3 g,,8 g,1.9 g,,
0000004132,Morliny Kiełbasa morlińska z szynki 540 g,mieso,Y,w porcji 100 g,220 kcal,17 g,6.8 g,2.8 g,0.5 g,,14 g,2.3 g,,
0000011536,Kabanosy Berlinki Chilli 85g,mieso,Y,w porcji 100 g,431 kcal,35 g,14 g,6 g,2 g,,23 g,3.8 g,,
0000017809,Tarczyński Protein Suszona wołowina 25 g,mieso,Y,w porcji 100 g,207 kcal,3.8 g,1.7 g,3.2 g,2.5 g,,40 g,4.1 g,,
0000012479,Sokoliki Foodbolówki paróweczki 130 g,mieso,Y,w porcji 100 g,186 kcal,13 g,4 g,1.7 g,0.5 g,,15.5 g,1.7 g,,
0000003036,Kraina Mięs Kości wieprzowe opakowanie,mieso,N,,,,,,,,,,,
0000000528,Pyszny Indyk Szynka śniadaniowa z indyka 570g,mieso,Y,w porcji 100 g,107 kcal,4.9 g,1.5 g,3.2 g,0.5 g,,13 g,2.6 g,,
0000006988,Kraina Wędlin Kiełbasa Krakowska parzona plastry 250 g,mieso,Y,w porcji 100 g,116 kcal,3.7 g,1.6 g,2.3 g,0.7 g,0.5 g,18 g,2.2 g,,
0000017808,Tarczyński Suszona szynka 40 g,mieso,Y,w porcji 100 g,198 kcal,2.8 g,0.9 g,3.2 g,3.2 g,,40 g,4.5 g,,
0000005369,Kraina Wędlin Ogonówka,mieso,Y,w porcji 100 g,123 kcal,6 g,2.2 g,1.2 g,0.1 g,0.6 g,16 g,2.2 g,,
0000002649,Berlinki z serem 250 g,mieso,Y,w porcji 100 g,256 kcal,21 g,7.6 g,2.8 g,0.8 g,,14 g,2.9 g,,
0000001462,Marinero Filety śledziowe a’la matjas 1200/600 g,mieso,Y,w porcji 100 g,127 kcal,10.2 g,2.8 g,0.6 g,0.6 g,,8.5 g,7.5 g,,
0000015217,Krakus Kiełbasa podwawelska 450 g,mieso,Y,w porcji 100 g,257 kcal,21 g,8.4 g,2 g,2 g,,15 g,2 g,,
0000004288,Marinero Łosoś marynowany plastry z pieprzem i sosem 100 g+20 g,mieso,Y,w porcji 100 g,183 kcal,10 g,1.7 g,6.3 g,4.4 g,1 g,17 g,2.5 g,,
0000006980,Berlinki Parówki jalapeno 250 g,mieso,Y,w porcji 100 g,225 kcal,18 g,6.2 g,2.7 g,0.5 g,,13 g,3 g,,
0000002904,Kraina Mięs Stek wołowy z antrykotu bez kości,mieso,N,,,,,,,,,,,
0000003305,Kraina Mięs Stek wołowy z polędwicy,mieso,N,,,,,,,,,,,
