item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt
0000001847,Kraina Wędlin Kiełbasa żywiecka 600g,mieso,Y,w porcji 100 g,218 kcal,14 g,5.6 g,0.5 g,0.5 g,0 g,23 g,2.7 g
0000003484,Marinero Pstrąg wędzony,mieso,Y,w porcji 100 g,178 kcal,9.9 g,1.9 g,0.5 g,0.5 g,0 g,22 g,1.6 g
0000003483,Marinero Makrela Filet wędzony,mieso,Y,w porcji 100 g,287 kcal,23 g,5.2 g,0.5 g,0.5 g,0 g,20 g,1.1 g
0000001526,Marinero Filety śledziowe w sosie koperkowym 300 g,mieso,Y,w porcji 100 g,269 kcal,23.9 g,2.9 g,6.5 g,6.5 g,,6.9 g,1.9 g
0000004216,"Sokołów Metka cebulowa, 170 g",mieso,Y,w porcji 100 g,245 kcal,21 g,8.7 g,0.9 g,0.5 g,,13 g,2.6 g
0000011217,Kraina Wędlin Polędwica wieprzowa 500 g,mieso,Y,w porcji 100 g,101 kcal,3 g,1.3 g,0.6 g,0.5 g,0 g,18 g,2.8 g
0000014979,Sokołów Sokoliki Produkt drobiowy z serem cheddar 130 g,mieso,Y,w porcji 100 g,205 kcal,15 g,6 g,2.4 g,0.5 g,,15 g,1.7 g
0000011312,Kraina Mięs Królik z podróbkami świeży,mieso,N,,,,,,,,,
0000014852,Kraina Mięs Stek wołowy z krzyżowej,mieso,N,,,,,,,,,
0000007635,Kraina Wędlin na co dzień kiełbasa śląska grillowa kg,mieso,Y,w porcji 100 g,263 kcal,22 g,8.8 g,2.2 g,1 g,,13 g,2.2 g
0000009358,Kraina Wędlin Kiełbasa kanapkowa z szynki 400 g,mieso,Y,w porcji 100 g,115 kcal,3.5 g,1.5 g,3.6 g,0.6 g,0.6 g,17 g,2.6 g
0000006831,"Marinero Dorsz atlantycki z Grenlandii, filet bez skóry",mieso,N,,,,,,,,,
0000011294,Kraina Mięs nature Podudzie z kurczaka z wolnego wybiegu,mieso,N,,,,,,,,,
0000008022,Tarczyński kabanosy rośl-inne oryginalne 90 g,mieso,Y,w porcji 100 g,429 kcal,28 g,12 g,17 g,5.3 g,4.7 g,25 g,3.6 g
0000006489,"Biedronka Filet z kurczaka o smaku maślanym, pieczony 430g",mieso,Y,w porcji 100 g,160 kcal,7.2 g,2.2 g,0.5 g,0.5 g,,24 g,1.9 g
0000008722,Kraina Wędlin kiełbasa parówkowa kg,mieso,Y,w porcji 100 g,267 kcal,24 g,8.8 g,1.3 g,0.7 g,1.1 g,11 g,2.1 g
0000011291,"Kraina Mięs Select Kurczak farmerski bez podrobów, świeży, klasa A kg",mieso,N,,,,,,,,,
0000008023,Tarczyński Kabanosy ROŚL-INNE Piri-Piri 90 g,mieso,Y,w porcji 100 g,432 kcal,28 g,11 g,20 g,10 g,,25 g,3 g
0000008803,Kraina Mięs Gulasz wołowy w stylu węgierskim 500g,mieso,Y,w porcji 100 g,101 kcal,5 g,2.5 g,5.5 g,0.5 g,1 g,8 g,1.4 g
0000011534,Kabanosy Berlinki Legendarny Classic 85g,mieso,Y,w porcji 100 g,431 kcal,35 g,14 g,6 g,2 g,,23 g,3.8 g
0000015064,Kraina Wędlin Select Kiełbasa dojrzewająca &quot;Palcówka&quot;,mieso,Y,w porcji 100 g,372 kcal,28 g,10 g,2.5 g,1.3 g,,27 g,3.8 g
0000011187,Yano Hamburger drobiowy classic 250 g,mieso,Y,w porcji 100 g,251 kcal,18 g,4 g,11 g,0.6 g,,11 g,2.5 g
0000016174,Berlinki Kids Kiełbasa 130 g,mieso,Y,w porcji 100 g,211 kcal,17 g,4.7 g,1.2 g,0.7 g,,13 g,1.6 g
0000004094,Biedronka Ośmiornica,mieso,Y,w porcji 100 g,35 kcal,0.5 g,0.2 g,0.5 g,0.5 g,0 g,7.9 g,1.3 g
0000006566,"Kraina Mięs Indyk ze śliwką, 500 g",mieso,Y,w porcji 100 g,118 kcal,2.5 g,0.7 g,2.7 g,1.9 g,,20 g,1.1 g
0000009532,Gzella Polska długodojrzewająca classic kiełbasa 230 g,mieso,Y,w porcji 100 g,442 kcal,35 g,15 g,3.6 g,0.9 g,,29 g,4.2 g
0000014853,Kraina Mięs Stek wołowy z łopatki kg,mieso,N,,,,,,,,,
0000009732,Łosoś wędzony na gorąco Brzuszki 150 g,mieso,Y,w porcji 100 g,416 kcal,40 g,5.9 g,0 g,0 g,,14 g,2.5 g
0000004105,Czas na grill Kiełbaski białe surowe cienkie 500 g,mieso,Y,w porcji 100 g,256 kcal,22 g,8 g,1.1 g,0.7 g,1.2 g,13 g,1.5 g
0000008879,Tarczyński Parówki z szynki z serem cheddar 180 G,mieso,Y,w porcji 100 g,278 kcal,23 g,9.6 g,3 g,1 g,,14 g,2.2 g
0000006607,Głodniaki Kabanoski z szynką wieprzową i cielęciną 75g,mieso,Y,w porcji 100 g,469 kcal,29 g,5.5 g,3.5 g,1 g,,30 g,1.9 g
0000003306,Kraina Mięs Flaki wołowe gotowane krojone 500g,mieso,Y,w porcji 100 g,100 kcal,3.5 g,1.6 g,0 g,0 g,,17 g,0.2 g
