item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt
0000002687,Grycan Lody bakaliowe 1100 ml,mrozone,Y,w porcji 100 g,270 kcal,14.9 g,8.9 g,28.7 g,26.1 g,1.1 g,4.7 g,0.18 g
0000007449,Marletto czekoladowe Lody czekoladowe 1000 ml,mrozone,Y,w porcji 100 g,246 kcal,13 g,8.8 g,27 g,23 g,,3.9 g,0.1 g
0000005135,Mroźna Kraina Jagody leśne 300 g,mrozone,Y,w porcji 100 g,58 kcal,0.4 g,0.1 g,12.1 g,9.7 g,2 g,0.4 g,0 g
0000006905,Kaktus Lody wodne o smaku cytrynowym i sorbet truskawkowy (9 sztuk) 405 ml,mrozone,Y,w porcji 100 g,132 kcal,3.4 g,2.9 g,25 g,18 g,0.5 g,0.5 g,0.01 g
0000016864,Marletto Fairy tale Popcorn & caramel flavour 800 ml,mrozone,Y,w porcji 100 g,229 kcal,9.7 g,8.5 g,32 g,28 g,0.5 g,2.9 g,0.28 g
0000005392,Mroźna kraina Warzywa na patelnię po polski 450 g,mrozone,Y,w porcji 100 g,40 kcal,0.4 g,0.1 g,6.1 g,1.7 g,2.7 g,1.6 g,0.4 g
0000006667,Marletto orzech włoski Lody o smaku orzechów włoskich z karmelizowanymi orzechami włoskimi 1000 ml,mrozone,Y,w porcji 100 g,274 kcal,17 g,7.3 g,26 g,22 g,,4.4 g,0.09 g
0000008341,Marletto Rożek słodny karmel 150 ml,mrozone,Y,w porcji 100 g,297 kcal,15 g,11 g,37 g,27 g,,4.1 g,0.32 g
0000006415,Hortex Warzywa na patelnię z bazylią i tymiankiem 450 g,mrozone,Y,w porcji 100 g,27 kcal,0.5 g,0.1 g,3.7 g,2.5 g,2.4 g,1.4 g,0.45 g
0000006274,FRoSTA Steki rybne 340 g,mrozone,Y,w porcji 100 g,185 kcal,7.5 g,0.7 g,15 g,2 g,,14 g,1.1 g
0000009059,Marletto Lody orzech laskowy 150 ml,mrozone,Y,w porcji 100 g,366 kcal,21 g,12 g,39 g,26 g,0.9 g,4.8 g,0.13 g
0000005390,Mroźna Kraina Warzywa na patelnię po turecku 450 g,mrozone,Y,w porcji 100 g,85 kcal,3.6 g,0.6 g,10 g,3.4 g,2.3 g,1.7 g,0.05 g
