item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber
0000004811,Marletto Lody rożek śmietankowo-waniliowe w polewie z belgijskiej białej czekolady z kawałkami migdałów 150 ml,mrozone,Y,w porcji 100 g,292 kcal,15 g,9.7 g,35 g,24 g,4.7 g,0.16 g,
0000012611,Magnum Lody Classic 110 ml,mrozone,Y,w porcji 100 ml,225 kcal,13 g,9.5 g,22 g,20 g,2.4 g,0.09 g,
0000016027,Carte D'Or Les Desserts Lody o smaku tiramisu 825 ml,mrozone,Y,w porcji 100 g,196 kcal,6.2 g,5.5 g,31 g,23 g,2.3 g,0.09 g,
0000012149,Lody Carte D'or Les Desserts Tiramisu Lody 900 ml,mrozone,Y,w porcji 100 ml,115 kcal,4.1 g,3.6 g,17 g,14 g,1.8 g,0.07 g,
0000016080,Big Milk Lody smak śmietankowo truskawkowy 900 ml,mrozone,Y,w porcji 100 g,152 kcal,5.4 g,4.8 g,22 g,19 g,2.5 g,0.12 g,
0000006881,Mroźna Kraina Ananas 450 g,mrozone,Y,w porcji 100 g,63 kcal,0.2 g,0 g,14 g,13 g,0.9 g,0 g,1 g
0000004801,Marletto Lody rożek o smaku śmietankowo - kokosowym w polewie mlecznej z kawałkami migdałów 150 ml,mrozone,Y,w porcji 100 g,313 kcal,17 g,12 g,35 g,23 g,5 g,0.16 g,
0000004805,Marletto Lody rożek o smaku czekolady mlecznej z kawałkami migdałów 150 ml,mrozone,Y,w porcji 100 g,301 kcal,16 g,12 g,36 g,23 g,4.1 g,0.2 g,
0000002689,Grycan Lody czekoladowe 1100 ml,mrozone,Y,w porcji 100 g,248 kcal,12.4 g,7.8 g,28.2 g,25 g,4.8 g,0.17 g,2.3 g
0000008263,Ben & Jerry's Lody o smaku masła orzechowego Netflix & Chilll'd 465ml,mrozone,Y,w porcji 100 g,276 kcal,16 g,7.3 g,28 g,22 g,5.1 g,0.66 g,
0000008220,Diuna Lody o smaku śmietankowym i czekoladowym 1 l,mrozone,Y,w porcji 100 g,178 kcal,8.8 g,7.9 g,22 g,20 g,2.5 g,0.1 g,0.6 g
0000016081,Big Milk Lody smak śmietankowo waniliowy 900 ml,mrozone,Y,w porcji 100 g,159 kcal,5.9 g,5.2 g,23 g,19 g,2.6 g,0.12 g,
0000008304,Marletto Lody o smaku słonego karmelu 720ml,mrozone,Y,w porcji 100 ml,340 kcal,21 g,13 g,33 g,29 g,4.3 g,0.45 g,0.8 g
0000006964,Grycan Lody truskawkowe 1100 ml,mrozone,Y,w porcji 100 g,231 kcal,12.1 g,7.7 g,26.4 g,24.3 g,3.6 g,0.15 g,0.7 g
0000008221,Diuna Lody o smaku śmietankowym 1 l,mrozone,Y,w porcji 100 g,172 kcal,9 g,8.2 g,20 g,18 g,2.5 g,0.1 g,0.6 g
0000007472,Big Milk Choco Intense lody 1 L,mrozone,Y,w porcji 100 ml,90 kcal,3.3 g,2.7 g,13 g,11 g,1.6 g,0.07 g,
0000007450,Marletto Lody waniliowe 1000 ml,mrozone,Y,w porcji 100 g,224 kcal,12 g,8.2 g,26 g,18 g,3 g,0.11 g,
0000008214,"Diuna Lody waniliowe z smaku tiramisu, sosem kawowym, biszkoptami o smaku kawowym i posypką kakaową 900 ml",mrozone,Y,w porcji 100 g,207 kcal,7.5 g,5.8 g,31 g,28 g,3.3 g,0.11 g,1 g
0000009480,Milka Lody waniliowe z kawałkami czekolady mlecznej i musem z czekoladą mleczną 480 ml,mrozone,Y,w porcji 100 g,271 kcal,15 g,11 g,31 g,26 g,3.5 g,0.13 g,0.6 g
0000007741,"Bounty Multipack baton lodowy 4 x 39,1g",mrozone,Y,w porcji 100 ml,269 kcal,16 g,11 g,27 g,23 g,3.1 g,0.11 g,
0000001640,Marinero Morszczuk argentyński filety bez skóry (Merluccius hubbsi) mrożone 475g,mrozone,N,,,,,,,,,
0000016040,Marletto Fairy tale Mango & Coconut 90 ml,mrozone,Y,w porcji 100 g,359 kcal,22 g,16 g,36 g,31 g,3.3 g,0.12 g,0.5 g
0000000037,Magnum Lody o smaku Double Gold Caramel Billionaire 85 ml,mrozone,Y,w porcji 100 g,325 kcal,17 g,12 g,38 g,29 g,4.4 g,0.33 g,
0000008219,Diuna Lody o smaku śmietankowym i truskawkowym 1 l,mrozone,Y,w porcji 100 g,167 kcal,7.5 g,6.8 g,22 g,20 g,2.5 g,0.1 g,0.6 g
0000014994,Ben & Jerry's Dulce De-lish Lody 427 ml,mrozone,Y,w porcji 100 g,263 kcal,14 g,9.6 g,31 g,26 g,3.3 g,0.4 g,
0000012150,Carte D'Or Lody waniliowe o smaku Baileys 900 ml,mrozone,Y,w porcji 100 g,228 kcal,8.6 g,7.2 g,28 g,22 g,1.8 g,0.06 g,
0000009479,Oreo Lody o smaku waniliowym z ciastkami kakaowymi 480 ml,mrozone,Y,w porcji 100 g,236 kcal,11 g,8.6 g,30 g,19 g,3.7 g,0.45 g,0.8 g
