item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids
0000004100,Światowid Serek zakopiański 200 g,nabial,Y,w porcji 100 g,271 kcal,19 g,12 g,0 g,0 g,25 g,2.5 g,,,
0000000128,Cafe d'Or Zabielacz Cremista do kawy i herbaty 200g,nabial,Y,w porcji 100 g,567 kcal,36 g,34 g,59 g,9.9 g,1.5 g,1.18 g,0 g,,
0000016942,Danacol Jogurt pitny o smaku klasycznym (4 x 100 g) 400 g,nabial,Y,w porcji 100 g,38 kcal,1.1 g,0.1 g,4.3 g,4 g,2.7 g,0.13 g,,,
0000001423,Mleczna Dolina Maślanka pieczone jabłko 1 l,nabial,Y,w porcji 100 ml,72 kcal,1.5 g,1 g,11 g,9.7 g,3.5 g,0.1 g,,,
0000001267,aktiplus Klasyczny L.casei + witamina B6 + witamina D (6x100 g) 600 g ,nabial,Y,w porcji 100 g,63 kcal,0.9 g,0.5 g,10.7 g,10.7 g,3 g,0.1 g,0 g,,
0000015351,Łaciata Śmietanka 36 % 500 ml,nabial,Y,w porcji 100 ml,344 kcal,36 g,23 g,2.9 g,2.9 g,2 g,0.1 g,,,
0000003404,Flora Original 400g,nabial,Y,w porcji 100 g,315 kcal,35 g,7.4 g,0.5 g,0.5 g,0.5 g,0.5 g,,16 g,12 g
0000015340,Spółdzielnia Mleczarska w Gostyniu. Mleko zagęszczone słodzone gostyńskie 8% tłuszczu 530 g,nabial,Y,w porcji 100 g,322 kcal,8 g,4.8 g,55 g,55 g,7.3 g,0.28 g,,,
0000003239,Miami Jogurt waniliowy z niespodzianką 75g,nabial,Y,w porcji 100 g,98 kcal,2.5 g,1.7 g,14.7 g,14 g,4 g,0.1 g,,,
0000003475,Président Ser camembert lekki 170 g,nabial,Y,w porcji 100 g,197 kcal,12 g,8.2 g,0.5 g,0.5 g,22 g,1.7 g,,,
0000012875,Smakowita Margaryna maślany smak 450 g,nabial,N,,,,,,,,,,,
0000012922,Lurpak Masło klasyczne 200 g,nabial,Y,w porcji 100 g,747 kcal,82 g,53 g,0.7 g,0.7 g,0.6 g,0.01 g,,,
