item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber
0000016184,Mlekovita Wypasiony deser śmietankowy 130 g,nabial,Y,w porcji 100 g,168 kcal,9.5 g,6.4 g,18 g,9.8 g,2.5 g,0.15 g,
0000012899,Łaciaty Serek puszysty z cebulą i szczypiorkiem 150 g,nabial,Y,w porcji 100 g,250 kcal,23 g,16 g,4.9 g,3.8 g,5.8 g,0.7 g,
0000008538,Müllermilch ZERO Napój mleczny truskawka 400 g,nabial,Y,w porcji 100 g,47 kcal,1.5 g,1 g,4.9 g,4.9 g,3.5 g,0.12 g,
0000008536,Napój mleczny Müllermilch Zero Choco 400 g,nabial,Y,w porcji 100 g,52 kcal,1.7 g,1.2 g,5.3 g,4.8 g,3.7 g,0.13 g,
0000006514,Alpro Yogurt Sojowy Jagoda 150g,nabial,Y,w porcji 100 g,69 kcal,2.2 g,0.4 g,8.1 g,7.9 g,3.7 g,0.16 g,1 g
0000011012,Alpro Kirsche Yogurt sojowy Wiśnia 400 g,nabial,Y,w porcji 100 g,75 kcal,2 g,0.4 g,9.8 g,9.8 g,3.6 g,0.22 g,0.8 g
0000008537,Müllermilch ZERO Napój mleczny banan 400 g,nabial,Y,w porcji 100 g,47 kcal,1.5 g,1 g,4.9 g,4.9 g,3.5 g,0.12 g,
0000012901,Łaciaty Serek puszysty z chrzanem 150 g,nabial,Y,w porcji 100 g,231 kcal,21 g,14 g,5 g,3.9 g,5.5 g,0.7 g,
0000012665,Wyśmienity Jogurt gruszkowy 135 g,nabial,Y,w porcji 100 g,89 kcal,1.9 g,1.2 g,15.4 g,13.8 g,2.5 g,0.1 g,
0000011743,Alpro Produkt sojowy naturalny 500 g,nabial,Y,w porcji 100 g,55 kcal,3 g,1.1 g,2.3 g,2.1 g,3.9 g,0.32 g,0.8 g
0000008065,"Valio Profeel pudding proteinowy toffi-czekolada, bez laktozy 180 g",nabial,Y,w porcji 100 g,82 kcal,1.5 g,1 g,6 g,4.1 g,11 g,0.2 g,
0000010270,Piątnica Serek Homogenizowany ciasteczkowy 150g,nabial,Y,w porcji 100 g,127 kcal,5.8 g,3.9 g,12 g,12 g,6.6 g,0.1 g,
0000019286,Bakoma Maxi Meal o smaku bananowym 500 g,nabial,Y,w porcji 100 g,100 kcal,4.7 g,1.2 g,7 g,2.7 g,6.7 g,0.1 g,1.6 g
0000016722,Valio Pasteryzowany pudding proteinowy bez laktozy o smaku banan/toffi 180 g,nabial,Y,w porcji 100 g,86 kcal,1.9 g,1.1 g,7.6 g,6.2 g,9.5 g,0.29 g,
0000019287,Bakoma Maxi Meal o smaku słonego karmelu 500 g,nabial,Y,w porcji 100 g,100 kcal,4.7 g,1.2 g,7 g,2.7 g,6.7 g,0.2 g,1.6 g
0000004795,Mlekpol Maślanka Mrągowska truskawkowa 1 l,nabial,Y,w porcji 100 ml,74 kcal,1.5 g,1 g,12 g,12 g,3.2 g,0.1 g,
