item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000002591,Fruvita Duo Jogurt z kulkami w czekoladzie 125 g,nabial,Y,w porcji 100 g,162 kcal,8.3 g,5.2 g,17 g,14 g,0.6 g,4.5 g,0.24 g,,,,
0000006584,"Bakuś Serek truskawkowy z dodatkiem wapnia, witamin D, B6 i B12 90 g",nabial,Y,w porcji 100 g,108 kcal,4 g,2.4 g,12.3 g,11.8 g,,5.8 g,0.1 g,,,,
0000005476,"Ser królewski wędzony plastry, 135 g",nabial,Y,w porcji 100 g,352 kcal,27 g,18 g,1.2 g,0 g,0 g,26 g,1.4 g,0 g,0 g,0 g,0 g
0000000743,Twist Jogurt pitny owoce leśne 370 g,nabial,Y,w porcji 100 g,68 kcal,1.6 g,1.1 g,10.6 g,10.4 g,,2.7 g,0.1 g,,,,
0000011218,Bakoma Bakuś Milk & Fun Jogurt o smaku waniliowym z piankami 128 g,nabial,Y,w porcji 100 g,95 kcal,2.5 g,1.8 g,14.4 g,13.5 g,,3.6 g,0.09 g,,,,
0000001302,Président Twaróg delikatny ze szczypiorkiem 350 g,nabial,Y,w porcji 100 g,132 kcal,10 g,6.5 g,4 g,3.2 g,,6.3 g,0.7 g,,,,
0000011219,Bakoma Bakuś Milk & Fun Jogurt o smaku waniliowym z drażami 135 g,nabial,Y,w porcji 100 g,114 kcal,4.1 g,2.9 g,15.2 g,14.4 g,1.3 g,3.3 g,0.09 g,,,,
0000003327,Almette z ziołami 150 g,nabial,Y,w porcji 100 g,247 kcal,23 g,16 g,4.2 g,2.8 g,,5.9 g,0.92 g,,,,
0000007082,Fruvita z granolą i brzoskwiniami 230 g,nabial,Y,w porcji 100 g,165 kcal,7.6 g,4 g,20.5 g,14.9 g,1.1 g,3.2 g,0.08 g,,,,
0000006911,Napój mleczny Müllermilch SHAKE o smaku banana 400g,nabial,Y,w porcji 100 g,86 kcal,3.3 g,2.2 g,10.8 g,10.5 g,,3.2 g,0.14 g,,,,
