item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000003740,Hochland Ser kremowy z szynką 90 g,nabial,Y,w porcji 100 g,176 kcal,12 g,7.9 g,5.9 g,5.9 g,11 g,2.5 g,,,,,
0000000036,"Mleko UHT Mlekovita 3,2% 1l",nabial,Y,w porcji 100 ml,60 kcal,3.2 g,2.1 g,4.7 g,4.7 g,3.2 g,0.1 g,,,,,
0000006520,Piątnica Jogurt pitny Skyr mango marakuja 330 ml,nabial,Y,w porcji 100 g,345 kcal,1.5 g,1.1 g,10.5 g,10 g,6.5 g,0.08 g,,,,,
0000004187,Piątnica Serek Wiejski z truskawką 150 g,nabial,Y,w porcji 100 g,110 kcal,4 g,2.8 g,10 g,10 g,8.6 g,0.5 g,,,,,
0000012975,Delikate Twarożek grani klasyczny 200 g,nabial,Y,w porcji 100 g,115 kcal,7 g,4.5 g,2 g,2 g,11 g,0.7 g,0 g,,,,
0000015034,Delikate Marcarpone o smaku karmelowym 250 g,nabial,Y,w porcji 100 g,380 kcal,36 g,24 g,11 g,11 g,3.1 g,0.12 g,0 g,,,,
0000003518,Piątnica Serek wiejski naturalny 200 g,nabial,Y,w porcji 100 g,97 kcal,5 g,3.5 g,2 g,1.5 g,11 g,0.7 g,,,,,
0000004201,Piątnica Twój Smak aksamitny z łososiem 135g,nabial,Y,w porcji 100 g,243 kcal,23 g,15 g,3 g,3 g,6 g,1 g,,,,,
0000004477,Delikate Camembert Naturalny 120 g,nabial,Y,w porcji 100 g,270 kcal,22 g,15 g,0.5 g,0.5 g,18 g,1.7 g,,,,,
0000003599,Królewski Ser żółty platry 135g,nabial,Y,w porcji 100 g,352 kcal,27 g,18 g,1.2 g,0 g,26 g,1.5 g,0 g,0 g,0 g,0 g,0 g
0000001843,Actimel o smaku wieloowocowym 6x100 g,nabial,Y,w porcji 100 g,78 kcal,1.4 g,1 g,12.7 g,12.5 g,2.8 g,0.1 g,,,,,
0000013014,Światowid Gouda wiórki 300 g,nabial,Y,w porcji 100 g,344 kcal,26 g,17 g,2.5 g,0 g,25 g,1.5 g,0 g,,,,
0000002907,Delikate Camembert de caracter 200 g,nabial,Y,w porcji 100 g,353 kcal,32 g,19 g,0.5 g,0.5 g,16 g,1.7 g,,,,,
0000007715,"Piątnica  Koktajl białkowy - mango, marakuja 250 ml",nabial,Y,w porcji 100 ml,88 kcal,1.2 g,0.7 g,9 g,9 g,10.2 g,0.09 g,,,,,
0000019343,Alpro Skyr Style Proteina truskawka 400 g,nabial,Y,w porcji 100 g,85 kcal,3 g,0.5 g,8.5 g,8.2 g,5.2 g,0.22 g,1.2 g,,,,
0000000951,"Mleczna Dolina Mleko świeże 3,2% 1 l",nabial,Y,w porcji 100 ml,60 kcal,3.2 g,1.9 g,4.8 g,4.8 g,3 g,0.1 g,,,,,
0000005086,Fruvita Jogurt naturalny kremowy 400g,nabial,Y,w porcji 100 g,71 kcal,3 g,1.8 g,6.5 g,6.5 g,4.4 g,0.18 g,0 g,,,,
0000013059,Piątnica Serek śmietankowy naturalny 135g,nabial,Y,w porcji 100 g,243 kcal,23 g,15 g,3 g,3 g,6 g,0.8 g,,,,,
0000001853,Światowid Ser plastry mierzwione Edamski 150 g,nabial,Y,w porcji 100 g,311 kcal,23 g,14 g,0.1 g,0.1 g,26 g,2.5 g,,,,,
0000002919,Delikate Blue z niebieską pleśnią 100g,nabial,Y,w porcji 100 g,370 kcal,32 g,19 g,1.4 g,0.6 g,19 g,2.5 g,,,,,
0000008349,"Piątnica Jogurt SKYR z truskawkami,150 g",nabial,Y,w porcji 100 g,82 kcal,0 g,0 g,11 g,11 g,9.6 g,0.06 g,,,,,
0000004606,"Piątnica Twaróg Wiejski Półtłusty klinek, 250 g",nabial,Y,w porcji 100 g,115 kcal,4 g,2.4 g,3.8 g,3.8 g,16 g,0.11 g,,,,,
0000016453,Hochland Ser kremowy mixtett w trójkącikach 180 g,nabial,N,,,,,,,,,,,,,
0000005413,Zott Primo Bez laktozy Jogurt naturalny 180 g,nabial,Y,w porcji 100 g,65 kcal,3.1 g,2.1 g,3.7 g,3.7 g,4.8 g,0.16 g,,,,,
0000007639,Fruvita Pure jogurt owoce mango banan marakuja 150 g,nabial,Y,w porcji 100 g,88 kcal,3.1 g,1.8 g,10.6 g,9.3 g,3.9 g,0.15 g,0.8 g,,,,
0000005341,Fruvita Skyr naturalny 150 g,nabial,Y,w porcji 100 g,66 kcal,0 g,0 g,3.8 g,3.8 g,12 g,0.11 g,0 g,,,,
0000002444,Śmietana 18% Piątnica 200 g,nabial,Y,w porcji 100 g,192 kcal,18 g,12 g,4.8 g,4.5 g,2.7 g,0.1 g,,,,,
0000011672,Danio Serek homogenizowany o smaku waniliowym 130 g,nabial,Y,w porcji 100 g,99 kcal,2.9 g,1.9 g,12.8 g,11.6 g,5.3 g,0.08 g,,,,,
0000016380,Zott Primo Jogurt naturalny 370 g,nabial,Y,w porcji 100 g,67 kcal,3.1 g,2.1 g,4 g,4 g,4.8 g,0.17 g,,,,,
0000008513,GustoBello Burrata 125 g/280 g,nabial,Y,w porcji 100 g,259 kcal,23 g,15 g,2 g,1.8 g,10 g,0.41 g,0 g,,,,
0000001923,Activia Jogurt pitny jagoda borówka 280 g,nabial,Y,w porcji 100 g,60 kcal,0.9 g,0.6 g,10 g,10 g,2.9 g,0.11 g,,,,,
0000019399,Alpro Skyr Style sojowy wanilia 400 g,nabial,Y,w porcji 100 g,77 kcal,3 g,0.5 g,6.8 g,6.5 g,5.1 g,0.24 g,1.1 g,,,,
