item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt
0000005546,Fruvita Protein jogurt bananowy 230 g,nabial,Y,w porcji 100 g,73 kcal,1.5 g,0.9 g,6.7 g,6.4 g,0.5 g,8 g,0.15 g
0000005487,Mlekovita Wypasione mleko UHT czekoladowe 200 ml,nabial,Y,w porcji 100 g,66 kcal,1.5 g,1 g,10 g,10 g,,3 g,0.1 g
0000000795,Światowid Ser żółty Edamski porcja 250 g,nabial,Y,w porcji 100 g,344 kcal,26 g,18 g,1.4 g,0.2 g,0 g,26 g,1.5 g
0000004827,"Piątnica Mleko wiejskie świeże 3,2% 1 l",nabial,Y,w porcji 100 g,60 kcal,3.2 g,2.5 g,4.7 g,4.7 g,,3.1 g,
0000002423,Fruvita Mixo Napój jogurtowy o smaku jabłko gruszka 700g,nabial,Y,w porcji 100 g,66 kcal,0.8 g,0.5 g,13.1 g,11.6 g,0.03 g,1.7 g,0.1 g
0000005869,Zott Jogobella Jogurt pieczone jabłko 400 g,nabial,Y,w porcji 100 g,108 kcal,2.6 g,1.8 g,16.7 g,16.1 g,,3.5 g,0.15 g
0000015905,Światowid Edamski ser żółty w plastrach 150 g,nabial,Y,w porcji 100 g,344 kcal,26 g,18 g,1.4 g,0.2 g,0 g,26 g,1.5 g
0000018563,Müllermilch Shake Napój mleczny o smaku czekoladowo-bananowym 400 g,nabial,Y,w porcji 100 g,86 kcal,3.5 g,2.3 g,9.8 g,9.4 g,,3.4 g,0.15 g
0000000279,Fasti Ser topiony kremowy Gouda 100 g,nabial,Y,w porcji 100 g,203 kcal,15 g,10 g,6 g,5.8 g,,11 g,2.2 g
0000003167,Miami Mleczna kanapka (4x28g) 112 g,nabial,Y,w porcji 100 g,415 kcal,25.4 g,13.4 g,37.3 g,23.2 g,3.5 g,8.6 g,0.31 g
0000002427,Tutti Serek brzoskwinia 150g,nabial,Y,w porcji 100 g,122 kcal,5 g,3.3 g,13.3 g,11.4 g,,5.4 g,0.1 g
0000004938,Jogurt BIO owoce leśne 140 g ,nabial,Y,w porcji 100 g,91 kcal,2.5 g,1.8 g,13.5 g,12.7 g,,3.5 g,0.1 g
0000002865,Fruvita Jogurt morelowy 400g,nabial,Y,w porcji 100 g,85 kcal,2.5 g,1.5 g,12.7 g,11.4 g,0.2 g,2.7 g,0.1 g
0000000314,Dessella Deser mleczny o smaku waniliowym z bitą śmietanką 180 g,nabial,Y,w porcji 100 g,94 kcal,2.5 g,1.5 g,15.5 g,12.5 g,,2.3 g,0.06 g
0000015440,Danone Danio Jogurt pitny smak truskawka jagoda 270g,nabial,Y,w porcji 100 g,66 kcal,1.4 g,0.9 g,9.6 g,9.4 g,,3.6 g,0.13 g
0000003517,Fruvita Jogurt naturalny kremowy 190 g,nabial,Y,w porcji 100 g,71 kcal,3 g,1.8 g,6.5 g,6.5 g,0 g,4.4 g,0.18 g
0000009633,Go Active Kaszka mleczna proteinowa 200g,nabial,Y,w porcji 100 g,81 kcal,1.5 g,0.9 g,8.7 g,4.8 g,0.2 g,8 g,0.25 g
0000008573,Tutti Prosty Skład Serek waniliowy 150 g,nabial,Y,w porcji 100 g,134 kcal,6 g,3.9 g,12.9 g,12.2 g,,7.2 g,0.08 g
0000016857,Danio Jogurt pitny smak mango 270 g,nabial,Y,w porcji 100 g,67 kcal,1.4 g,0.9 g,9.8 g,9.6 g,,3.6 g,0.14 g
0000004705,Rolmlecz Serek homogenizowany czekoladowy 200 g ,nabial,Y,w porcji 100 g,138 kcal,5.5 g,3.6 g,15 g,14 g,,7 g,0.1 g
0000006731,GustoBello Gorgonzola Dolce Łagodna 150 g,nabial,Y,w porcji 100 g,351 kcal,30 g,21 g,0.9 g,0.1 g,,19 g,1.78 g
0000011861,Müllermilch limited napój mleczny o smaku bułeczki cynamonowej 400 g,nabial,Y,w porcji 100 g,68 kcal,1.4 g,1 g,10.5 g,9.7 g,,3.3 g,0.14 g
0000005189,Delikate Kremowy bawarski ser z zielonym pieprzem 150 g,nabial,Y,w porcji 100 g,442 kcal,43 g,29 g,0.1 g,0.1 g,,13.7 g,1.6 g
0000001311,Delikate Serek śmietankowy klasyczny 200 g,nabial,Y,w porcji 100 g,243 kcal,23 g,15 g,3 g,3 g,0 g,6 g,0.7 g
0000010265,Activia Jogurt naturalny 165 g,nabial,Y,w porcji 100 g,72 kcal,3.5 g,2.3 g,5.7 g,5.7 g,,4.5 g,0.17 g
0000003336,Almette Puszysty serek twarogowy śmietankowy 150 g,nabial,Y,w porcji 100 g,256 kcal,24 g,17 g,3.2 g,3.2 g,,6.7 g,
0000004934,Bakoma Jogurt Bio z morelami 140 g,nabial,Y,w porcji 100 g,89 kcal,2.5 g,1.8 g,12.9 g,12 g,,3.5 g,0.1 g
0000003419,Mleczna Dolina Mleko zagęszczone UHT 500g,nabial,Y,w porcji 100 g,134 kcal,7.5 g,4.8 g,11 g,11 g,,5.5 g,0.18 g
0000014673,Go Active Pudding proteinowy smak caffe late 200 g,nabial,Y,w porcji 100 g,82 kcal,1.5 g,0.9 g,6.9 g,4.8 g,0.1 g,10 g,0.31 g
0000004685,Mlekpol Maślanka Mrągowska naturalna 1 l,nabial,Y,w porcji 100 ml,48 kcal,1.5 g,1 g,5 g,5 g,,3.5 g,0.1 g
0000005545,Fruvita Protein jogurt mango 230 g,nabial,Y,w porcji 100 g,73 kcal,1.5 g,0.9 g,6.6 g,6.4 g,0.5 g,8 g,0.15 g
0000019292,Danone YoPro Jogurt smak stracciatella 160 g,nabial,Y,w porcji 100 g,57 kcal,0.5 g,0.3 g,3.6 g,3.1 g,,9.4 g,0.1 g
