item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids
0000007409, Riviva Sok jabłkowy 1 l,napoje,Y,w porcji 100 ml,42 kcal,0.5 g,0 g,10 g,10 g,0.5 g,0.02 g,,,
0000008358,"Hellena Oranżada Czerwona Zero Cukru 1,25 l",napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0.1 g,0 g,0 g,0.01 g,,,
0000019129,"Pepsi-Cola Zero cukru Napój gazowany o smaku cola 1,75 l",napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,0 g,0.01 g,,,
0000007254,Bracia Sadownicy sok tłoczony 750 ml jabłko + pigwa,napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,10 g,10 g,0 g,0 g,,,
0000001727,"Fanta Napój gazowany o smaku pomarańczowym 1,75 l",napoje,Y,w porcji 100 ml,17 kcal,0 g,0 g,4.1 g,4.1 g,0 g,0.02 g,,,
0000008083,Riviva Mango 1 l,napoje,Y,w porcji 100 ml,37 kcal,0.5 g,0.1 g,8.9 g,8.9 g,0.5 g,0.01 g,,,
0000001491,Riviva Sok 100% Jabłko z witaminą C 2 l,napoje,Y,w porcji 100 ml,41 kcal,0.5 g,0 g,10 g,10 g,0.5 g,0.01 g,,,
0000004565,Frugo Ultraorange Napój wieloowocowy niegazowany 500 ml,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,4.6 g,4.6 g,0 g,0 g,,,
0000004566,Frugo Ultrablack Napój wieloowocowy niegazowany 500 ml,napoje,Y,w porcji 100 ml,21 kcal,0 g,0 g,4.9 g,4.7 g,0 g,0 g,,,
0000016753,Tymbark Mus Gruszka 200 g,napoje,Y,w porcji 100 g,66 kcal,0.5 g,0.1 g,14 g,13 g,0.7 g,0.01 g,1.5 g,,
0000008144,Miami Marchew z maliną i jabłkiem 1 l,napoje,Y,w porcji 100 g,38 kcal,0.5 g,0.1 g,8.9 g,7.9 g,0.5 g,0.03 g,0.6 g,,
0000018672,Oshee Pure o smaku cytrynowo-miętowym 750 ml,napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0.5 g,0 g,0 g,0.03 g,,,
0000010570,"Hellena Oranżada czerwona 1,25 l",napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.4 g,4.3 g,0 g,0.04 g,,,
0000015407,"Vitanella Breakfast smoothie ananas, jabłko, banan, mleczko kokosowe, płatki owsiane 300 ml",napoje,Y,w porcji 100 ml,56 kcal,0 g,0 g,13 g,12 g,0.6 g,0 g,0 g,,
0000010840,Hortex Jabłko brzoskwinia Napój karton 1 l,napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.8 g,4.7 g,0 g,0 g,,0 g,0 g
0000008104,"Remsey Ice Tea Brzoskwinia 1,5 l",napoje,Y,w porcji 100 ml,28 kcal,0 g,0 g,6.9 g,6.7 g,0 g,0.02 g,,,
0000003844,Lech Free Lager Piwo bezalkoholowe 330 ml,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,5.5 g,2.8 g,0 g,0 g,,,
0000017294,Kubuś Lemoniada Jabłko Cytryna Arbuz 400 ml,napoje,Y,w porcji 100 ml,25 kcal,0 g,0 g,6.1 g,6.1 g,0 g,0 g,,,
0000016909,"Lipton Ice Tea Green Napój niegazowany 1,5 l",napoje,Y,w porcji 100 ml,10 kcal,0 g,0 g,2.4 g,2.2 g,0 g,0.02 g,,,
0000005432,"Vital Fresh Smoothie jeżyna, jabłko, malina, czarna porzeczka 750ml",napoje,Y,w porcji 100 ml,54 kcal,0 g,0 g,12.6 g,12.6 g,0.6 g,0.01 g,1.6 g,,
0000000012,Coca-Cola 1 l,napoje,Y,w porcji 100 ml,42 kcal,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,
0000002096,"Polaris Naturalna woda mineralna niegazowana 0,5 l",napoje,N,,,,,,,,,,,
0000007180,Tymbark Vitamini 100% Sok jabłko marchew banan 1 l,napoje,Y,w porcji 100 ml,38 kcal,0.5 g,0.01 g,8 g,7.7 g,0.5 g,0.07 g,1.4 g,,
0000016914,Pepsi-Cola Zero cukru Napój gazowany o smaku cola 1 l,napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,0 g,0.01 g,,,
0000016911,Lipton Ice Tea Lemon Napój niegazowany 500 ml,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,4.6 g,4.4 g,0 g,0.04 g,,,
0000000113,"Oaza Woda źródlana niegazowana 1,5 l",napoje,N,,,,,,,,,,,
0000007255,Bracia Sadownicy sok tłoczony 750 ml jabłko-marchew,napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,12 g,12 g,0 g,0 g,,,
