item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols
0000008085,Riviva kaktus 1 l,napoje,Y,w porcji 100 ml,37 kcal,0.5 g,0.1 g,8.9 g,8.9 g,0.5 g,0.01 g,,
0000012455,Tymbark Napój jabłko wiśnia 500 ml,napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.5 g,4.5 g,0 g,0 g,,
0000013158,"Vital Fresh Smoothie o smaku winogrono, truskawka, banan 750 ml",napoje,Y,w porcji 100 ml,60 kcal,0 g,0 g,13 g,13 g,0.7 g,0 g,1.8 g,
0000016969,Kubuś Mus Jabłko 200 g,napoje,Y,w porcji 100 g,49 kcal,0.5 g,0.1 g,10 g,9.8 g,0.5 g,0 g,2 g,
0000008146,Miami Marchew brzoskwinia z jabłkiem 1 l,napoje,Y,w porcji 100 g,36 kcal,0.5 g,0.1 g,8.6 g,7.9 g,0.5 g,0.03 g,0.7 g,
0000008181,"Herbarium Syrop o smaku wiśniowym + witamina C, witamina D 440ml",napoje,Y,w porcji 100 ml,244 kcal,0.5 g,0.1 g,78 g,75 g,0.5 g,0.01 g,,
0000006407,DrWitt Premium Odporność Napój multiwitamina 1 l,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,4.8 g,4.8 g,0 g,0.04 g,,
0000016907,Pepsi-Cola Zero cukru Napój gazowany o smaku cola 330 ml,napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,0 g,0.01 g,,
0000004693,Vital Fresh Sok pomarańczowy 100% 1 l,napoje,Y,w porcji 100 ml,43 kcal,0 g,0 g,8.9 g,8.9 g,0.7 g,0 g,0 g,
0000000008,"Nałęczowianka Naturalna woda mineralna delikatnie gazowana 1,5 l",napoje,N,,,,,,,,,,
0000011855,Lech Free Piwo bezalkoholowe limonka z miętą 330 ml,napoje,Y,w porcji 100 ml,28 kcal,0 g,0 g,7.4 g,5.8 g,0 g,0 g,,
0000008084,Riviva zielony banan 1 l,napoje,Y,w porcji 100 ml,38 kcal,0.5 g,0.1 g,8.9 g,8.9 g,0.5 g,0.01 g,,
0000001677,Vital Fresh Sok wyciskany z hiszpańskich pomarańczy 100% z cząstkami miąższu 1 l,napoje,Y,w porcji 100 ml,43 kcal,0.1 g,0 g,10 g,10 g,0.6 g,0.01 g,0.2 g,
0000012059,"Vital Fresh Smoothie Jabłko, morela, banan 250 ml",napoje,Y,w porcji 100 ml,47 kcal,0 g,0 g,11 g,9.9 g,0.5 g,0 g,0.8 g,
0000008229,"Vital Fresh shot Immune Pomarańcza, Imbir 200 ml",napoje,Y,w porcji 100 ml,41 kcal,0 g,0 g,8.3 g,8.3 g,0.6 g,0 g,0 g,
0000007699,Tymbark Sok 100% 3x multiwitamina 200 ml,napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,11 g,11 g,0 g,0 g,,
0000014671,"Cola Original Intense Zero 1,5 l",napoje,Y,w porcji 100 ml,0 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,
0000001089,"Cisowianka Naturalna woda mineralna gazowana 1,5 l",napoje,N,,,,,,,,,,
0000000981,Karmi Classic Piwo ciemne bezalkoholowe 400 ml,napoje,Y,w porcji 100 ml,36 kcal,0 g,0 g,8.4 g,7 g,0 g,0 g,,
0000007066,Kubuś Play! Woda i owoce Jabłko malina Napój owocowy 400 ml,napoje,Y,w porcji 100 ml,22 kcal,0.5 g,0.1 g,5.4 g,5.4 g,0.5 g,0 g,,
0000007256,Bracia Sadownicy sok tłoczony 750 ml jabłko,napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,11 g,10 g,0 g,0 g,,
0000017621,Sprite Zero cukru Napój gazowany cytrynowo-limonkowy smak 1 l,napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,0 g,0.03 g,,
0000009324,Vita Aloe Napój z aloesem 38% 500 ml,napoje,Y,w porcji 100 ml,18 kcal,0 g,0 g,4.5 g,4.5 g,0 g,0.04 g,,
0000009680,Dawtona Sok z buraków z jabłkiem 300 ml,napoje,Y,w porcji 100 ml,32 kcal,0 g,0 g,7 g,7 g,0.7 g,0.48 g,0.5 g,
0000009455,Coca Cola Zero napój gazowany pet 500ml ,napoje,Y,w porcji 100 ml,0.2 kcal,0 g,0 g,0 g,0 g,0 g,0.02 g,,
0000007150,Żywiec Piwo bezalkoholowe 500 ml,napoje,Y,w porcji 100 ml,22 kcal,0 g,0 g,5.3 g,2.5 g,0 g,0 g,,
0000019124,"Pepsi-Cola Napój gazowany o smaku cola 1,75 l",napoje,Y,w porcji 100 ml,28 kcal,0 g,0 g,7 g,7 g,0 g,0.01 g,,
0000005995,Polaris Woda mineralna niegazowana alkaliczna 1 l,napoje,N,,,,,,,,,,
0000007373,Tyskie Piwo bezalkoholowe 500 ml,napoje,Y,w porcji 100 ml,23 kcal,0 g,0 g,5.5 g,3.1 g,0 g,0 g,,
0000015399,Riviva Sok 100% jabłko - mango 1L,napoje,Y,w porcji 100 ml,49 kcal,0.5 g,0 g,,11 g,0.5 g,0.02 g,0.6 g,11 g
0000016768,"Vitanella Smoothie Baton burak, czarna porzeczka 40 g",napoje,Y,w porcji 100 g,359 kcal,9.5 g,1 g,55.2 g,47.8 g,7.8 g,0.14 g,11.6 g,
0000006987,Riviva Nektar banan 1 l,napoje,Y,w porcji 100 ml,39 kcal,0.5 g,0.1 g,8.9 g,8.9 g,0.5 g,0.01 g,,
