item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000005025,Cappy 100 % sok pomarańczowy 1 l,napoje,Y,w porcji 100 ml,42 kcal,0 g,0 g,8.7 g,8.7 g,0.7 g,0 g,,,,,
0000001808,"Tymbark Napój jabłko mięta 1,75 l",napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.5 g,4.5 g,0 g,0 g,,,,,
0000014395,"Schweppes Mojito Zero Napój gazowany 1,35 l",napoje,Y,w porcji 100 ml,2 kcal,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,
0000007399,Żywiec Zdrój Niegazowany woda źródlana 310 ml,napoje,N,,,,,,,,,,,,,
0000014843,"Vital Fresh Napój blue coctail o smaku guava, jabłko, limonka, spirulina 750 ml",napoje,Y,w porcji 100 ml,38 kcal,0 g,0 g,9.2 g,9.2 g,0.1 g,0.01 g,0 g,,,,
0000009085,"Polaris Napój gazowany VitalRed 1,5 l",napoje,Y,w porcji 100 ml,20 kcal,0.5 g,0 g,4.9 g,4.7 g,0.5 g,0.02 g,,,,,
0000010574,Be Power Energy Drink Classic 1 l,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,5 g,4.9 g,0 g,0.1 g,0 g,,,,
0000006587,Vital Fresh Smoothie szparagi jabłko banan limonka 750ml,napoje,Y,w porcji 100 ml,45 kcal,0 g,0 g,11 g,11 g,0 g,0 g,0 g,,,,
0000006588,Vital Fresh Smoothie marchewka ananas brzoskwinia pomarańcza 750ml,napoje,Y,w porcji 100 ml,40 kcal,0 g,0 g,9 g,6.8 g,0.6 g,0 g,0.8 g,,,,
0000008210,"Schweppes Tonic 1,2l",napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.4 g,4.4 g,0 g,0.01 g,0 g,0 g,0 g,0 g,0 g
0000008429,Vital Fresh Sok Anansowy 750ml,napoje,Y,w porcji 100 ml,42 kcal,0 g,0 g,10.5 g,10.5 g,0 g,0 g,0 g,,,,
0000015408,"Vitanella Breakfast smoothie truskawka, czarna porzeczka, jabłko, banan, mleko, płatki owsiane 300 ml",napoje,Y,w porcji 100 ml,56 kcal,0 g,0 g,13 g,12 g,0.9 g,0.02 g,0 g,,,,
0000008480,"Muszynianka Naturalna woda mineralna średnionasycona CO2 1,5 l",napoje,N,,,,,,,,,,,,,
0000008164,Coconaut. Woda z młodego kokosa 320 ml,napoje,Y,w porcji 100 ml,22 kcal,0 g,0 g,5.5 g,5.2 g,0 g,0.05 g,,,,,
0000006408,Sprite Napój gazowany cytrynowo-limonkowy smak 1 l,napoje,Y,w porcji 100 ml,37 kcal,0 g,0 g,9 g,9 g,0 g,0.03 g,,,,,
0000005915,Żywiec Zdrój Mocny Gaz Woda źródlana 1 l,napoje,N,,,,,,,,,,,,,
0000001729,"Kinley Tonic Water Napój gazowany 1,75 l",napoje,Y,w porcji 100 ml,31 kcal,0 g,0 g,7.3 g,7.3 g,0 g,0 g,,,,,
0000007181,Tymbark Vitamini 100% Sok malina jabłko marchew 1 l,napoje,Y,w porcji 100 ml,37 kcal,0.5 g,0.1 g,7.5 g,7.4 g,0.5 g,0.08 g,1.7 g,,,,
0000007080,Vital Fresh Smoothie mango jabłko banan marakuja 330 ml,napoje,Y,w porcji 100 ml,52 kcal,0 g,0 g,12 g,12 g,0.6 g,0.01 g,1 g,,,,
0000014842,"Vital Fresh Napój green coctail o smaku kiwi, jabłko, ananas, spirulina 750 ml",napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,11 g,10 g,0.3 g,0.01 g,0.3 g,,,,
0000000843,Riviva Sok pomarańcza z cząsteczkami 100% 1 l,napoje,Y,w porcji 100 ml,43 kcal,0.5 g,0.1 g,9.8 g,9.8 g,0.6 g,0.01 g,,,,,
0000017620,Fanta Zero cukru Napój gazowany o smaku pomarańczowym 1 l,napoje,Y,w porcji 100 ml,3 kcal,0 g,0 g,0.4 g,0.4 g,0 g,0 g,,,,,
0000005124,Muszyna Skarb Życia Naturalna woda mineralna wysokozmineralizowana lekko gazowana 500 ml,napoje,N,,,,,,,,,,,,,
0000009084,"Polaris Napój gazowany VitalGreen 1,5 l",napoje,Y,w porcji 100 ml,20 kcal,0.5 g,0 g,4.9 g,4.7 g,0.5 g,0.02 g,,,,,
0000007668,Herbarium Syrop z imbiru z dodatkiem soku z cytryny 250 ml,napoje,Y,w porcji 100 ml,274 kcal,0 g,0 g,68 g,68 g,0 g,0 g,,,,,
0000003531,Cola Original 1 L,napoje,Y,w porcji 100 ml,38 kcal,0 g,0 g,9.6 g,9.6 g,0 g,0 g,,,,,
0000008288,OSHEE Vitamin Energy Magnez+B6 250 ml,napoje,Y,w porcji 100 ml,21 kcal,0 g,0 g,4.9 g,4.7 g,0 g,0 g,,,,,
0000009678,Dawtona Sok pomidorowy 300 ml ,napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,3.1 g,3.1 g,1 g,0.41 g,1.2 g,,,,
0000008248,Kubuś Waterrr Napój o smaku cytryny 700 ml,napoje,Y,w porcji 100 ml,13 kcal,0 g,0 g,3 g,3 g,0 g,0 g,,,,,
0000008089,"Riviva Nektar Jabłko 1,5 l",napoje,Y,w porcji 100 ml,29 kcal,0.5 g,0 g,7 g,6.8 g,0.5 g,0.02 g,,,,,
0000016985,Sprite Napój gazowany cytrynowo-limonkowy 330 ml,napoje,Y,w porcji 100 ml,37 kcal,0 g,0 g,9 g,9 g,0 g,0.03 g,,,,,
0000005302,Żywiec Zdrój Mocny Gaz Woda źródlana 500 ml,napoje,N,,,,,,,,,,,,,
