item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000007079,Vital Fresh Smoothie kokos ananas banan pomarańcza 330 ml,napoje,Y,w porcji 100 ml,71 kcal,1.1 g,0.9 g,14 g,12 g,1 g,0.7 g,0.01 g,,,,
0000006411,Fanta Napój gazowany o smaku pomarańczowym 1 l ,napoje,Y,w porcji 100 ml,17 kcal,0 g,0 g,4.1 g,4.1 g,,0 g,0.02 g,,,,
0000019119,Capri-Sun Napój Multivitamin 200 ml,napoje,Y,w porcji 100 ml,22 kcal,0 g,0 g,5 g,4.9 g,0 g,0 g,0 g,,,,
0000008558,Muszynianka zdrój Naturalna woda mineralna wysokozmineralizowana niskonasycona CO2 1 l,napoje,N,,,,,,,,,,,,,
0000008289,Oshee Vitamin Energy Napój gazowany o smaku pomarańczowym 250 ml,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,4.6 g,4.5 g,,0 g,0.09 g,,,,
0000007273,Vital Fresh Smoothie marchewka ananas brzoskwinia pomarańcza 330 ml,napoje,Y,w porcji 100 ml,40 kcal,0 g,0 g,9 g,6.8 g,0.8 g,0.6 g,0 g,,,,
0000019130,"Mirinda Napój gazowany o smaku pomarańczy 1,75 l",napoje,Y,w porcji 100 ml,21 kcal,0 g,0 g,5 g,5 g,,0 g,0.01 g,,,,
0000009862,"Original Cola Intense 1,5 l",napoje,Y,w porcji 100 ml,44 kcal,0 g,0 g,11 g,11 g,,0 g,0 g,,,,
0000009679,Dawtona Sok pomidorowy pikantny 300 ml,napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,3.1 g,3.1 g,1.2 g,1 g,0.41 g,,,,
0000010744,"Riviva Sok jabłko 2,8 l",napoje,Y,w porcji 100 ml,45 kcal,0 g,0 g,11 g,11 g,,0.5 g,0 g,,,,
0000009695,"Herbapol Syrop owocowy o smaku malina z cytryną z witaminą C, D, B6 i Cynk, 420ml",napoje,N,,,,,,,,,,,,,
0000008294,4Move Active Vitamin Gazowany napój smak pomarańczowy 330 ml,napoje,Y,w porcji 100 ml,10 kcal,0 g,0 g,2.2 g,2 g,,0 g,0 g,,,,
0000008423,Polaris Plus Naturalna woda mineralna niegazowana 1l,napoje,N,,,,,,,,,,,,,
0000019216,Kubuś 100% Sok multiwitamina 300 ml,napoje,Y,w porcji 100 ml,47 kcal,0 g,0 g,11 g,11 g,,0 g,0 g,,,,
0000007078,"Vital Fresh Smoothie truskawka, winogrono, banan, pomarańcza 330 ml",napoje,Y,w porcji 100 ml,58 kcal,0 g,0 g,13 g,13 g,1.8 g,0.7 g,0 g,,,,
0000007947,Hellena Oranżada czerwona musująca w proszku 18 g,napoje,Y,w porcji 100 g,35 kcal,0 g,0 g,8.2 g,8.1 g,,0 g,0.1 g,,,,
0000008805,"Polaris Niegazowana woda źródlana Mama i ja  0,5 l",napoje,N,,,,,,,,,,,,,
0000010728,"Żywiec Zdrój Minerals+ Napój lekko gazowany 1,2 l",napoje,Y,w porcji 100 ml,0 kcal,0 g,0 g,0 g,0 g,,0 g,0 g,,,,
0000016913,Lipton Ice Tea Green Napój niegazowany 500 ml,napoje,Y,w porcji 100 ml,10 kcal,0 g,0 g,2.4 g,2.2 g,,0 g,0.02 g,,,,
0000008088,Riviva Napój wieloowocowy 2 L,napoje,Y,w porcji 100 ml,34 kcal,0.5 g,0.1 g,8.4 g,8.4 g,,0.5 g,0.01 g,,,,
0000008168,Kubuś Sok 100% banan marchew jabłko 850 ml,napoje,Y,w porcji 100 ml,45 kcal,0.1 g,0.03 g,9.9 g,9.5 g,1.1 g,0.4 g,0.05 g,,,,
0000003834,Cechini Muszyna Woda średnionasycona 2 l,napoje,N,,,,,,,,,,,,,
0000008061,"Polaris  Napój gazowany o smaku cytrynowym 0,5 l",napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,,0 g,0 g,,,,
0000015296,Primavera Woda źródlana gazowana 1 l,napoje,N,,,,,,,,,,,,,
0000009693,"Herbapol syrop owocowy suplement diety wiśnia z wit. C, D, B6 i cynkiem 420ml",napoje,Y,w porcji 100 ml,320 kcal,0 g,0 g,80 g,78 g,,0 g,0.02 g,,,,
0000008138,Dar Lata syrop o smaku malinowym 1 l,napoje,Y,w porcji 100 ml,24 kcal,0 g,0 g,4.9 g,4.7 g,0 g,0 g,0.03 g,0 g,0 g,0 g,0 g
0000007676,Vital Fresh Smoothie Dynia Jabłko Brzoskwinia Mango 750ml,napoje,Y,w porcji 100 ml,44 kcal,0.3 g,0.1 g,9.7 g,9.6 g,0.9 g,0.5 g,0.01 g,,,,
0000006527,Hortex Nektar czarna porzeczka butelka  aPet 1 l,napoje,Y,w porcji 100 ml,21 kcal,0 g,0 g,5.2 g,4.7 g,,0.1 g,0 g,,,,
0000015294,"Kubuś Waterrr Napój o smaku cytryny 1,5 l",napoje,Y,w porcji 100 ml,13 kcal,0 g,0 g,3 g,3 g,,0 g,0 g,,,,
0000015299,"Kubuś Waterrr Napój o smaku truskawki 1,5 l",napoje,Y,w porcji 100 ml,13 kcal,0 g,0 g,3 g,3 g,,0 g,0 g,,,,
0000015298,Cisowianka Naturalna woda mineralna Gazowana 500 ml,napoje,N,,,,,,,,,,,,,
0000007714,Tymbark gazzzowany mięta cytryna 330 ml,napoje,Y,w porcji 100 ml,18 kcal,0 g,0 g,4.5 g,4.5 g,,0 g,0 g,,,,
