item_id,item_name,item_type,nutrition_flag,wartość,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,kcal,kJ,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000010509,Chleb graham 400 g,piekarnia,Y,w porcji 100 g,1.4 g,0.3 g,46 g,1.7 g,6.5 g,8 g,1.4 g,242 kcal,1022 kj,,,,
0000003801,Półbagietka z ziarnami 120 g,piekarnia,Y,w porcji 100 g,6.6 g,0.8 g,47 g,1.9 g,3.8 g,12 g,1.5 g,301 kcal,1271 kj,,,,
0000015400,Polskie Młyny Pitta chlebek (4 szt.) 250 g,piekarnia,Y,w porcji 100 g,1.2 g,0.3 g,45.4 g,2 g,1.6 g,8.9 g,0.3 g,231 kcal,,,,,
0000015457,Smashed Bajgle wieloziarniste (4 x 75 g) 300 g,piekarnia,Y,w porcji 100 g,4.1 g,0.6 g,51 g,9.4 g,5.1 g,11 g,0.76 g,296 kcal,,,,,
0000008189,"Melvit Slim Bread ze słonecznikiem, sezamem, siemieniem 130g",piekarnia,Y,w porcji 100 g,29 g,5 g,20 g,3.5 g,18 g,20 g,1.4 g,457 kcal,,,,,
0000009593,Chleb Multi ziarno 335 g,piekarnia,Y,w porcji 100 g,7.3 g,0.8 g,46 g,1.6 g,5 g,10 g,1.4 g,300 kcal,1262 kj,,,,
0000004714,Dan Cake Gofry (6 szt.) 250 g,piekarnia,Y,w porcji 100 g,33 g,8.2 g,46 g,24 g,,7.7 g,0.58 g,507 kcal,,,,,
0000008190,Melvit Crispy Pieczywo chrupkie żytnie z pomidorami i bazylią 130 g,piekarnia,Y,w porcji 100 g,20 g,2.7 g,45 g,8.8 g,13 g,12 g,2.7 g,434 kcal,,,,,
0000003830,Ciastko z pomidorami i mozzarellą 105 g,piekarnia,Y,w porcji 100 g,13 g,6.5 g,29 g,2.7 g,1.9 g,6.2 g,0.96 g,262 kcal,1095 kj,,,,
0000006096,Chleb pasterski 500 g,piekarnia,Y,w porcji 100 g,1.4 g,0.3 g,51 g,2.3 g,2.7 g,9.1 g,1.5 g,260 kcal,1101 kj,,,,
0000014683,Paluch z oliwkami 80 g,piekarnia,Y,w porcji 100 g,6 g,0.6 g,43 g,2.1 g,3.3 g,7.7 g,1.7 g,263 kcal,1110 kj,,,,
0000003001,Dan Cake Bułeczki mleczne z czekoladą mleczną (10 x 40 g) 400 g,piekarnia,Y,w porcji 100 g,13 g,3 g,57 g,19 g,,8.4 g,0.83 g,382 kcal,,,,,
0000015458,Smashed Bajgle (4 x 75 g) 300 g ,piekarnia,Y,w porcji 100 g,2.7 g,0.4 g,53 g,11 g,4 g,11 g,0.73 g,286 kcal,,,,,
0000005896,Pano Chleb żytni 100% pełnoziarnisty z dodatkiem amarantusa i komosy ryżowej 300 g,piekarnia,Y,w porcji 100 g,5.1 g,0.7 g,32 g,3.4 g,12 g,5.4 g,1.2 g,220 kcal,,,,,
0000006299,Bułka 4 pory roku 80 g,piekarnia,Y,w porcji 100 g,2.4 g,0.4 g,49 g,1.2 g,8.7 g,9 g,1.3 g,261 kcal,1106 kj,,,,
0000008591,"Bułka z siemien lnianym i sezamem, 67 g",piekarnia,Y,w porcji 100 g,4 g,1.3 g,49 g,2.8 g,3.5 g,8.6 g,1.2 g,274 kcal,1159 kj,,,,
0000008791,Bułka śniadaniowa z ziarnami 80 g,piekarnia,Y,w porcji 100 g,6.9 g,0.8 g,49 g,4.7 g,3.2 g,,1.3 g,310 kcal,1307 kj,,,,
0000009582,Bio Bułka z chia i siemieniem 75 g,piekarnia,Y,w porcji 100 g,3.2 g,0.4 g,52 g,1.2 g,5.2 g,8.8 g,1.5 g,282 kcal,1194 kj,,,,
0000015459,Bajgle z sezamem (4 x 75 g) 300 g,piekarnia,Y,w porcji 100 g,5.3 g,0.7 g,49 g,5.3 g,4 g,10 g,0.72 g,294 kcal,,,,,
0000014669,Tost z szynką i serem 120 g,piekarnia,Y,w porcji 100 g,9.4 g,5.7 g,33.4 g,2.1 g,2 g,9.2 g,1.3 g,259 kcal,1090 kj,,,,
0000017823,Maretti Bruschetta mix warzyw 70 g,piekarnia,Y,w porcji 100 g,18 g,7.3 g,66 g,5.5 g,2.7 g,9 g,3 g,467 kcal,,0 g,0 g,0 g,0 g
0000008590,Zapiekanka z warzywami grillowanymi sosem i serem 100 g,piekarnia,Y,w porcji 100 g,14.04 g,2.74 g,27.1 g,5.12 g,,9.62 g,1.64 g,282 kcal,1182 kj,,,,
0000010817,Baitz Cocoa Rogale 5-pak 240 g,piekarnia,Y,w porcji 100 g,25 g,12 g,44 g,17 g,2.5 g,7 g,0.5 g,437 kcal,,,,,
0000004284,"Bułka orkiszowa, 70 g",piekarnia,Y,w porcji 100 g,5.1 g,0.7 g,47 g,2.9 g,3.9 g,10 g,1.5 g,282 kcal,1189 kj,,,,
0000008156,Pano Pieczywo kukurydziane chrupkie 160 g,piekarnia,Y,w porcji 100 g,0.9 g,0.2 g,83 g,1.1 g,3.5 g,7.8 g,0.88 g,376 kcal,,,,,
0000007966,Pano Wafle kukurydziane z kaszą jaglaną i pieprzem 105 g,piekarnia,Y,w porcji 100 g,2.8 g,0.4 g,77 g,1.8 g,5.5 g,11 g,1.18 g,386 kcal,,,,,
0000006244,San Suchary Bieszczadzkie 90 g,piekarnia,Y,w porcji 100 g,5 g,1.9 g,72 g,12 g,3.5 g,9.3 g,0.98 g,375 kcal,,,,,
0000008157,Pano Pieczywo żytnie chrupkie 200 g,piekarnia,Y,w porcji 100 g,0.8 g,0.2 g,74 g,1.4 g,10 g,8.9 g,0.75 g,361 kcal,,,,,
0000008653,Sunny Family Wafle zbożowe naturalne 45 g,piekarnia,Y,w porcji 100 g,1.5 g,0.3 g,75 g,4.3 g,3.4 g,13 g,0.52 g,370 kcal,,,,,
0000007369,Bułka wrocławska z makiem 65 g,piekarnia,Y,w porcji 100 g,3.5 g,0.6 g,55 g,1.9 g,3.2 g,9.2 g,1.4 g,292 kcal,1237 kj,,,,
