item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt
0000010208,"Pomidory San Marzano, opak. 300 g",warzywa,N,,,,,,,,,
0000010003,Vital Fresh Mix z burakiem 150g ,warzywa,Y,w porcji 100 g,27 kcal,0 g,0 g,4.3 g,1.9 g,2 g,1.4 g,0.09 g
0000004233,Vital Fresh Marcheweczki 180 g,warzywa,Y,w porcji 100 g,33 kcal,0 g,0 g,5.3 g,3.9 g,2.9 g,0.7 g,0.07 g
0000010372,Kalafior kg,warzywa,N,,,,,,,,,
0000010211,"Ziemniaki polskie jadalne, 1,5 kg",warzywa,N,,,,,,,,,
0000011774,Dynia kg,warzywa,N,,,,,,,,,
0000010363,"Sałata masłowa doniczkowa, 1 szt.",warzywa,N,,,,,,,,,
0000018509,Fasolka szparagowa kg,warzywa,N,,,,,,,,,
0000010164,"Pomidorki W Drogę, 4x100 g",warzywa,N,,,,,,,,,
0000008624,Go Bio Rukola 80g,warzywa,Y,w porcji 100 g,19 kcal,0 g,0 g,0 g,0 g,2.6 g,2.9 g,0.05 g
0000011786,"Marchew na sok, opak. 2 kg",warzywa,N,,,,,,,,,
0000010220,"Pomidor mini malinowy, opak. 300 g",warzywa,N,,,,,,,,,
0000010131,Pomidor Malinowy Polski kg,warzywa,N,,,,,,,,,
0000010287,Boczniaki opakowanie 250 g,warzywa,N,,,,,,,,,
0000010119,"Cebula Mix, 1 szt.",warzywa,N,,,,,,,,,
0000010320,Bazylia XL Vital Fresh,warzywa,N,,,,,,,,,
0000013221,Brukselka kg,warzywa,N,,,,,,,,,
0000010415,Sałata lodowa sztuka,warzywa,N,,,,,,,,,
0000010198,"Koperek, 1 szt.",warzywa,N,,,,,,,,,
0000010314,Pomidor papryczkowy opakowanie 500 g,warzywa,N,,,,,,,,,
0000005211,Vital Fresh Roszponka 100 g,warzywa,Y,w porcji 100 g,29 kcal,0.5 g,0.1 g,3.6 g,3.6 g,1.5 g,2 g,0.01 g
0000010470,"Kurka, opak. 200 g",warzywa,N,,,,,,,,,
0000005300,Vital Fresh Szpinak baby 200 g,warzywa,Y,w porcji 100 g,34 kcal,0.4 g,0 g,3.6 g,0.4 g,2.2 g,2.9 g,0.2 g
0000010374,"Papryka żółta, 1 szt.",warzywa,N,,,,,,,,,
0000010393,Buraki czerwone kg,warzywa,N,,,,,,,,,
0000010296,Pieczarka brunatna opakowanie 250 g,warzywa,N,,,,,,,,,
0000010327,"Natka pietruszki, 1 szt.",warzywa,N,,,,,,,,,
0000010283,"Sałata rzymska mini, opak. 2 szt.",warzywa,N,,,,,,,,,
0000008954,Vital Fresh Młode liście mix 80g,warzywa,Y,w porcji 100 g,24 kcal,0 g,0 g,2.8 g,1 g,1.5 g,2.5 g,0.2 g
0000010217,"Cebula słodka, opak. 500 g",warzywa,N,,,,,,,,,
0000010286,Kolba kukurydzy 1 szt.,warzywa,N,,,,,,,,,
0000015461,"Pomidorki trzy kolory, 500 g",warzywa,N,,,,,,,,,
