item_id,item_name,item_link,item_image,item_type
0000005632,Rio Mare Tuńczyk w sosie własnym 160 g,https://zakupy.biedronka.pl/rio-mare-rio-mare-tunczyk-w-sosie-wlasnym-160-g-0000005632.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwad564b73/images/hi-res/F6C6D5DD14188C8305CC89843DE4F84F.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000009467,Twoje Słodkie Chwile andruty white 500 g,https://zakupy.biedronka.pl/twoje-slodkie-chwile-twoje-slodkie-chwile-andruty-white-500-g-0000009467.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw1459b122/images/hi-res/F9585A55C6933CB314B0ED01EB251076.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000000169,Rapsodia Marmolada o smaku dzikiej róży 590 g,https://zakupy.biedronka.pl/rapsodia-rapsodia-marmolada-o-smaku-dzikiej-rozy-590-g-0000000169.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw9391fadb/images/hi-res/E735731532EAA1AF10E085B3F1B2646D.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000002747,Cafe d'Or Crema Kawa ziarnista 500 g,https://zakupy.biedronka.pl/cafe-dor-cafe-dor-crema-kawa-ziarnista-500-g-0000002747.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwe477aa8b/images/hi-res/98CCE820F96928D1C7A9C7F433B98BEC.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000016043,Winiary Pomysł na... Pełne danie Karkówka z ziemniakami i marchewką 30 g,https://zakupy.biedronka.pl/winiary-winiary-pomysl-na...-pelne-danie-karkowka-z-ziemniakami-i-marchewka-30-g-0000016043.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwb59d57e9/images/hi-res/84D9B2A113B0B923FC4A0917DF9AEB9C.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000014833,Orbit Strawberry Bezcukrowa guma do żucia (21 sztuk) 29 g,https://zakupy.biedronka.pl/orbit-orbit-strawberry-bezcukrowa-guma-do-zucia-21-sztuk-29-g-0000014833.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw5dcc9ad5/images/hi-res/C51ABB64465425C02676D7B30FF4B036.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000015663,Wawel Śliwki w czekoladzie 180g,https://zakupy.biedronka.pl/wawel-wawel-sliwki-w-czekoladzie-180g-0000015663.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwe995dda1/images/hi-res/BE1EC36152B062DC655661C6CAA51093.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000008079,Magnetic Profesorka Czekolada deserowa pełna bakalii 180 g,https://zakupy.biedronka.pl/magnetic-magnetic-profesorka-czekolada-deserowa-pelna-bakalii-180-g-0000008079.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw04e9ada2/images/hi-res/249B3FABCD26AB11D7F22DBC76DA4822.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000015365,Go Vege Pasta słonecznikowa z papryką 170 g,https://zakupy.biedronka.pl/go-vege-go-vege-pasta-slonecznikowa-z-papryka-170-g-0000015365.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa569b1f8/images/hi-res/2CB25ADB2CAAC59630B378B64B56E824.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000008431,Vitanella Kaszka z mlekiem smak truskawkowy 50g,https://zakupy.biedronka.pl/vitanella-vitanella-kaszka-z-mlekiem-smak-truskawkowy-50g-0000008431.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf02b8761/images/hi-res/3CD689FCB5A54A876B18F9D9DEC3F2D5.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000011228,King Oscar Sałatka z tuńczykiem w stylu meksykańskim 220 g,https://zakupy.biedronka.pl/king-oscar-king-oscar-salatka-z-tunczykiem-w-stylu-meksykanskim-220-g-0000011228.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw802d1f25/images/hi-res/BE0D3B39C41B722717BFE8CD161C5F0F.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000012634,Culineo Makaron w sosie gulaszowym 50 g,https://zakupy.biedronka.pl/culineo-culineo-makaron-w-sosie-gulaszowym-50-g-0000012634.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw89cd10eb/images/hi-res/1012131.png?sw=270&sh=270&sm=fit,artykuly-spozywcze
