item_id,item_name,item_link,item_image,item_type
0000014477,Quickpack viGO! Zapas do mopa paskowego,https://zakupy.biedronka.pl/quickpack-quickpack-vigo%21-zapas-do-mopa-paskowego-0000014477.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw877b3f66/images/hi-res/4A80B8132A55307494949F09C2AB13BD.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014456,Quickpack viGO! Ścierka do podłogi 50 cm x 55 cm 1 szt.,https://zakupy.biedronka.pl/quickpack-quickpack-vigo%21-scierka-do-podlogi-50-cm-x-55-cm-1-szt.-0000014456.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw0f4ad5f6/images/hi-res/2FF2A06C726DC85931C64B82251907C7.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014458,Quickpack viGO! Ścierki wielofunkcyjne 10 sztuk,https://zakupy.biedronka.pl/quickpack-quickpack-vigo%21-scierki-wielofunkcyjne-10-sztuk-0000014458.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw18a7819c/images/hi-res/005C3EA08F5AD2C96664F8827FE1BC07.jpg?sw=270&sh=270&sm=fit,dla-domu
0000012734,Air Wick Pachnące Patyczki Kwitnący Jaśmin i Frezja / Jasmine Bloom & Freesia 25 ml,https://zakupy.biedronka.pl/air-wick-air-wick-pachnace-patyczki-kwitnacy-jasmin-i-frezja-jasmine-bloom-and-freesia-25-ml-0000012734.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw6b37ec5f/images/hi-res/6EC21EDF0E30284BB75A9AFEF90EC54E.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014158,Ludwik White 2 in 1 Kapsułki do prania tkanin białych (32 prania) 736 kg,https://zakupy.biedronka.pl/ludwik-ludwik-white-2-in-1-kapsulki-do-prania-tkanin-bialych-32-prania-736-kg-0000014158.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw31a58f07/images/hi-res/5F7621E15D9249E7CC3A18592C0EA0B8.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014870,Aril Car Dog Odświeżacz o orzeźwiającym zapachu Winter ice 1 szt.,https://zakupy.biedronka.pl/aril-car-aril-car-dog-odswiezacz-o-orzezwiajacym-zapachu-winter-ice-1-szt.-0000014870.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw4d1014ed/images/hi-res/A08FB16D10BE4ECE654780AF4D11708A.jpg?sw=270&sh=270&sm=fit,dla-domu
0000013562,Jan Niezbędny Zmywak uniwersalny 2 szt.,https://zakupy.biedronka.pl/jan-niezbedny-jan-niezbedny-zmywak-uniwersalny-2-szt.-0000013562.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw85aa3f32/images/hi-res/6AE1A91F663C0BC8430434894CED5CBE.jpg?sw=270&sh=270&sm=fit,dla-domu
0000017075,Quickpack viGO! Foremki do babeczek 12 szt.,https://zakupy.biedronka.pl/quickpack-quickpack-vigo%21-foremki-do-babeczek-12-szt.-0000017075.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw54efffe4/images/hi-res/B8E5989799960BC17FE4EC6C83F09DD6.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014254,Air Wick Active Fresh Wkład Białe Kwiaty/ Jasmine Bouquet 228 ml,https://zakupy.biedronka.pl/air-wick-air-wick-active-fresh-wklad-biale-kwiaty-jasmine-bouquet-228-ml-0000014254.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwbefd599e/images/hi-res/A9497808A27DC62AD63CDF39E6544C3C.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014478,Quickpack viGO! Kij teleskopowy 130 cm 1 szt.,https://zakupy.biedronka.pl/quickpack-quickpack-vigo%21-kij-teleskopowy-130-cm-1-szt.-0000014478.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw9ad42c12/images/hi-res/91543DA1515593B4D56F29C5D38F3624.jpg?sw=270&sh=270&sm=fit,dla-domu
0000017155,Silan Aromatherapy Fascinating Jungle Płyn do zmiękczania tkanin (46 prań) 1012 ml,https://zakupy.biedronka.pl/silan-silan-aromatherapy-fascinating-jungle-plyn-do-zmiekczania-tkanin-46-pran-1012-ml-0000017155.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwd3f90b3b/images/hi-res/B196845C52FA79BBA198520E82CCDC0D.jpg?sw=270&sh=270&sm=fit,dla-domu
0000013151,Air Wick Elektryczny Mango & Brzoskiwnia Spritz z Malediwów/Maldives Mango & Peach Spritz Komplet 19 ml,https://zakupy.biedronka.pl/air-wick-air-wick-elektryczny-mango-and-brzoskiwnia-spritz-z-malediwowmaldives-mango-and-peach-spritz-komplet-19-ml-0000013151.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw03bdd21a/images/hi-res/782D760D52DDDF2D3CD4C24709E136E5.jpg?sw=270&sh=270&sm=fit,dla-domu
0000013468,Glade Relaxing Zen Elektryczny odświeżacz powietrza 20 ml,https://zakupy.biedronka.pl/glade-glade-relaxing-zen-elektryczny-odswiezacz-powietrza-20-ml-0000013468.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw8db5c09d/images/hi-res/F84E8554EE3F708240B014677DD88B3F.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014252,Air Wick Active Fresh Oceaninczy Powiew i Rajska Wanilia / Spring Breeze & Island Vanilla Wkład 228 ml,https://zakupy.biedronka.pl/air-wick-air-wick-active-fresh-oceaninczy-powiew-i-rajska-wanilia-spring-breeze-and-island-vanilla-wklad-228-ml-0000014252.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw42705a22/images/hi-res/22399E3A0511A6D938788B53516379F0.jpg?sw=270&sh=270&sm=fit,dla-domu
0000012769,Duck Deep Action Citrus Żel do czyszczenia i dezynfekcji toalet 750 ml,https://zakupy.biedronka.pl/duck-duck-deep-action-citrus-zel-do-czyszczenia-i-dezynfekcji-toalet-750-ml-0000012769.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwee2d3105/images/hi-res/E0F7791E174F60244DB997FD185109A8.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014470,Quickpack viGO! Premium Zmywak celulozowy 1 szt.,https://zakupy.biedronka.pl/quickpack-quickpack-vigo%21-premium-zmywak-celulozowy-1-szt.-0000014470.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw6af0a77f/images/hi-res/72DB5AE7AD63DAA8750EA652A78CD64B.jpg?sw=270&sh=270&sm=fit,dla-domu
0000013119,Presto Nawilżane ściereczki do kuchni 72 sztuki,https://zakupy.biedronka.pl/presto-presto-nawilzane-sciereczki-do-kuchni-72-sztuki-0000013119.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw45d746d5/images/hi-res/C232E4E8439432ED19443AFE2FC79911.jpg?sw=270&sh=270&sm=fit,dla-domu
0000013633,Frosch Płyn do mycia naczyń aloesowy 750 ml ,https://zakupy.biedronka.pl/frosch-frosch-plyn-do-mycia-naczyn-aloesowy-750-ml--0000013633.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw19736308/images/hi-res/CF89C15C81D4821DCF3B5C3EA0268B92.jpg?sw=270&sh=270&sm=fit,dla-domu
