item_id,item_name,item_link,item_image,item_type
0000009360,NAN OPTIPRO Plus 5 Produkt na bazie mleka dla małych dzieci 800 g,https://zakupy.biedronka.pl/nan-nan-optipro-plus-5-produkt-na-bazie-mleka-dla-malych-dzieci-800-g-0000009360.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc83262e9/images/hi-res/53E1118937313CF41407981F9C16781E.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000009855,Lubella Di Riso Przekąska truskawka ryż 100 g,https://zakupy.biedronka.pl/lubella-lubella-di-riso-przekaska-truskawka-ryz-100-g-0000009855.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw32c0262b/images/hi-res/CBD4A75290342C11C19517994A0A9602.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000013646,Gerber Organic Chrupki pszenno-owsiane pomidor marchewka 10.+ miesiąc 35 g,https://zakupy.biedronka.pl/gerber-gerber-organic-chrupki-pszenno-owsiane-pomidor-marchewka-10.%2B-miesiac-35-g-0000013646.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw96a33dce/images/hi-res/1F3A4BCF3658DE72FCB6AAE580F82538.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000012220,HiPP BIO Kółeczka orkiszowo-owsiane od 8. miesiąca 30 g,https://zakupy.biedronka.pl/hipp-hipp-bio-koleczka-orkiszowo-owsiane-od-8.-miesiaca-30-g-0000012220.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw95770f02/images/hi-res/0B7D0742D5679DB61C3B2A846F2A7829.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000016026,BoboVita Kaszka mleczno-ryżowa wanilia po 4 miesiącu 330 g,https://zakupy.biedronka.pl/bobovita-bobovita-kaszka-mleczno-ryzowa-wanilia-po-4-miesiacu-330-g-0000016026.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwb45c1e77/images/hi-res/A52C2A7A02C26075A8D96C429930ABEE.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000002143,BoboVita Kaszka ryżowa banan po 6 miesiącu 270 g,https://zakupy.biedronka.pl/bobovita-bobovita-kaszka-ryzowa-banan-po-6-miesiacu-270-g-0000002143.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwdbc5e2f7/images/hi-res/7FD9ED539A6350A4E2CB148FBB394A33.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000009470,Little Steps 1 mleko początkowe od urodzenia 500g,https://zakupy.biedronka.pl/nestle-little-steps-1-mleko-poczatkowe-od-urodzenia-500g-0000009470.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw64f841ab/images/hi-res/E255A21F6273A3E24AF2F44F74163E25.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000009471,NESTLE LITTLE STEPS 2 mleko następne po 6. miesiącu 500 g,https://zakupy.biedronka.pl/nestle-nestle-little-steps-2-mleko-nastepne-po-6.-miesiacu-500-g-0000009471.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf331963a/images/hi-res/4F4CDF81CE376AF948042621ACFDD2C2.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000007753,Bebilon Profutura Duobiotik 2 Mleko następne po 6. miesiącu 800 g,https://zakupy.biedronka.pl/bebilon-bebilon-profutura-duobiotik-2-mleko-nastepne-po-6.-miesiacu-800-g-0000007753.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw26c3d9b9/images/hi-res/96D51477C03BF5FD6E4F9F96E625E19E.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000015469,Nestlé Proste Zboża Kaszka ryżowo-kukurydziana o smaku bananowym po 6. miesiącu 144 g,https://zakupy.biedronka.pl/nestl%C3%A9-nestl%C3%A9-proste-zboza-kaszka-ryzowo-kukurydziana-o-smaku-bananowym-po-6.-miesiacu-144-g-0000015469.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwccd77b28/images/hi-res/346EBFC00D25C401DEF4A7831014C708.jpg?sw=270&sh=270&sm=fit,dla-dzieci
