item_id,item_name,item_link,item_image,item_type
0000000112,"Oaza Woda źródlana gazowana 1,5 l",https://zakupy.biedronka.pl/polaris-oaza-woda-zrodlana-gazowana-15-l-0000000112.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf049eb3f/images/hi-res/311825D0AEB7696C50C7C9DA1C20D671.jpg?sw=270&sh=270&sm=fit,napoje
0000009241,"Piwo Lech Free Active Mango 0,0% 500ml puszka",https://zakupy.biedronka.pl/lech-piwo-lech-free-active-mango-00%25-500ml-puszka-0000009241.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw562c8d99/images/hi-res/F9F3A85DC97FCC086C5C36005136BB17.jpg?sw=270&sh=270&sm=fit,napoje
0000008476,Okocim Mix ciemnego piwa bezalkoholowego z lemoniadą ciemna wiśnia 500 ml,https://zakupy.biedronka.pl/okocim-okocim-mix-ciemnego-piwa-bezalkoholowego-z-lemoniada-ciemna-wisnia-500-ml-0000008476.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw94649ca4/images/hi-res/4E527DF94C68B763BDB420A3AEC3A594.jpg?sw=270&sh=270&sm=fit,napoje
0000006617,"Cisowianka Naturalna woda mineralna lekko gazowana 1,5 l",https://zakupy.biedronka.pl/cisowianka-cisowianka-naturalna-woda-mineralna-lekko-gazowana-15-l-0000006617.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw2a7920b1/images/hi-res/D74EEC25F785D7E622C2CE5339985BA8.jpg?sw=270&sh=270&sm=fit,napoje
0000007275,Nałęczowianka Naturalna woda mineralna niegazowana 1 l,https://zakupy.biedronka.pl/naleczowianka-naleczowianka-naturalna-woda-mineralna-niegazowana-1-l-0000007275.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dweb8d9bd4/images/hi-res/534D4D163A5ADCD320FA72E47D3851D7.jpg?sw=270&sh=270&sm=fit,napoje
0000012049,"Remsey Ice tea smak mango 1,5 l",https://zakupy.biedronka.pl/remsey-remsey-ice-tea-smak-mango-15-l-0000012049.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwcab2587f/images/hi-res/3E83878E7390732EDB86135355A7003A.jpg?sw=270&sh=270&sm=fit,napoje
0000016645,Tymbark Drugie Śniadanie Mus z kaszą jaglaną jabłko cynamon 100 g,https://zakupy.biedronka.pl/tymbark-tymbark-drugie-sniadanie-mus-z-kasza-jaglana-jablko-cynamon-100-g-0000016645.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw731de837/images/hi-res/E6C443BCB6032809FDF4A9F7F64218B1.jpg?sw=270&sh=270&sm=fit,napoje
0000002634,ŻYWIEC ZDRÓJ niegazowany 700 ml woda źródlana,https://zakupy.biedronka.pl/zywiec-zdroj-zywiec-zdroj-niegazowany-700-ml-woda-zrodlana-0000002634.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf1decd15/images/hi-res/21609DAF7FDA7EC56211F71ACA162437.jpg?sw=270&sh=270&sm=fit,napoje
0000007948,Hellena Oranżada musssująca strzelająca w proszku czerwona 6 g,https://zakupy.biedronka.pl/hellena-hellena-oranzada-musssujaca-strzelajaca-w-proszku-czerwona-6-g-0000007948.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw61c90cdd/images/hi-res/3A5234E0E465EA8EADDA6B15A79BB191.jpg?sw=270&sh=270&sm=fit,napoje
0000001809,"Tymbark Napój jabłko brzoskwinia 1,75 l",https://zakupy.biedronka.pl/tymbark-tymbark-napoj-jablko-brzoskwinia-175-l-0000001809.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw426f458d/images/hi-res/F3BF227B66853C4A44B069F7D821D60A.jpg?sw=270&sh=270&sm=fit,napoje
0000011249,Go Active Izotonik o smaku wieloowocowym 750ml,https://zakupy.biedronka.pl/go-active-go-active-izotonik-o-smaku-wieloowocowym-750ml-0000011249.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw56cb96df/images/hi-res/775FD26379E9F3C148ECB4060215E0E8.jpg?sw=270&sh=270&sm=fit,napoje
0000004567,Frugo Ultragreen Napój wieloowocowy niegazowany 500 ml,https://zakupy.biedronka.pl/frugo-frugo-ultragreen-napoj-wieloowocowy-niegazowany-500-ml-0000004567.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwcafa5668/images/hi-res/C3C487C5CF76022210834FB112D7CB46.jpg?sw=270&sh=270&sm=fit,napoje
