item_id,item_name,item_link,item_image,item_type
0000010125,Pieczarka krojona opakowanie 200 g,https://zakupy.biedronka.pl/biedronka-pieczarka-krojona-opakowanie-200-g-0000010125.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw92e8a0c2/images/hi-res/D5A0B3B8B601E7BCF1475B54B9E6081B.jpg?sw=270&sh=270&sm=fit,warzywa
0000010312,Mięta W Doniczce Vital Fresh Szt.,https://zakupy.biedronka.pl/vital-fresh-mieta-w-doniczce-vital-fresh-szt.-0000010312.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw08f654cb/images/hi-res/634C1DE3A538435C88CADD80D21E6906.jpg?sw=270&sh=270&sm=fit,warzywa
0000010278,Kapusta Czerwona kg,https://zakupy.biedronka.pl/biedronka-kapusta-czerwona-kg-0000010278.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwda9c0a7b/images/hi-res/D6E4BA46F201131CA2E0D930DCA0DA3A.jpg?sw=270&sh=270&sm=fit,warzywa
0000010284,Kalarepa 1 szt.,https://zakupy.biedronka.pl/biedronka-kalarepa-1-szt.-0000010284.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw678a3540/images/hi-res/9416C55EF87404C0AE03C31AF6540AF1.jpg?sw=270&sh=270&sm=fit,warzywa
0000010251,Pomidor koktajlowy gałązka opakowanie 400 g,https://zakupy.biedronka.pl/biedronka-pomidor-koktajlowy-galazka-opakowanie-400-g-0000010251.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw6ac00e14/images/hi-res/435766.jpg?sw=270&sh=270&sm=fit,warzywa
0000010147,Kapusta na gołąbki kg,https://zakupy.biedronka.pl/biedronka-kapusta-na-golabki-kg-0000010147.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw01a0cd2d/images/hi-res/7548BB39F4D63382CC15CACBF0F8A7F7.jpg?sw=270&sh=270&sm=fit,warzywa
0000009986,Vital Fresh Jarmuż 200 g,https://zakupy.biedronka.pl/vital-fresh-vital-fresh-jarmuz-200-g-0000009986.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw892dafd7/images/hi-res/0F0786AA73E6FCD3FE20802BE2E32D65.jpg?sw=270&sh=270&sm=fit,warzywa
0000010139,"Dynia piżmowa, 1 szt.",https://zakupy.biedronka.pl/dynia-pizmowa-1-szt.-0000010139.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw2c5f8973/images/hi-res/F5874B6C6A9CEA0D9C09D3AE98FC3948.jpg?sw=270&sh=270&sm=fit,warzywa
0000008356,Vital Fresh Mix rodzinny 220 g,https://zakupy.biedronka.pl/vital-fresh-vital-fresh-mix-rodzinny-220-g-0000008356.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw540787ba/images/hi-res/4D9460AD53B7C4EB4CFF667596A21F03.jpg?sw=270&sh=270&sm=fit,warzywa
0000010058,Marchew opakowanie 1 kg,https://zakupy.biedronka.pl/biedronka-marchew-opakowanie-1-kg-0000010058.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwbd1fa95b/images/hi-res/CDB698C35B9F6C1BF614839AF4C2FB5E.jpg?sw=270&sh=270&sm=fit,warzywa
0000006245,Vital Fresh Mix sałat pocket 2x50 g,https://zakupy.biedronka.pl/vital-fresh-vital-fresh-mix-salat-pocket-2x50-g-0000006245.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwe343c86d/images/hi-res/4B4F127ADA673712459EDEE1FF85B5E5.jpg?sw=270&sh=270&sm=fit,warzywa
0000010395,"Papryka Słodka Szpiczasta, 1 szt.",https://zakupy.biedronka.pl/biedronka-papryka-slodka-szpiczasta-1-szt.-0000010395.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw04f1c02e/images/hi-res/E5730C5975F0E1A37DAFBE38B30238EA.jpg?sw=270&sh=270&sm=fit,warzywa
0000010199,Ogóreczki mini opakowanie 250 g,https://zakupy.biedronka.pl/biedronka-ogoreczki-mini-opakowanie-250-g-0000010199.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwca78bfcd/images/hi-res/371204.jpg?sw=270&sh=270&sm=fit,warzywa
